金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,228497,110423,1778,1262,169639,123012,643518,657,0.13,0.02,1158.1,255,4833
臺灣土地銀行,339953,138289,1638,1809,349151,118173,752481,635,0.28,0.2,1164.46,2854,14535
合作金庫商業銀行,619105,364353,6917,4080,751712,1348325,3029700,1622,0.15,0.12,495.41,4420,38932
第一商業銀行,1380226,831407,15096,9853,1401027,2047072,4662944,7401,0.05,0,1988.38,5362,42958
華南商業銀行,1019965,763451,9778,7851,949076,3679771,4170612,1155,0.15,0,421.97,0,24988
彰化商業銀行,570270,246921,14427,3456,312701,724539,1488195,646,0.22,0,606.32,1241,10714
上海商業儲蓄銀行,442246,229846,3662,43591,543212,860667,1120958,4748,0.15,0.12,1837.05,2078,19648
台北富邦商業銀行,4065233,2725020,37324,25390,5525758,23716907,24554278,71434,0.09,0,1280.59,25226,177690
國泰世華商業銀行,7382598,5192743,164347,36748,17031969,19612599,41471330,191112,0.14,0,1336.47,36387,311851
高雄銀行,15970,5957,68,132,13045,588,157219,68,0.35,0.35,262.66,0,687
兆豐國際商業銀行,1039909,620342,9326,4065,1624356,3692807,3341537,8556,0.21,0.01,769.18,5001,34482
花旗(台灣)商業銀行,2837588,2125228,17387,25063,9636203,9996481,16227880,118628,0.53,0.12,429,120603,326271
臺灣中小企業銀行,195842,100519,344,789,301189,93230,736938,1686,0.1,0.01,332.54,1025,10779
渣打國際商業銀行,400254,269122,1054,4453,1068384,492910,2417361,4282,0.19,0,959.27,3652,29280
台中商業銀行,155462,77222,1719,777,206552,46881,497607,177,0.38,0,1397.75,1102,12380
滙豐(台灣)商業銀行,627598,429426,7888,6906,1815117,1317204,4663161,21957,0.22,0,1710.33,5388,45035
華泰商業銀行,9111,4932,4,30,9734,1847,33635,0,0.39,0,473.87,157,293
臺灣新光商業銀行,948260,569785,9523,5744,1513956,2155769,4133900,6063,0.12,0,242.29,6516,38034
陽信商業銀行,114949,56238,637,834,177412,101169,322533,82,0.59,0.05,269.25,0,5002
三信商業銀行,15506,10204,272,60,17797,11281,89274,17,0.25,0,9407.43,24,696
聯邦商業銀行,2196076,1295590,14998,11129,5178588,4606093,8439416,50271,0.15,0,167.88,11762,106258
遠東國際商業銀行,1569110,986577,6285,6302,3735151,4324181,3925085,112333,0.26,0.05,103.18,9571,86946
元大商業銀行,1157635,553946,3229,8821,1217403,2852000,3831873,14818,0.08,0,673.11,4680,43085
永豐商業銀行,2139947,1149466,13048,6842,3951235,5381630,9986425,69636,0.13,0,940.52,10456,93335
玉山商業銀行,6534077,4460909,45847,22348,12202876,22342126,37199186,232823,0.15,0.01,641.88,40210,303220
凱基商業銀行,370219,193061,5397,2197,1086879,969702,895015,6974,0.65,0.43,185.5,6533,41010
星展(台灣)商業銀行,607599,308680,3825,5443,1297193,2067457,2663194,19659,0.68,0,247.68,13659,93025
台新國際商業銀行,5928080,4044534,53476,26358,9856175,21913350,28013897,126320,0.16,0,832,25807,181551
日盛國際商業銀行,142080,91319,203,1025,231888,109254,279477,1715,0.19,0,1001.57,556,4759
安泰商業銀行,123578,53857,361,452,195800,1065659,328878,402,0.19,0.01,371.83,4622,8547
中國信託商業銀行,7623402,4829611,83992,41153,15100497,32660841,37779425,540341,0.12,0,460.86,65771,537291
台灣樂天信用卡股份有限公司,598935,211204,1198,4142,492974,798810,882437,4782,1.58,0.56,139.02,923,6902
台灣美國運通國際(股)公司,169611,94646,1344,2435,229797,0,2469777,301,0.24,0,986.51,1647,16972
