金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,226663,110295,1094,700,173791,43550,673466,553,0.19,0.1,701.51,1388,3458
臺灣土地銀行,340312,139946,1308,1901,367355,88809,628600,645,0.23,0.14,1554.56,1893,10450
合作金庫商業銀行,614280,364054,9305,4094,763270,386676,2635997,1566,0.26,0.2,431.52,5144,30019
第一商業銀行,1367687,823236,11482,10276,1454070,1743490,3961495,8805,0.06,0,2036.69,5650,32218
華南商業銀行,1016820,763363,8227,6669,998370,3012838,3130908,1064,0.08,0,505.86,16161,24988
彰化商業銀行,537815,225439,1926,2814,327287,292999,1243058,749,0.33,0.01,591.63,67,6735
上海商業儲蓄銀行,480267,243152,1862,2097,572655,751172,923170,4285,0.19,0.16,1634.21,3137,15013
台北富邦商業銀行,4047681,2693540,42514,19402,5605969,21790730,24475696,66349,0.11,0,1142.47,24920,127853
國泰世華商業銀行,7244092,5147707,24258,23975,17358158,15057332,37006093,184239,0.18,0,1261.57,48896,233185
高雄銀行,16036,6393,28,96,13336,391,143738,49,0.31,0.24,333.57,491,687
兆豐國際商業銀行,1031294,630499,6356,3124,1637207,2590630,3316325,9350,0.25,0.02,687.86,4550,24673
花旗(台灣)商業銀行,2851919,2151525,12896,20106,10619745,10352235,12443077,114052,0.71,0.24,353.25,0,205668
臺灣中小企業銀行,196713,102024,829,1004,302738,70587,664599,1532,0.14,0.04,332.57,1746,8238
渣打國際商業銀行,407159,277030,937,3414,1123527,421201,1989572,3394,0.19,0,1016.49,3162,21253
台中商業銀行,153806,78477,719,742,217467,48512,419901,193,0.63,0,1065.55,1921,8902
滙豐(台灣)商業銀行,625270,429378,8575,8549,1889054,1297646,3905241,19321,0.27,0,1683.5,5692,33955
華泰商業銀行,9163,4986,4,12,10213,1939,28399,0,0.74,0,438.52,99,136
臺灣新光商業銀行,941753,566832,7428,4956,1562906,1784084,3631421,7012,0.17,0,242.74,4822,25992
陽信商業銀行,115224,56055,875,574,186028,82737,331189,139,0.28,0,488.84,2453,5002
三信商業銀行,15230,10068,78,45,18423,11376,73711,45,0.41,0,7929.19,0,672
聯邦商業銀行,2192196,1323492,9125,104177,5326404,4307022,6896126,46170,0.17,0,163.21,12851,81381
遠東國際商業銀行,1571331,1016554,2670,72899,3882766,4384974,2918579,102505,0.29,0.07,100.62,11801,66670
元大商業銀行,1158232,563729,3364,4866,1263356,2687184,3280333,13787,0.08,0,694.65,6613,33350
永豐商業銀行,2122821,1139492,10983,5700,4059842,4712457,8410055,63488,0.15,0,936.36,13960,72666
玉山商業銀行,6489112,4473471,32731,19037,12445688,15716237,31614898,225544,0.17,0,656.16,39185,229509
凱基商業銀行,364972,192250,4231,2133,1109869,861884,800833,5359,0.74,0.38,188.34,5849,29891
星展(台灣)商業銀行,609463,313021,1614,4782,1356253,1856346,2289366,18651,0.74,0,210.4,10871,69869
台新國際商業銀行,5867723,4048538,40384,27108,10306709,18799392,23091949,89065,0.17,0.01,883.27,24479,133705
日盛國際商業銀行,143447,94627,197,854,246797,99415,223323,2016,0.34,0,878.01,314,3393
安泰商業銀行,123621,54718,444,361,201418,1067985,273076,413,0.39,0.16,277.67,0,3925
中國信託商業銀行,7547978,4822670,45825,33579,16061779,17616221,31162595,483898,0.2,0,440.68,71593,392749
台灣樂天信用卡股份有限公司,598485,217594,1039,4610,506792,827015,761668,4278,1.42,0.39,186.72,948,5110
台灣美國運通國際(股)公司,172250,99013,832,2350,245105,0,1955302,285,0.33,0,861.96,3307,11826
