金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,234797,118098,1700,1406,168298,44367,748910,491,0.09,0.03,1311.52,632,632
臺灣土地銀行,357454,148261,2458,2023,352335,85701,814387,750,0.2,0.15,1320.11,2074,2074
合作金庫商業銀行,638045,385450,5657,5467,772861,800086,3276676,1444,0.21,0.18,478.29,4635,4635
第一商業銀行,1427069,861934,20896,10455,1495822,2214646,5101867,6071,0.05,0,1890.01,4674,4674
華南商業銀行,1035931,789977,8078,8658,992478,3226887,3999426,1269,0.07,0,594.94,0,0
彰化商業銀行,566844,254781,9547,3676,316048,490788,1572100,679,0.13,0,861.92,1346,1346
上海商業儲蓄銀行,448124,182900,2630,1878,570164,989097,1317106,4100,0.17,0.15,1629.63,1437,1437
台北富邦商業銀行,4302518,2884044,78954,17883,5860705,25599039,28015356,73367,0.06,0,1830.16,12209,12209
國泰世華商業銀行,7632939,5473151,62701,34218,18303798,18505335,42185272,185541,0.09,0,1565.2,23622,23622
高雄銀行,15696,5469,17,74,13781,461,157262,81,0.1,0.1,648.04,1,1
兆豐國際商業銀行,1058336,632127,7449,4886,1739657,3620476,3722277,10452,0.2,0.04,611.61,5507,5507
花旗(台灣)商業銀行,2817758,2110570,15613,32110,10154285,10784858,19396597,109309,0.31,0.06,567.69,65808,65808
臺灣中小企業銀行,203902,102847,1024,1804,289932,67906,855006,1677,0.13,0.03,310.34,0,0
渣打國際商業銀行,377390,251685,962,5367,1034809,423506,2346523,4195,0.15,0,1039.6,3593,3593
台中商業銀行,160568,79038,1902,918,205994,53514,540167,219,0.31,0.01,1661.83,1739,1739
滙豐(台灣)商業銀行,632361,429654,9945,6423,1827299,1290627,5290784,22209,0.13,0,2488.34,3965,3965
華泰商業銀行,9051,4864,19,20,9117,2148,40864,0,0.05,0,540.48,0,0
臺灣新光商業銀行,976487,582731,14612,5807,1529875,2208636,4330833,3591,0.09,0,256.14,3597,3597
陽信商業銀行,108635,52017,1890,10663,173353,87831,343897,150,0.25,0.01,525.72,0,0
三信商業銀行,16409,10923,284,65,16454,15819,93863,48,0.31,0,8911.66,0,0
聯邦商業銀行,2272852,1316680,35129,17726,5257108,4714187,9185496,48681,0.13,0,182.61,10968,10968
遠東國際商業銀行,1550073,1003215,9204,7092,3983681,4822180,4387774,129305,0.25,0.08,104.33,10493,10493
元大商業銀行,1181953,555755,6914,6148,1208156,3190834,4261788,15284,0.08,0,731.44,2188,2188
永豐商業銀行,2181934,1176951,17712,6675,3995655,5389550,11317807,71361,0.11,0,964.4,6235,6235
玉山商業銀行,6642488,4546221,39663,21261,12586103,19017296,38403039,228124,0.11,0,872.03,18137,18137
凱基商業銀行,377698,192759,4187,2588,1087211,961744,1007482,5736,0.5,0.39,168.17,4868,4868
星展(台灣)商業銀行,623023,319111,3624,4109,1277946,2168088,3121061,20190,0.58,0,382.14,7838,7838
台新國際商業銀行,6078645,4091774,57429,36854,9980509,21905412,30989333,173008,0.1,0.01,1132.01,13641,13641
日盛國際商業銀行,138742,87247,196,729,217915,88227,269977,1148,0.21,0,927.27,209,209
安泰商業銀行,123808,54108,432,425,185581,1149771,345258,302,0.18,0.04,206.67,0,0
中國信託商業銀行,7892089,4970945,93720,39200,15184756,27344629,40696310,568055,0.09,0,489.62,41852,41852
台灣樂天信用卡股份有限公司,599906,199810,746,5375,504332,812843,838373,4717,1.49,0.64,150.84,852,852
台灣美國運通國際(股)公司,169567,98114,2316,2471,238694,0,3135007,443,0.13,0,1282.14,3424,3424
