金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,249836,122471,2121,990,161426,138952,1602443,445,0.05,0.03,2020.57,603,2976
臺灣土地銀行,341827,142401,1555,5240,333789,120586,1094853,532,0.14,0.14,1147.23,1756,11503
合作金庫商業銀行,671348,394429,5651,4578,808310,1702555,8666580,1574,0.07,0.06,518.06,4720,28212
第一商業銀行,1534262,933474,15986,10274,1591176,2056927,7559025,6122,0.13,0,1047.91,5839,35382
華南商業銀行,1114333,866095,53216,8372,1039842,5317913,7751603,1266,0.05,0,568.67,14643,25192
彰化商業銀行,608717,294927,6367,3369,324578,1148784,3596482,919,0.14,0,550.13,1114,8822
上海商業儲蓄銀行,473764,203715,3384,2242,593136,1646769,2075379,5313,0.13,0.09,1515.9,2832,15056
台北富邦商業銀行,6492947,4250871,276509,67745,7010940,30658277,44406604,95810,0.12,0,1248.8,30711,159112
國泰世華商業銀行,10263176,6600001,61818,73113,19399437,35875377,85481427,212517,0.12,0,1484.78,60691,286014
高雄銀行,15051,4585,19,70,14682,518,186485,54,0.28,0.28,267.78,1,996
兆豐國際商業銀行,1140951,665579,7268,4442,1780362,4164921,7730872,12900,0.17,0.01,698.45,8002,46509
花旗(台灣)商業銀行,2746596,2063381,5495,25639,10261174,10424544,20430902,108233,0.58,0.2,413.08,0,210100
臺灣中小企業銀行,175467,96154,446,751,269947,321844,1062958,1103,0.06,0.01,296.19,1262,5865
渣打國際商業銀行,287942,184971,936,3767,902129,467058,1912330,4396,0.22,0,881.79,2891,20544
台中商業銀行,167637,81205,1470,713,200305,47421,645937,299,0.11,0.01,2035.75,1510,7910
滙豐(台灣)商業銀行,689149,463865,9616,5172,1761826,1414803,7594290,19755,0.22,0,1419.78,7148,33761
華泰商業銀行,8953,4915,24,39,8329,2402,56972,0,0.33,0,619.96,0,161
臺灣新光商業銀行,1057813,613646,8220,7762,1551099,2579724,6684750,4882,0.14,0.01,286.75,6248,34907
陽信商業銀行,116632,57554,1177,1181,161616,138254,483929,104,0.26,0.01,664.98,2118,4607
三信商業銀行,19655,12897,254,71,25228,16078,152501,33,0.04,0,5665.85,81,672
聯邦商業銀行,2613324,1558805,39886,16287,5788711,5847770,15143135,45623,0.13,0,194,12906,77250
遠東國際商業銀行,1435109,1000240,9646,8595,3532590,4351979,4934734,80847,0.3,0.08,102.25,12600,61949
元大商業銀行,1203451,559597,7713,8407,1185215,3750959,5643097,14170,0.08,0,780.31,4202,27018
永豐商業銀行,2298947,1243426,14160,9484,3741784,5181689,13821374,68133,0.11,0,731.82,13858,82311
玉山商業銀行,7041497,4731255,58112,41951,12748001,32837685,83277532,231204,0.14,0,474.38,51321,274584
凱基商業銀行,380665,187042,1425,1727,1175442,1030592,1443938,6511,0.84,0.55,157.46,5791,36662
星展(台灣)商業銀行,673473,349446,6342,5038,1283955,2550615,5326472,19698,0.41,0,495.13,10866,56450
台新國際商業銀行,6443483,4399712,51693,30272,10030617,26733521,61015306,99142,0.11,0.01,1088.59,24343,135538
安泰商業銀行,124547,54781,567,259,164048,1207501,358488,311,0.12,0.01,384.73,0,4283
中國信託商業銀行,8794919,5576113,110919,49173,15618570,51342592,121793528,517425,0.08,0,379.42,77801,446229
台灣樂天信用卡股份有限公司,491569,207323,2073,127237,595530,652146,798562,4685,2.3,1.2,144.84,845,4924
台灣美國運通國際(股)公司,183393,118244,3523,2936,274065,0,5403323,1000,0.11,0,748.61,1991,38390
