金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,225744,115423,502,1591,241782,14702,653624,1489,0.325976931887803,0.16526375607114,518.013535031847,318,318
臺灣土地銀行,123416,54717,654,817,204883,28732,337772,570,0.338209667064111,0.248293392382175,1696.11997946187,1895,1895
合作金庫商業銀行,400723,237647,2606,7719,602344,193005,1697919,4136,0.92989405501622,0.898070226059993,250.725655594887,0,0
第一商業銀行,813420,555037,15215,8392,1309186,915441,3554150,14732,0.232337442598338,0,1484.23172686496,5498,5498
華南商業銀行,749151,517241,12108,9691,665331,807054,3140069,1005,0.0818599642993471,0,1367.98154324548,0,0
彰化商業銀行,391021,205866,4243,4129,196021,75973,1030167,724,0.224175777882427,0.0141426329670793,769.645217037715,0,0
上海商業儲蓄銀行,387885,198848,1303,5180,780976,221080,1224799,7898,0.759523794091039,0.237834424275871,1731.10780736136,0,0
台北富邦商業銀行,2376014,1612315,32688,24669,6917743,5185897,12869195,96274,0.202223505826647,0,733.961771501742,21493,21493
國泰世華商業銀行,4797855,3371865,67494,32495,14674436,10009057,24754329,249503,0.126535614079337,0,2174.5266253845,28573,28573
高雄銀行,9052,4615,75,54,5741,235,131861,120,0.0411250825617188,0.0411250825617188,1410.19698725377,0,0
兆豐國際商業銀行,569958,386467,6661,6186,1313518,693948,2415247,7952,0.156896475290747,0.0229883271398911,868.845901621501,3264,3264
花旗(台灣)商業銀行,2907945,2488489,19561,30528,17258483,9781715,20020443,190656,0.491777712406767,0.0835431835219626,751.472368659486,113764,113764
澳盛(台灣)商業銀行,645317,382432,5517,4524,3474105,1581913,3467693,18549,0.314375893824979,0,5231.04865290995,14528,14528
臺灣中小企業銀行,336640,135226,1164,1844,580031,112644,865358,4682,0.21713682309294,0.0479144814973665,1014.85219815989,2228,2228
渣打國際商業銀行,418806,272500,10552,4529,2276253,696624,1621366,7586,0.495123440320824,0,452.890757874188,13074,13074
台中商業銀行,156299,59402,1548,762,212878,37656,358682,0,1.67701820821321,0.659782377955668,462.666467155469,0,0
匯豐(台灣)商業銀行,618602,440435,9153,6353,3166003,2044088,4345791,59068,0.264108512679784,0,2097.17748178103,8405,8405
華泰商業銀行,10501,6726,32,69,19700,3267,63504,0,0.761970424611288,0.638343397841282,180.650645439749,0,0
臺灣新光商業銀行,915711,449771,7713,5476,2259945,1295287,3142381,18769,0.182581008652505,0.00458685059531638,245.739294022943,6488,6488
陽信商業銀行,66629,37552,995,567,280711,45423,234481,150,0.399170309019791,0,987.812399773024,0,0
三信商業銀行,16466,11127,494,73,33860,16233,128583,51,0.344695036265447,0,4126.95211202674,0,0
聯邦商業銀行,1777391,791475,22905,16288,5102301,2944430,5108874,187432,0.274052570031842,0.000749012006350373,129.881045376789,11550,11550
遠東國際商業銀行,1493439,1012732,14502,8844,5375103,4714935,5103915,229989,0.256433876875048,0.103198999230202,100.428463495577,11718,11718
元大商業銀行,314627,152457,8171,1919,474280,281636,1593279,1499,0.25670221526387,0,1009.04806078878,1702,1702
永豐商業銀行,2184231,1321057,19290,13230,4936312,4236907,7092518,124165,0.299212371047304,0,1250.97268531471,14483,14483
玉山商業銀行,3715397,2555721,48512,27383,10557726,6904779,18400359,158672,0.228754530788664,0,2568.96807069497,38080,38080
凱基商業銀行,496348,193451,5168,4100,1301382,262575,730626,11939,1.36210748149073,0.705111096419596,181.771438007927,5551,5551
星展(台灣)商業銀行,12544,6575,120,120,17494,946,63597,9,0.650049902820823,0,1036.81666046858,429,429
台新國際商業銀行,3514678,2408179,46223,28772,10469862,8593865,14230439,135484,0.257919114481619,0.00282553045111669,603.669295302481,17414,17414
大眾商業銀行,591031,292736,9195,7598,913845,3721414,1775564,70264,0,0,485.369795159148,9291,9291
日盛國際商業銀行,192269,108054,406,939,507176,228739,398915,9725,0.287946259129457,0,290.088454049904,2976,2976
安泰商業銀行,204451,71396,1025,1016,485517,1049381,460513,1403,0.247386182851757,0.0156033049486725,429.346085205693,0,0
中國信託商業銀行,5820462,3763510,96600,32840,15298264,13612276,25227304,618280,0.150350318884276,0.000178371850561985,745.080821965447,62516,62516
台灣樂天信用卡股份有限公司,879,173,747,1,26,4,2330,1,0,0,,0,0
台灣美國運通國際(股)公司,161932,89728,3028,2613,328661,0,3863206,0,0.0947950418745586,0,518.494815524737,5708,5708
台灣大來國際信用卡(股)公司,25438,9971,5,476,25018,2284,47281,1400,2.04922783652546,0.108193047308698,9.82272323307919,0,0
台灣永旺信用卡(股)公司,109293,82025,2924,11652,342716,89927,214038,3125,1.59837454340732,0.619685314592022,728.804711140297,3238,3238
