金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月,逾期六個月,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,227318,109946,685,924,221020,10915,568733,1269,0.179408187582188,0.0570451360378325,911.457882808851,1029,4723
臺灣土地銀行,196893,107465,6208,972,232723,41287,653334,525,0.255073114840137,0.194382559996717,1576.61714435972,1385,4354
合作金庫商業銀行,422855,257639,5044,3025,588964,200402,2279338,3141,0.239965122186445,0.20185254355423,341.663284051773,8472,17433
第一商業銀行,920036,606484,13476,9292,1329391,1009601,3651994,14204,0.179598187335714,0,1916.15391929153,5993,22436
華南商業銀行,832162,602900,16423,8391,680531,1254886,3473594,942,0.128846143711245,0,534.896947701975,0,11557
彰化商業銀行,440418,211994,3960,2929,269184,126890,1134335,650,0.154475082296336,0.00833213200742221,970.875436132131,1956,8180
上海商業儲蓄銀行,359676,182348,1031,2015,708073,190762,978164,6336,0.559505073796701,0.116554976727616,2983.25583825296,5853,10823
台北富邦商業銀行,2299753,1632378,36420,20852,6364360,5327285,16436733,52516,0.163039857853312,0.000150602863261636,750.591020627914,25102,97322
國泰世華商業銀行,5297833,3688428,64429,24825,13856305,9900271,28295268,155740,0.144999685924643,0,2285.1887912139,34098,125650
高雄銀行,9257,3984,200,39,6654,100,134193,103,0.489497361303287,0.489497361303287,192.484342379958,140,142
兆豐國際商業銀行,619452,402970,9216,5867,1139729,771847,2360194,6513,0.195033299198982,0.0658489927312391,540.681996214983,4702,16903
花旗(台灣)商業銀行,2902949,2453939,15949,28598,15749353,9875592,19181739,200321,0.498889163445491,0.106042442311058,631.557838305551,69872,308331
澳盛(台灣)商業銀行,567031,355905,5029,7098,3100167,1591211,2921416,20664,0.455339857534437,0,385.648394276526,14005,54623
臺灣中小企業銀行,334262,131016,773,1152,463127,70657,826410,3627,0.116435662535918,0,610.982308312351,2713,8950
渣打國際商業銀行,373271,223898,1511,4178,1927725,594005,1261315,6792,0.43936662617427,0,520.864451907356,9808,46181
台中商業銀行,197451,79398,2039,1226,241963,44383,446844,0,1.36698257501036,0.0162957245164887,493.354954049821,0,10021
匯豐(台灣)商業銀行,623952,430401,5610,7668,2760702,1586594,3836647,44657,0.20752501855122,0,2930.08111296226,8130,32699
華泰商業銀行,10247,6329,17,15,18465,2582,50748,0,0.371134611526667,0.203479207864041,219.995681278342,288,288
臺灣新光商業銀行,906799,465869,9760,13013,2065314,1256823,3128879,14506,0.26875227532451,0.037132456858169,236.510074898386,4605,21069
陽信商業銀行,78782,39619,5293,855,242786,50502,224459,132,0.344870202861363,0,962.665327306211,0,3475
三信商業銀行,16872,11045,265,80,30168,13506,124795,144,0.182746109169203,0,7191.84409642794,17,836
聯邦商業銀行,1833111,829646,19967,23890,4518915,2683904,5670927,111826,0.263669346985783,0,119.705917968247,12800,53747
遠東國際商業銀行,1464607,1030931,11003,5500,4879453,5174847,4108784,192180,0.359292642212844,0.103972452038446,100.510576249754,16082,62369
元大商業銀行,480205,280579,16721,2728,432189,354522,3300018,764,0.149567792123708,0,1127.04016603314,1800,6679
永豐商業銀行,2178492,1314617,90927,39948,4899885,3775996,6793069,101514,0.336871175235585,0,674.657565454274,15877,60708
玉山商業銀行,4096578,2831306,75392,21196,10461593,8514260,21922465,142684,0.244442898232532,0,1281.30424491826,38238,153603
凱基商業銀行,515372,217794,14061,15247,1112257,286004,904767,10291,1.6934836963026,1.17502741272403,119.390095589721,6265,24528
星展(台灣)商業銀行,12792,6164,91,70,21667,310,56679,14,1.52711880818336,0,660.262384400315,0,326
台新國際商業銀行,3595669,2481894,30750,29080,10137434,9326282,14445703,146249,0.239180345859317,0.00247967573609709,615.920131469849,23020,96205
大眾商業銀行,600434,320471,9389,6524,865073,3548952,1730337,75311,0.00919473458348233,0.0091033961604676,436.571832902128,7995,34459
日盛國際商業銀行,186641,100318,420,1040,453080,224114,364067,5619,0.183199620799975,0,232.426472226141,683,4726
安泰商業銀行,184888,71167,936,439,403776,1239645,416285,1575,0.568461811907185,0.186334234999814,269.840137661712,0,0
中國信託商業銀行,5884540,3819573,64539,33548,14132155,12443074,25114195,684148,0.173891607965867,0.000564495589662475,633.51070352111,60598,248631
台灣樂天信用卡股份有限公司,112145,82916,12173,341,66362,98120,415130,696,0.248280066470228,0.0124549736315098,224.608184853877,145,332
台灣美國運通國際(股)公司,164835,87759,3685,2198,325664,0,3618024,1158,0.100086460284312,0,509.400004044462,3652,9744
台灣永旺信用卡(股)公司,88765,39377,100,769,270079,56495,166486,2908,0.884394370975608,0.293855712074413,1774.50159748176,2240,9160
