金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,240357,118689,799,3568,219632,14895,638268,1135,0.28,0.06,599.82,861,13926
臺灣土地銀行,265693,140970,2316,1360,354683,60148,857355,705,0.34,0.29,1047.42,2383,27903
合作金庫商業銀行,476479,295094,4341,3335,702114,282369,2948052,2866,0.26,0.23,298.86,4247,54553
第一商業銀行,1000449,654065,9221,8548,1471166,1325726,4235423,16196,0.18,0,1757.97,6493,73983
華南商業銀行,1050367,791494,13016,10681,1026218,2824700,4092804,2056,0.04,0,954.4,18134,69701
彰化商業銀行,424826,200027,677,2615,300969,165773,1295564,573,0.19,0.02,865.05,2400,23977
上海商業儲蓄銀行,358618,183818,1234,1841,690572,250782,1029516,7405,0.59,0.17,1056.97,5772,33356
台北富邦商業銀行,2371653,1742111,25029,13361,5581589,12393381,19350236,61678,0.11,0,896.83,22022,271472
國泰世華商業銀行,6053831,4356648,72290,38218,16554961,11392299,35263190,232260,0.13,0,2607.8,31633,391223
高雄銀行,10723,4533,51,23,8372,12,136870,95,0.32,0.27,264.48,171,1723
兆豐國際商業銀行,665596,452664,9358,3927,1143885,1073968,2720418,4538,0.2,0.08,515.43,2755,39010
花旗(台灣)商業銀行,2898529,2467008,21296,21522,16456891,10676183,20904659,200162,0.57,0.19,497.79,0,685309
澳盛(台灣)商業銀行*,0,0,3,1528,0,0,681762,5609,0,0,0,4261,142366
臺灣中小企業銀行,324952,127305,1649,1642,434015,73805,977387,3052,0.14,0.01,271.36,2421,28506
渣打國際商業銀行,335373,200737,11983,4600,1666087,364323,1288151,9668,0.41,0,573.11,10703,116645
台中商業銀行,148156,85414,1321,63619,281965,46477,559536,438,1.07,0.05,635.61,0,30869
滙豐(台灣)商業銀行,589430,409953,6008,6881,2392386,1704730,4995104,45190,0.22,0,2616.41,11843,102128
華泰商業銀行,10367,5956,9,76,16294,2529,56826,0,0.83,0.02,268.15,44,1703
臺灣新光商業銀行,883629,480062,4848,12397,1911436,1331806,3642547,10742,0.25,0.06,218.36,6557,72852
陽信商業銀行,93470,49803,883,988,221616,52265,308259,231,0.35,0,856.99,3790,18255
三信商業銀行,15775,10751,91,72,27581,16339,132956,71,0.32,0,7455.09,376,3267
聯邦商業銀行,2036860,1152629,22756,14524,5438950,2966651,7228561,68881,0.29,0,118.36,16413,186744
遠東國際商業銀行,1481903,980455,13606,8183,4524258,6050803,4490549,208563,0.31,0.08,101,16388,205671
元大商業銀行,650964,459608,5997,4922,524948,561098,4978975,839,0.07,0,1487.84,2785,23164
永豐商業銀行,1784613,1030411,10520,55839,4671979,3712731,6595837,104764,0.23,0,806,34082,201753
玉山商業銀行,4573228,3218922,39788,25853,12210844,13279240,28059412,306140,0.24,0,726.93,45229,519217
凱基商業銀行,451770,192402,13483,8108,1069562,443768,1003867,7740,0.77,0.43,134.62,5045,68391
星展(台灣)商業銀行,548108,321791,260,4166,1835454,1100196,1718873,12259,0.64,0.09,310.56,0,1210
台新國際商業銀行,4119324,2920177,45100,14829,10304766,16506504,21206435,272729,0.2,0.01,686.16,25257,294905
大眾商業銀行,567109,312397,3431,5643,942979,3284981,1860034,67185,0,0,625.5,13292,123349
日盛國際商業銀行,171181,100667,319,657,375423,230609,381569,7612,0.33,0,174.3,658,17563
安泰商業銀行,152325,67020,648,342,321409,1297760,444777,807,0.34,0.04,185.66,0,18702
中國信託商業銀行,6361648,4106622,81525,41137,16499970,13641482,40304673,707391,0.13,0,567.68,66759,750735
台灣樂天信用卡股份有限公司,372898,251744,11232,967,305082,463070,1413684,2818,0.2,0.04,593.26,794,6402
台灣美國運通國際(股)公司,168194,111319,2484,2716,374065,0,4210321,1843,0.29,0,323.04,4424,50013
台灣永旺信用卡(股)公司,71596,31444,72,799,252232,29997,139927,2309,0.73,0.09,2802.28,866,20400
