金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以,逾期六個月以,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,246554,127515,6035,2031,218888,11175,715581,1668,0.22,0.1,620.88,1566,5511
臺灣土地銀行,238923,128368,4197,1592,303341,50109,901209,875,0.49,0.27,790.6,1687,5809
合作金庫商業銀行,460340,283855,7299,4453,627509,216986,2856003,3066,0.4,0.34,246.42,7017,9976
第一商業銀行,958755,636254,12413,11055,1406222,1060140,4431400,15935,0.21,0,1625.43,5994,17857
華南商業銀行,941621,696201,23884,11502,827064,1877253,4327085,1583,0.08,0,739.49,15817,15817
彰化商業銀行,418948,203792,5331,3412,353306,138014,1320796,432,0.38,0.01,528.27,1555,4736
上海商業儲蓄銀行,360783,180941,5571,1883,685936,200287,1141316,6865,1.03,0.37,656.47,0,5671
台北富邦商業銀行,2310957,1716673,29896,23974,5815940,10425549,20687454,56987,0.15,0,777.48,22230,69014
國泰世華商業銀行,5962349,4207495,75877,42088,14981497,9985594,41143244,245241,0.14,0,2477.73,35287,96645
高雄銀行,10333,4358,62,65,7901,72,135810,118,0.91,0.81,165.45,0,155
兆豐國際商業銀行,601327,405872,5856,5208,1106370,767302,2448988,4309,0.19,0.06,566.98,4346,9785
花旗(台灣)商業銀行,2861481,2432340,22321,30738,15916795,9523358,19235738,184915,0.54,0.12,600.88,117205,247386
澳盛(台灣)商業銀行,537755,325002,6142,5147,2915875,1523659,3200633,27246,0.42,0,264.56,14607,39673
臺灣中小企業銀行,324713,123126,751,2697,435584,51673,917376,3608,0.2,0.05,135.32,3006,6796
渣打國際商業銀行,341006,206715,1664,4602,1772047,481517,1349840,10858,0.47,0,543.26,7863,26874
台中商業銀行,205546,80194,2403,1351,271519,42713,584276,420,2.68,1.23,209.46,0,0
滙豐(台灣)商業銀行,584317,398519,8317,9449,2555195,1482448,4675254,48075,0.33,0,2348.01,9692,24539
華泰商業銀行,10185,6035,88,28,17617,2837,55391,0,0.87,0.27,236.68,383,575
臺灣新光商業銀行,912987,483775,15755,7581,1947707,1280738,4333346,13151,0.27,0.04,234.87,6642,18192
陽信商業銀行,91581,49195,2822,1245,230095,64203,311583,268,0.08,0,1142.85,7600,7600
三信商業銀行,17000,11105,219,107,28697,15801,107710,31,0.28,0,6945.27,276,758
聯邦商業銀行,2008953,1103764,29743,30487,4877382,2566341,6979863,74960,0.29,0,121.13,15776,46485
遠東國際商業銀行,1499280,959883,16553,10792,4538244,5409571,4516807,234259,0.34,0.08,100.51,18302,52612
元大商業銀行,610002,395101,20381,5553,501843,480922,5286364,907,0.12,0,1204.93,1869,5136
永豐商業銀行,1858776,1068362,15901,88350,4761682,3345166,7334832,103792,0.39,0,575.66,17465,47902
玉山商業銀行,4368926,3035991,57240,24854,11306083,10159442,24610028,201951,0.26,0.02,936.73,44128,133577
凱基商業銀行,484197,196927,12145,12479,1071310,341611,1113927,9208,0.91,0.6,139.13,5658,17256
星展(台灣)商業銀行,12571,5610,25,56,21429,29,56580,13,0.19,0,4077.28,462,659
台新國際商業銀行,3889025,2721683,58663,18092,10040996,14048813,18887404,196573,0.24,0,630.05,25316,77890
大眾商業銀行,576380,324600,8133,27768,908573,3406055,2080683,54792,0,0,534.92,9959,29722
日盛國際商業銀行,173129,96188,533,996,415572,218000,435328,5274,0.35,0,194.75,1433,4084
安泰商業銀行,181274,68798,908,486,351718,1303000,458561,1084,0.44,0.18,225.32,0,0
中國信託商業銀行,6061006,3889999,77604,48960,14929866,12390014,28782919,749912,0.16,0,594.18,61372,186749
台灣樂天信用卡股份有限公司,252784,178580,19666,633,166398,300094,1068935,2326,0.21,0.03,229.87,223,1287
台灣美國運通國際(股)公司,170659,112693,3954,3448,347661,0,3662614,1671,0.17,0,373.66,2740,8882
台灣永旺信用卡(股)公司,76447,34695,77,1021,259157,35782,120110,2098,1.11,0.33,1662.24,1328,5683
