金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,239607,116479,2364,3535,219704,17088,696069,1290,0.2,0.1,631.18,993,993
臺灣土地銀行,266885,140998,2556,1740,356497,60540,916373,782,0.37,0.35,766.38,2264,2264
合作金庫商業銀行,476782,295608,4602,4395,719843,280787,2839517,2712,0.24,0.21,321.59,5027,5027
第一商業銀行,1002893,653167,9295,10189,1482596,1302294,4466514,16555,0.17,0,1618.04,6490,6490
華南商業銀行,1044775,789203,13767,18541,1015452,2795102,4455320,2084,0.12,0,568.19,0,0
彰化商業銀行,424339,198606,2140,3215,367948,166476,1320592,787,0.32,0.01,613.95,2072,2072
上海商業儲蓄銀行,357684,183407,1466,2400,692139,252515,1100769,7712,0.73,0.28,847.38,0,0
台北富邦商業銀行,2378757,1745811,24411,17307,5552532,13413283,20763217,68610,0.1,0,1334.9,21140,21140
國泰世華商業銀行,6087205,4405887,73731,40357,16969656,11563061,48068841,229948,0.13,0,2486.09,30020,30020
高雄銀行,10739,4509,55,41,8655,10,117816,61,0.51,0.44,274.03,54,54
兆豐國際商業銀行,666393,452948,7806,7009,1135854,1061984,2877218,4969,0.19,0.09,810.59,3846,3846
花旗(台灣)商業銀行,2901344,2471584,24426,23238,16479621,10400677,20625738,188998,0.45,0.09,521.97,109000,109000
臺灣中小企業銀行,323688,127179,877,2141,431513,27728,985788,3159,0.14,0.02,477.89,3992,3992
渣打國際商業銀行,348357,212001,17307,5616,1655690,372040,1627777,9713,0.39,0,885.72,7695,7695
台中商業銀行,148944,85837,1650,1112,272929,46678,622667,352,1.44,0.41,416.66,0,0
滙豐(台灣)商業銀行,591655,410826,11124,8899,2379887,1716452,5497246,51251,0.22,0,3007.81,9921,9921
華泰商業銀行,10325,5943,11,53,16901,2446,53027,0,0.82,0.17,291.73,0,0
臺灣新光商業銀行,877616,475825,7639,13652,1891179,1325881,4660700,12391,0.26,0.02,245.45,6329,6329
陽信商業銀行,93968,49832,1204,917,222732,55057,336706,490,0.48,0.01,1135.5,0,0
三信商業銀行,15703,10697,122,77,28342,17206,119377,41,0.24,0,8198.79,199,199
聯邦商業銀行,2047314,1153254,25833,15379,5521908,2928990,7627982,77731,0.28,0,137.19,16379,16379
遠東國際商業銀行,1485559,988378,12893,9266,4428864,6093401,4806196,239180,0.32,0.09,100.91,17082,17082
元大商業銀行,1215772,764513,6113,10024,1628621,3823749,7110013,23430,0.1,0,1030.16,159,159
永豐商業銀行,1783377,1029852,11694,12975,4658583,3704780,7117557,106783,0.27,0,724.6,5804,5804
玉山商業銀行,4591296,3227460,45684,27616,12329678,13447943,28691634,331589,0.26,0,673.64,43149,43149
凱基商業銀行,438773,192436,6597,19587,1061727,448023,1048478,7207,0.77,0.46,159.16,6804,6804
星展(台灣)商業銀行,548369,324568,3450,3193,1899796,1288818,2526426,18287,0.68,0,316.68,15207,15207
台新國際商業銀行,4157936,2947572,56427,17815,10471951,17257345,23449596,327502,0.21,0.01,679.6,23187,23187
日盛國際商業銀行,170861,102119,395,715,370666,225697,416595,5922,0.28,0,879.44,1101,1101
安泰商業銀行,150504,66832,532,445,316016,1323300,457071,828,0.42,0.1,195.12,0,0
中國信託商業銀行,6389288,4136627,81955,47267,16692040,14070972,37306109,730203,0.13,0,610.77,65995,65995
台灣樂天信用卡股份有限公司,384297,258146,11894,977,312928,502019,1517821,2990,0.21,0.05,851.2,628,628
台灣美國運通國際(股)公司,167837,110561,2534,2891,365866,0,3939641,1697,0.21,0,362.74,9144,9144
台灣永旺信用卡(股)公司,70750,31069,77,973,254681,28864,124837,2378,0.69,0.09,2896.07,659,659
