金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,252030,133994,3366,2157,212925,11660,808856,1108,0.13,0.06,964.19,557,8023
臺灣土地銀行,250897,132392,5949,1122,316490,76775,1044392,750,0.27,0.21,1337.36,3332,15258
合作金庫商業銀行,465676,284667,6512,4359,657526,554801,4438240,3278,0.22,0.2,281.23,4542,25298
第一商業銀行,971153,637772,10326,9915,1435938,1280792,5218852,17143,0.19,0,1641.2,5960,35789
華南商業銀行,979116,728091,26763,10135,889367,2947652,5677141,2023,0.05,0,953.73,18290,34107
彰化商業銀行,424323,203151,3890,2778,359509,356615,2519071,652,0.2,0.01,605.02,1954,13048
上海商業儲蓄銀行,362268,185262,2318,2304,693877,335512,1424571,7889,0.56,0.18,1026.15,7339,18617
台北富邦商業銀行,2338308,1732731,31746,20570,5670198,12316414,22527968,59916,0.12,0,888.96,23981,142973
國泰世華商業銀行,6039950,4246296,64690,39491,15588442,13567574,46889029,243943,0.11,0,2569.52,34692,196849
高雄銀行,10338,4129,45,39,7885,52,147496,218,0.15,0.15,483.14,203,1264
兆豐國際商業銀行,607085,399060,7628,3786,1117179,1138643,3948665,4385,0.15,0.05,608.03,975,18792
花旗(台灣)商業銀行,2906047,2456011,26163,30149,16008506,9563950,20986512,192271,0.61,0.2,492.48,63306,370887
澳盛(台灣)商業銀行,540916,323431,5635,4440,2842229,1712778,3492599,23725,0.39,0,223.26,9711,75633
臺灣中小企業銀行,326607,124346,3775,2602,433996,84166,1229575,3574,0.11,0.01,131.11,2019,13760
渣打國際商業銀行,330557,201665,1652,4567,1753782,526713,1493257,10239,0.34,0,570.86,7864,55932
台中商業銀行,206983,80359,1935,1316,286702,41186,652030,340,1.97,0.84,239.98,0,11366
滙豐(台灣)商業銀行,583808,399211,8808,8459,2459232,1654344,5415695,43699,0.22,0,2764.09,9525,51503
華泰商業銀行,10394,6027,96,34,16618,2195,64857,0,0.71,0.66,248.32,589,1164
臺灣新光商業銀行,923109,492159,10316,9069,1929281,1727717,5742197,10979,0.22,0.04,227.54,5352,36369
陽信商業銀行,93044,50683,1187,1669,228282,71174,314119,317,0.26,0.02,922.77,2927,10527
三信商業銀行,16464,11093,138,92,28870,15787,126765,20,0.2,0,7905.52,436,1849
聯邦商業銀行,2011326,1126393,26830,26885,5064999,3459061,8132253,71345,0.27,0,123.65,14163,89405
遠東國際商業銀行,1441945,961262,13508,6917,4511801,5411416,5362990,222139,0.34,0.07,100.53,17898,103469
元大商業銀行,605237,428617,13173,39129,526730,555158,5945878,810,0.11,0,1170.28,2316,11215
永豐商業銀行,1836342,1038061,14570,39803,4668504,3930499,8945512,120122,0.34,0,598.62,16102,93934
玉山商業銀行,4459673,3109359,59758,25288,11391819,16412387,39036357,288768,0.23,0.02,805.09,39429,255018
凱基商業銀行,460688,192734,7650,15753,1057733,608318,1482675,8771,0.67,0.4,148.94,5359,35415
星展(台灣)商業銀行,12370,5473,29,78,22331,12,56680,12,0.06,0,10661.41,0,863
台新國際商業銀行,4020610,2793273,62005,15459,9914746,16706569,28825609,177548,0.2,0,657.93,25794,151570
大眾商業銀行,578136,324143,7201,6690,932760,3433147,2272835,53388,0,0,575.26,13115,60820
日盛國際商業銀行,172430,100746,548,649,402045,247062,487212,4337,0.28,0,179.58,2390,9553
安泰商業銀行,172007,68080,812,418,340378,1278638,444972,978,0.38,0.04,303.88,0,7100
中國信託商業銀行,6162937,3961419,74987,44703,15225479,18749003,54837740,730184,0.1,0,595.94,58575,372751
台灣樂天信用卡股份有限公司,300183,210722,16708,668,203894,324528,1085232,2380,0.2,0.05,231.11,565,2669
台灣美國運通國際(股)公司,170733,112006,3326,3339,345593,0,3912960,1720,0.51,0,190.93,3282,16326
台灣永旺信用卡(股)公司,74800,33177,111,745,254229,33149,139387,2610,0.77,0.13,2564.38,2070,11975
