金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,226149,111710,2578,2044,187221,139929,1250279,834,0.18,0.07,793.66,275,3595
臺灣土地銀行,338767,152321,3884,2190,370494,149356,1044154,681,0.25,0.22,1063.4,1938,13882
合作金庫商業銀行,571807,353570,9214,3734,718185,1334690,5616182,2240,0.11,0.08,473.04,6757,38982
第一商業銀行,1273378,753398,30341,12728,1367205,1638254,5330461,9476,0.05,0,2047.89,5292,40708
華南商業銀行,1017424,764608,8892,9731,998999,4076956,6304496,1547,0.08,0,497.09,0,28004
彰化商業銀行,537221,226463,5457,5560,323609,608263,2282817,766,0.16,0,647.32,1177,12988
上海商業儲蓄銀行,438869,231711,2273,2096,611599,738295,1646115,6909,0.18,0.11,1720.12,2192,23346
台北富邦商業銀行,3664247,2362890,97568,22785,5127043,20619337,29284215,90411,0.08,0,1479.56,22468,158981
國泰世華商業銀行,6981398,4998658,72686,29543,17536724,20871930,50408071,214043,0.13,0,1362.79,42664,312689
高雄銀行,14206,7118,270,91,11478,0,215213,154,0.14,0.14,385.32,0,430
兆豐國際商業銀行,963046,620403,14404,4488,1399202,3573915,6821194,2844,0.17,0.09,528.95,5569,36784
花旗(台灣)商業銀行,2859733,2185647,12173,27351,11106902,10022559,16306600,70364,0.56,0.11,483.7,96516,374055
臺灣中小企業銀行,203428,110348,927,1332,336546,105998,1049848,2085,0.08,0.03,369.86,1258,11519
渣打國際商業銀行,394755,275131,17068,2371,1245680,547991,3591445,5658,0.16,0,1145.85,4622,37611
台中商業銀行,146327,78866,1329,776,226521,50213,608246,382,0.31,0.01,1340.06,905,9670
滙豐(台灣)商業銀行,619771,428002,8155,8827,2004060,1704927,6105160,23732,0.19,0,2099.57,5540,43009
華泰商業銀行,9543,4997,20,50,11383,2004,44027,0,0.31,0,474.15,146,664
臺灣新光商業銀行,871380,521733,11919,5652,1580969,2110044,5267668,4955,0.15,0.01,219.02,6896,48803
陽信商業銀行,110152,54646,966,758,194108,90085,387984,186,0.46,0.06,647.05,0,5904
三信商業銀行,15229,10235,104,38,20832,14862,117015,25,0.5,0,4987.96,172,1014
聯邦商業銀行,2196946,1306551,31189,26805,5688848,4083407,9754617,60669,0.18,0,157.37,12874,118277
遠東國際商業銀行,1618470,1014033,11836,6099,3952079,5016331,4977636,129058,0.34,0.11,100.74,12175,96042
元大商業銀行,1168642,625627,4260,7397,1383171,3067060,5317686,15915,0.08,0,889.72,4119,41098
永豐商業銀行,2084392,1078258,41802,9232,4072083,5282686,12821162,93103,0.2,0,673.72,13133,100064
玉山商業銀行,6192382,4404803,88120,28761,12115311,21394014,60621125,277883,0.15,0.03,607.01,43334,311442
凱基商業銀行,361935,183702,6734,5228,1081917,871277,1253399,7164,0.59,0.28,197.57,6237,46395
星展(台灣)商業銀行,596643,330263,10352,20803,1367859,2139429,3833826,23912,0.64,0,292.8,13042,85893
台新國際商業銀行,5549590,3950827,68525,24068,10104376,23169734,45812976,233537,0.14,0,1043.22,30298,214151
日盛國際商業銀行,147184,98442,269,562,271929,152447,393028,2186,0.21,0,896.64,477,4133
安泰商業銀行,124020,57316,447,562,223316,1149969,375091,569,0.49,0.19,225.54,0,7031
中國信託商業銀行,7084698,4607130,85145,36262,16020000,27628638,69972084,592530,0.09,0,465.71,51240,400428
台灣樂天信用卡股份有限公司,590242,261923,2797,1562,413004,830885,1047609,3175,0.57,0.14,388.02,692,6093
台灣美國運通國際(股)公司,176567,104937,1750,2651,272582,0,2765784,374,0.24,0,1387.26,3150,28030
