金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,222920,111506,979,983,186354,37760,561256,653,0.17,0.03,884.5,173,349
臺灣土地銀行,340894,148398,1348,1831,382315,91835,720737,546,0.22,0.17,1316.93,980,2302
合作金庫商業銀行,590739,366111,6949,3457,788822,467235,2747945,1576,0.26,0.2,453.89,5218,9420
第一商業銀行,1284233,772079,10386,9990,1465597,1756021,4058030,6823,0.04,0,1941.85,4880,9942
華南商業銀行,1004796,760841,8265,7367,943176,3309575,3533919,996,0.12,0,487.4,0,0
彰化商業銀行,529266,221685,5950,3365,277749,360342,1231965,577,0.11,0,964.84,1539,3689
上海商業儲蓄銀行,443419,229068,2253,1768,622811,789116,1130320,4581,0.18,0.13,1710.35,2280,5356
台北富邦商業銀行,3901096,2607314,38236,18670,5648832,22262239,19955979,58010,0.08,0,1416.54,19556,37246
國泰世華商業銀行,7162679,5151296,51296,29208,17305844,17690117,37853545,164219,0.14,0,1311.55,34925,66877
高雄銀行,15953,7366,187,117,11699,52,119000,137,0.59,0.59,213.16,1,1
兆豐國際商業銀行,1007547,631633,6212,3833,1660604,2782588,3384693,7826,0.21,0.14,454.77,3994,9034
花旗(台灣)商業銀行,2860096,2177308,23866,23874,11269069,11485457,15666840,102787,0.61,0.23,367.01,0,31211
臺灣中小企業銀行,217933,110706,223,1727,330526,34328,745589,1378,0.28,0.04,303.74,0,797
渣打國際商業銀行,415698,296232,1498,2588,1231944,412091,2873477,3668,0.16,0,1072.9,3737,7069
台中商業銀行,150382,79234,1232,732,206314,52296,463759,215,0.36,0,1485.41,932,2477
滙豐(台灣)商業銀行,620709,426460,9266,6242,1946074,1540379,4344170,18996,0.24,0,1826.85,4836,9639
華泰商業銀行,9341,5075,5,157,11236,2173,34460,0,0.63,0,440.56,37,37
臺灣新光商業銀行,907722,546543,14084,5080,1591658,1964086,3509258,3297,0.1,0,240.08,4394,8693
陽信商業銀行,113233,54040,1625,551,190682,78623,305683,81,0.37,0,237.13,0,0
三信商業銀行,15059,10070,120,37,20386,13048,92222,30,0.4,0,6698.28,31,137
聯邦商業銀行,2258384,1324412,17747,10624,5610307,4303724,7919394,42835,0.15,0,161.38,12790,26735
遠東國際商業銀行,1633236,1045513,9318,5881,4036449,5250423,3995921,85348,0.27,0.09,101.02,11145,21796
元大商業銀行,1156757,579751,2231,4825,1288352,3077602,3685089,9095,0.08,0,721.5,6126,10496
永豐商業銀行,2078893,1114214,19845,8788,4107656,4953207,8755319,59329,0.14,0,845.47,9981,19470
玉山商業銀行,6392366,4479073,35866,17280,12625804,18084338,34258025,192568,0.12,0,680.83,35083,71962
凱基商業銀行,356333,186858,2825,2424,1119277,863056,877098,4933,0.6,0.31,182.9,3617,8949
星展(台灣)商業銀行,609813,324047,1640,4876,1390648,1972141,2628850,17082,0.59,0,307.71,14858,24553
台新國際商業銀行,5790196,4025096,48945,22440,10463647,21413674,26367585,78493,0.13,0.01,971.61,21129,40719
日盛國際商業銀行,145561,96419,230,478,251233,124153,279194,938,0.29,0,1072.82,631,1231
安泰商業銀行,123653,55697,283,392,212949,1139983,301833,295,0.34,0.17,191.09,0,0
中國信託商業銀行,7387525,4766437,79562,32688,16223005,21820370,34224111,431923,0.16,0,436.99,52331,107789
台灣樂天信用卡股份有限公司,597893,235932,1218,3335,466082,915360,880579,3570,0.62,0.13,404.79,673,1355
台灣美國運通國際(股)公司,173576,102996,1652,1946,266755,0,2401324,218,0.13,0,1779.2,1282,2856
