金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月,逾期六個月,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,227434,109092,754,1002,223831,10110,664177,1336,0.114081012051169,0.0707253832673916,1021.60422891289,783,5506
臺灣土地銀行,202536,109703,6027,962,237374,39495,780114,928,0.335874292372053,0.271203487463694,1099.81458590853,1446,5800
合作金庫商業銀行,426307,257753,6489,3187,586271,202905,2470776,3636,0.347704301575801,0.312856595618315,304.18206399279,405,17838
第一商業銀行,925858,610671,12577,9972,1355442,999003,4073659,17258,0.175388417616792,0,1952.6602741766,5989,28425
華南商業銀行,838898,610159,16419,8877,719157,1402385,3777557,1277,0.205919033017389,0,405.309054283291,0,11557
彰化商業銀行,438538,210691,4538,3096,339453,127096,1251587,621,0.323073084453775,0.007497606297006,593.193956966275,1726,9906
上海商業儲蓄銀行,358654,181353,1159,2181,730472,191918,1055600,7231,0.764023205622694,0.257187931395725,2127.60966455548,0,10823
台北富邦商業銀行,2307385,1652437,38553,30921,6287126,5865971,16459056,61349,0.157240480457183,0.000154101118143378,774.008404445456,22260,119582
國泰世華商業銀行,5330485,3718798,59114,26462,13828682,9676100,36226315,172243,0.123005641720857,0,2387.17102936018,32361,158011
高雄銀行,9475,4204,253,35,7017,95,138270,169,0.491925847768515,0.491925847768515,192.607654169684,0,142
兆豐國際商業銀行,609493,404255,8878,18837,1134483,771792,2543996,6211,0.20395726128959,0.0678174721944758,530.219937487835,3395,20298
花旗(台灣)商業銀行,2901368,2455744,16958,29263,15348515,9826731,20133271,225512,0.481977508575887,0.0979310965694577,646.24374982923,58405,366736
澳盛(台灣)商業銀行,566129,353846,4520,5527,3074151,1557127,3149908,24558,0.461219421763034,0,383.477201613092,11330,65953
臺灣中小企業銀行,333787,130310,718,1193,456628,76064,862417,4269,0.109970782128647,0,618.981295554169,2089,11039
渣打國際商業銀行,367548,220091,2183,4311,1914116,597113,1385529,4622,0.431828421128454,0,524.324126864828,12128,58309
台中商業銀行,197975,79110,2466,1415,250375,43038,500407,0,1.63929942549666,0.313954342027417,385.945561191362,0,10021
匯豐(台灣)商業銀行,620908,428251,4521,7565,2730911,1583852,4068687,52506,0.248988312524732,0,2675.37592289195,5288,37987
華泰商業銀行,10240,6344,11,10,18462,2313,60056,0,1.29975321141555,0.179712712776055,189.696143503103,0,288
臺灣新光商業銀行,909156,470763,11526,9169,2037509,1253288,4443955,22217,0.23928201316038,0.0387200380890449,243.19703389139,4611,25680
陽信商業銀行,82937,42093,5069,914,240568,53329,276281,269,0.521430406992745,0,831.250200301253,0,3475
三信商業銀行,16925,11105,168,66,30475,13724,113854,177,0.227615443707856,0,7092.7500320417,107,943
聯邦商業銀行,1836494,832964,20672,17289,4548359,2625093,6248158,104244,0.289878517851565,0.000233636558675284,119.462179635062,12874,66621
遠東國際商業銀行,1469664,1031779,11323,6272,4768253,5149855,4630202,239265,0.370407377550767,0.0905343033981624,101.411576031865,15041,77410
元大商業銀行,497877,294815,19509,3121,432513,374395,3621040,1012,0.153131495670255,0,1120.30529179814,1336,8015
永豐商業銀行,2223308,1319666,69133,24317,4884835,3691854,7434887,116054,0.348372923932044,0,650.8051646598,13556,74264
玉山商業銀行,4138311,2854201,65762,24029,10556924,9011057,25282782,179496,0.253944075667567,0,1220.20039375997,37787,191390
凱基商業銀行,508473,220172,8366,3821,1097034,285716,1073643,10765,1.65002341075756,1.16737426208659,116.466237482003,4859,29387
星展(台灣)商業銀行,12823,6090,86,55,20535,274,65445,20,1.11808768451201,0,793.681095785806,0,326
台新國際商業銀行,3607035,2495292,36644,25278,10134742,9609996,16077221,133291,0.23883852521762,0.00492191094646698,615.601107302927,23776,119981
大眾商業銀行,604766,321959,10716,6350,877385,3456483,1931398,85154,0.00859320935343413,0.00821230468351241,434.803168277732,9327,43786
日盛國際商業銀行,185978,99930,451,1114,445851,215285,404370,5379,0.183447283261538,0,225.466463074001,1624,6350
安泰商業銀行,184130,71303,892,499,398255,1251721,462570,1322,0.631943752020619,0.229632919691929,210.974464903936,0,0
中國信託商業銀行,5895792,3830003,60837,42374,14087127,12219015,27834319,780943,0.164467535813119,0.000662014932394424,624.147742161257,59729,308360
台灣樂天信用卡股份有限公司,127216,93728,15202,336,76080,108509,475794,1143,0.225338346885308,0.0194569255342736,233.625766133878,82,414
台灣美國運通國際(股)公司,165989,112891,4349,3195,325396,0,3845336,2028,0.127146338225127,0,441.242146810141,1703,11447
台灣永旺信用卡(股)公司,88249,38655,156,711,272072,54930,152400,2659,0.764896479370812,0.176102828350593,2205.20389847354,2560,11720
