金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,251012,122949,1847,1067,167720,117634,966494,307,0.09,0.02,1496.39,398,3374
臺灣土地銀行,336931,141671,2020,7223,336635,111032,816004,453,0.18,0.18,1119.54,2067,13570
合作金庫商業銀行,673959,393430,5971,3504,826542,1592835,3639661,1538,0.13,0.12,468.97,3647,31859
第一商業銀行,1533894,929878,14485,15115,1593836,2008068,5921910,6017,0.16,0,1003.64,5747,41129
華南商業銀行,1109600,862348,8833,12026,1051051,5061096,4446374,1301,0.12,0,417.67,0,25192
彰化商業銀行,612249,296580,6790,4266,328711,1071709,1852830,1116,0.17,0,578.23,1906,10728
上海商業儲蓄銀行,476186,206900,4101,2624,600862,1647943,1589021,4417,0.17,0.11,1334.71,2596,17652
台北富邦商業銀行,6796538,4432547,360977,57386,7268011,31109075,35263945,93590,0.12,0,1304.58,34442,193554
國泰世華商業銀行,10408270,6604141,209595,64501,19631096,34480596,55156137,215173,0.14,0,1436.82,55729,341743
高雄銀行,14985,4569,29,95,14773,529,234218,51,0.41,0.41,194.31,0,996
兆豐國際商業銀行,1143527,664467,7313,4737,1764990,3910730,4316380,13852,0.22,0.01,657.23,8005,54514
花旗(台灣)商業銀行,2724146,2040523,610,24767,10092626,9762722,18105236,89222,0.53,0.13,470.93,75313,285413
臺灣中小企業銀行,174913,96538,347,901,272949,297925,903710,1469,0.05,0.01,305,1147,7012
渣打國際商業銀行,286866,182064,3539,4168,905197,439579,1610993,3521,0.23,0,878.53,2509,23053
台中商業銀行,161288,80778,1446,7893,206553,44353,585624,302,0.1,0.01,2208.19,1743,9653
滙豐(台灣)商業銀行,693281,465393,9362,5230,1795843,1395609,6637998,18142,0.24,0,1405.85,8846,42607
華泰商業銀行,8947,4911,17,23,7556,2195,46392,0,0.44,0.41,597.64,0,161
臺灣新光商業銀行,1059510,605105,10261,8564,1590606,2495253,4432885,4353,0.14,0,289.51,7768,42675
陽信商業銀行,116798,57571,1043,1056,161701,132353,393948,77,0.35,0.01,660.3,0,4607
三信商業銀行,19779,12931,258,78,26152,15491,128574,38,0.14,0,4749,44,716
聯邦商業銀行,2679668,1580798,83590,17246,5848055,5807965,14385082,42143,0.14,0,200.15,14249,91499
遠東國際商業銀行,1438072,987088,12088,9146,3554331,4392492,4341929,98389,0.33,0.08,102.32,10403,72352
元大商業銀行,1204345,558744,6136,9915,1148611,3685794,4460839,17781,0.08,0,782.95,5726,32744
永豐商業銀行,2289131,1239017,17427,28015,3775389,5115566,10649894,71347,0.12,0,716.44,14143,96454
玉山商業銀行,7069476,4745873,77963,49984,12921674,36736727,43156487,248208,0.16,0,464.31,47558,322142
凱基商業銀行,380273,185418,1287,1740,1168849,1015377,1123405,6188,0.96,0.63,152.88,5885,42547
星展(台灣)商業銀行,674920,351929,8984,6369,1272891,2508087,4104759,20371,0.44,0,515.21,9495,65945
台新國際商業銀行,6467760,4419399,62726,38449,10174868,25937463,35623004,101477,0.13,0.01,982.75,24611,160149
安泰商業銀行,124816,54518,546,296,165125,1209271,371304,313,0.19,0.03,397.7,0,4283
中國信託商業銀行,8857022,5613050,112489,50386,15920749,48057108,55971336,540336,0.08,0,391.63,76844,523073
台灣樂天信用卡股份有限公司,491788,203869,2011,4547,598202,646265,811997,5004,1.98,0.98,175.33,805,5729
台灣美國運通國際(股)公司,185146,120108,3681,1928,280676,0,5562883,1143,0.13,0,718.74,1061,39451
