金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,228175,111757,1436,2205,236207,13340,610268,1586,0.325609028744215,0.155464729734103,514.898359409422,538,11455
臺灣土地銀行,180696,95407,6246,1046,212341,33732,587238,792,0.138231103035781,0.0787421546067043,2214.34667435133,447,8962
合作金庫商業銀行,404820,245358,12717,3523,591626,222127,2164672,4035,0.433379528238122,0.390340797069103,276.648137992149,0,38027
第一商業銀行,895478,599990,10673,9314,1331348,1141850,3933449,17332,0.130839324452582,0,2184.2454620632,5499,59792
華南商業銀行,799374,576415,17101,8063,716746,1309001,3563024,1049,0.132850208814945,0,738.660866275771,0,26877
彰化商業銀行,439025,215182,5634,2520,327061,112005,1164809,596,0.302280702329193,0.0129090176368634,667.872408116969,2649,14159
上海商業儲蓄銀行,365010,188676,1202,1880,742027,196176,1037137,7124,0.65592195495232,0.254327934075011,2167.94020671321,0,25791
台北富邦商業銀行,2270631,1622565,18247,22775,6892868,5544460,14338668,97049,0.164601079718695,0.000160969898292106,759.657873302947,25829,261084
國泰世華商業銀行,5111222,3593451,65724,25769,14348303,10770883,27770358,240359,0.137025928205252,0,2246.89670367865,27577,292742
高雄銀行,9047,3941,36,75,6562,125,160428,131,0.359478314249596,0.359478314249596,204.142771548404,88,173
兆豐國際商業銀行,606285,399116,8029,3723,1169149,875576,2612744,7548,0.200665264157818,0.055968169342917,559.29611017883,4271,34755
花旗(台灣)商業銀行,2917433,2483873,17412,27935,16036473,10177713,19762057,238081,0.515465992137274,0.0918840538420613,654.985651738569,53525,654681
澳盛(台灣)商業銀行,608590,371573,6130,11505,3255843,1624159,3211157,24062,0.486389884029162,0,315.882242156008,11693,131937
臺灣中小企業銀行,334795,130648,3774,1571,499183,94810,804158,3988,0.0519033898832401,0.0111546758959595,686.540239272668,3678,34438
渣打國際商業銀行,392434,238853,1538,5316,2120455,633196,1523657,11214,0.397392676975371,0,506.25638496994,13653,129515
台中商業銀行,192615,78280,4759,1063,245769,39307,422025,0,2.17049221934931,0.737773829729859,349.714137960755,0,15463
匯豐(台灣)商業銀行,630221,440605,7205,7185,2892900,1891511,4282661,59295,0.255762086832151,0,2525.85262449872,8832,95008
華泰商業銀行,10263,6469,9,15,19125,2582,57208,0,0.789650537634409,0.42002688172043,193.348886345629,0,985
臺灣新光商業銀行,908712,463926,5392,4928,2179155,1336675,4371339,18844,0.164968143579874,0.00433743020017787,246.620543892664,5479,64547
陽信商業銀行,70605,38515,803,554,257759,48847,225032,373,0.382471947442738,0,1072.48503814701,0,11672
三信商業銀行,16739,11260,99,73,32031,13106,102972,216,0.0584203146907618,0,8608.1161618898,223,1260
聯邦商業銀行,1819742,808048,19324,15490,4654201,3144920,5869567,148382,0.321033545955014,0,120.33887022085,14418,143887
遠東國際商業銀行,1514014,1016025,14704,10968,5061002,5876588,4512942,217189,0.325535762290882,0.10643525276321,100.425846023602,17449,160310
元大商業銀行,422117,238721,11595,2954,436117,398638,2800570,1274,0.167679388676955,0,1094.8278403396,1341,16932
永豐商業銀行,2171672,1321489,17847,15339,5008208,3930906,6936031,126053,0.403376889941378,0.0964151605722409,625.551804328367,12360,147183
玉山商業銀行,3929278,2752901,42964,21497,10434588,8474918,20976312,110633,0.234266960628461,0,1401.52529607048,37886,403360
凱基商業銀行,510377,208381,6375,3669,1192640,376914,920076,12349,1.46687930748353,0.779170328717599,117.891224072238,6004,65939
星展(台灣)商業銀行,12643,6284,94,98,19719,559,56707,50,0.656248524621123,0,1017.33021077283,333,2637
台新國際商業銀行,3579228,2449781,31850,35789,10437952,9873262,16138449,154295,0.255841141243015,0.00451852293798783,558.61234417572,23200,232106
大眾商業銀行,603832,312262,9844,6366,893949,3775322,1805002,74820,0.000600040070968642,0.000600040070968642,429.93078545154,9266,83581
日盛國際商業銀行,189550,104403,422,772,471866,212481,379192,11738,0.224811419837148,0,283.703489004022,1660,20586
安泰商業銀行,189125,71513,1345,565,433647,1171822,472281,1424,0.703370449114791,0.280764001945209,563.022912295306,0,10953
中國信託商業銀行,5858670,3835651,35896,38893,14111103,13214379,26776039,739510,0.152697481563681,0.000627923260946259,683.388416135166,71206,688330
台灣樂天信用卡(股)公司,65450,51886,9118,171,33416,63926,284122,485,0.0765457192582306,0.0103440161159771,470.43468391783,172,172
台灣美國運通國際(股)公司,162992,88936,3590,2931,333719,0,4087284,1324,0.0924443942044772,0,505.696054860667,1172,27763
台灣永旺信用卡(股)公司,92916,41299,260,986,274754,67261,181293,3447,1.20212840206991,0.188279164991043,1456.41693385417,1999,29160
