金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,263875,128189,1994,896,164703,160585,1703815,433,0.07,0.03,1570.95,872,5127
臺灣土地銀行,311935,141963,1889,4044,315240,159397,1135074,551,0.27,0.26,667.43,2872,15358
合作金庫商業銀行,686937,388546,6599,14377,959974,1965254,9241722,1879,0.16,0.12,350.09,7760,36411
第一商業銀行,1528844,964480,12391,9292,1236261,3483676,9908725,6188,0.17,0,766.95,7152,42560
華南商業銀行,1075853,843943,6871,7382,1115191,5379310,9063093,1384,0.08,0,378.35,21946,38469
彰化商業銀行,573893,342909,10126,84263,348078,2639435,6073693,1052,0.07,0,759,1486,10931
上海商業儲蓄銀行,389789,217625,1779,40017,636217,1968443,2071666,4317,0.2,0.15,645.82,6992,29640
台北富邦商業銀行,7440549,5655202,57789,35700,9854403,37576236,56776252,105826,0.19,0,1038.46,83710,371118
國泰世華商業銀行,7340148,4772811,59478,23769,19999410,40989281,91763399,201957,0.22,0,1035.15,101759,513504
高雄銀行,9729,4257,12,47,13884,386,194019,25,0.61,0.61,169.73,27,329
兆豐國際商業銀行,1160597,647619,5848,6878,1689047,3514960,6926784,13813,0.2,0.02,559.2,10059,58589
花旗(台灣)商業銀行,20616,12748,191,247,0,0,434810,5,0.13,0,131.23,0,0
臺灣中小企業銀行,168623,95128,565,575,267336,224815,1300706,1290,0.05,0,280.61,1967,8849
渣打國際商業銀行,279790,181842,2512,3097,877160,925760,2115100,3029,0.32,0,320.23,5662,26242
台中商業銀行,170780,82430,1308,695,215186,46619,655508,170,0.19,0,1166.51,2040,9725
滙豐(台灣)商業銀行,734963,490070,6872,4110,2005095,1568235,"r 9,001,262",5164,0.25,0,1195.08,8620,54684
華泰商業銀行,9060,4808,39,14,8027,2381,57479,0,0.4,0,464.76,93,93
臺灣新光商業銀行,1076470,597938,3125,4887,1634377,2300407,5859401,6003,0.26,0.02,390.72,7786,46317
陽信商業銀行,119380,59096,961,1627,167817,170840,525870,62,0.4,0.01,472.62,3055,6009
三信商業銀行,20835,13620,272,103,31128,16809,156394,82,0.3,0,3543.43,565,1584
聯邦商業銀行,2876100,1891236,27562,63851,6437534,6617771,19046628,36669,0.22,0,271.67,25813,121041
遠東國際商業銀行,1351008,949495,5505,6218,3712048,4630267,4984267,79059,0.26,0.02,102.78,12999,77168
元大商業銀行,1203594,552598,5340,6875,1147183,4179921,5782078,17354,0.09,0,990.19,9058,42575
永豐商業銀行,2258591,1254241,14630,6598,3717589,5410643,15608124,64250,0.13,0,600.91,22195,108833
玉山商業銀行,7263022,4817103,59641,56336,17019721,29108344,102532163,234470,0.2,0.05,254.38,49278,281014
凱基商業銀行,372716,175765,1625,1491,1192666,1278291,1587106,6571,1.29,0.9,159.72,11188,56150
星展(台灣)商業銀行,3516949,2042306,42121,158038,8423020,14799558,25884542,115566,0.61,0.02,364.46,60620,493611
台新國際商業銀行,6512921,4653317,48163,45901,10315558,30413822,56709965,111859,0.29,0.01,565.89,48596,226462
安泰商業銀行,128850,57125,711,291,150553,1320366,429502,245,0.24,0.02,161.94,6300,6300
中國信託商業銀行,9312533,5882600,68717,32525,16210780,33195775,111234326,508668,0.11,0,336.51,102480,734907
台灣樂天信用卡股份有限公司,502411,191267,1731,2715,640767,632769,724852,5428,1.95,0.86,200.92,831,4751
台灣美國運通國際(股)公司,192674,127167,3441,2590,276031,0,6030738,849,0.15,0,564.17,3289,18255
