金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,222935,112624,1317,4770,191438,96814,648148,608,0.13,0.07,930.25,1242,5396
臺灣土地銀行,340742,152961,1881,1756,383827,111693,743174,731,0.24,0.21,1307.78,1332,18869
合作金庫商業銀行,577318,363942,6018,3836,746245,854533,2972656,2230,0.18,0.12,536.41,2324,46636
第一商業銀行,1270702,763536,14452,9979,1417959,1663813,4411900,10147,0.03,0,2415.19,4581,54710
華南商業銀行,1014752,766064,9036,7893,1038397,3689311,3843948,1447,0.07,0,551.68,0,39089
彰化商業銀行,535157,227421,2340,4915,278783,454774,1292977,915,0.13,0,801.43,0,15802
上海商業儲蓄銀行,440595,230561,2213,2173,626540,718732,1164648,5466,0.15,0.11,1924.87,1859,30021
台北富邦商業銀行,3778945,2471207,46744,16485,5470918,20337239,21344825,77197,0.08,0,1605.42,18715,218345
國泰世華商業銀行,7060222,5055817,61640,41250,17795867,18403757,37658519,198497,0.13,0,1399.53,35503,418260
高雄銀行,15022,7474,309,83,12706,0,161974,170,0.05,0.05,1096.83,2,641
兆豐國際商業銀行,986336,628752,11972,4538,1480898,3216756,3489619,11547,0.21,0.11,517.34,5035,51820
花旗(台灣)商業銀行,2854701,2157461,21304,31807,11343940,10058632,16452578,116709,0.57,0.22,421.96,0,462970
臺灣中小企業銀行,228899,118964,638,1483,332156,82059,821365,3014,0.11,0.03,369.51,711,13923
渣打國際商業銀行,419572,302327,3075,1968,1242953,401483,3283328,5319,0.15,0,1199.26,4641,51765
台中商業銀行,147855,79099,1293,984,224864,52240,491725,255,0.29,0,1586.12,717,12011
滙豐(台灣)商業銀行,618503,431123,6530,6945,1980945,1684887,4764721,21918,0.19,0,2175.71,4242,57607
華泰商業銀行,9731,5025,62,32,10391,2391,37379,0,0.11,0,523.24,70,734
臺灣新光商業銀行,885703,529877,8068,4789,1587022,2045214,3476506,6241,0.12,0,199.06,4611,64740
陽信商業銀行,110705,53475,687,619,189852,78113,295908,108,0.28,0.04,754.91,0,8718
三信商業銀行,15290,10243,57,42,19241,12631,103182,73,0.49,0,5652.22,62,1314
聯邦商業銀行,2221614,1309146,22771,33100,5658367,3952310,8431519,58974,0.16,0,155.06,15915,163492
遠東國際商業銀行,1634192,1026460,12403,5480,3965961,5334857,4511272,135478,0.27,0.09,100.63,11113,131269
元大商業銀行,1164375,602075,2457,6027,1380164,2925618,4015492,15884,0.08,0,803.02,4807,55724
永豐商業銀行,2075987,1099813,32151,74612,4116652,4825751,8735020,82725,0.18,0,777.57,13130,135092
玉山商業銀行,6290830,4460063,50179,23259,12612368,20148806,36249066,256400,0.14,0.01,649.71,43629,443584
凱基商業銀行,364885,185482,4625,3372,1103884,836266,916585,5982,0.62,0.37,166.87,4446,57885
星展(台灣)商業銀行,604553,335853,4469,4607,1369735,2018728,2907358,22804,0.62,0,293.06,13958,125148
台新國際商業銀行,5665577,3968052,72582,27284,10395875,22503547,28397557,194177,0.12,0.01,1104.13,24098,290682
日盛國際商業銀行,146404,101251,264,530,266587,134349,272829,2701,0.27,0,869.93,472,5830
安泰商業銀行,124243,56363,560,546,219438,1131007,317114,588,0.23,0.07,332.94,0,12712
中國信託商業銀行,7195752,4657748,59995,30088,16413279,24629020,34754039,533797,0.1,0,473.58,42820,531948
台灣樂天信用卡股份有限公司,593446,248385,1590,1943,437028,854217,988861,5456,0.57,0.15,292.9,933,8969
台灣美國運通國際(股)公司,175069,104017,2116,2525,268972,0,2701890,392,0.13,0,1915.19,2220,35598
