金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,265045,128442,1825,1079,167917,135955,1070531,405,0.11,0.05,1062.76,902,6029
臺灣土地銀行,310013,141081,1651,3741,317956,150187,897988,628,0.3,0.29,721.14,2802,18160
合作金庫商業銀行,684963,388930,6296,10103,949442,1767642,3924016,2046,0.29,0.19,319.54,7290,43701
第一商業銀行,1532797,958431,12881,9434,1240565,3276391,7007372,8639,0.21,0,796.22,7128,49688
華南商業銀行,1073440,842084,7203,7559,1103078,5193145,5537737,1665,0.15,0,290.22,0,38469
彰化商業銀行,572344,344902,7199,3403,349431,2467120,2215956,1255,0.11,0,613.8,2783,13714
上海商業儲蓄銀行,390010,216422,1838,2760,646629,1867238,1656210,5478,0.22,0.15,677.82,4474,34114
台北富邦商業銀行,7283353,5671916,62072,219268,9862453,38311331,52308678,128433,0.19,0,1128.12,94912,466030
國泰世華商業銀行,7367508,4801477,53532,26172,19747702,39206999,65284620,248567,0.24,0,1034.54,109005,622509
高雄銀行,9685,4202,31,75,14429,339,234099,55,0.54,0.54,172.01,1,330
兆豐國際商業銀行,1159951,648661,6518,7164,1650669,3267845,4594894,13882,0.26,0.03,512.12,12757,71346
花旗(台灣)商業銀行,20713,12892,317,223,0,0,471609,2,0.09,0,155.94,0,0
臺灣中小企業銀行,168566,94497,514,571,264593,278147,904472,1279,0.06,0.01,286.08,1645,10494
渣打國際商業銀行,277463,180040,1962,3664,866755,952732,1930349,3691,0.27,0,357.01,6004,32246
台中商業銀行,171494,82339,1410,789,222007,44652,677358,258,0.19,0,1185.24,1564,11289
滙豐(台灣)商業銀行,742774,492506,10988,3177,1981923,1592957,8921726,7538,0.26,0,1249.03,10889,65573
華泰商業銀行,9088,4817,44,16,8090,2294,44011,0,0.32,0,498.63,0,93
臺灣新光商業銀行,1075341,593993,3845,4974,1636622,2173872,4967422,8239,0.28,0.03,421.91,10523,56840
陽信商業銀行,120048,59601,1039,1326,172419,173369,475161,63,0.54,0.03,472.21,0,6009
三信商業銀行,20965,13667,295,88,31735,17309,130065,51,0.21,0,4350.79,308,1892
聯邦商業銀行,2862474,1894851,25108,38734,6768768,6175919,16742326,42055,0.24,0,270.49,27802,148843
遠東國際商業銀行,1351813,946707,6860,6098,3331135,4657012,4582518,101587,0.27,0.02,102.76,15709,92877
元大商業銀行,1205618,552460,5732,6815,1144586,4103506,5121731,19600,0.09,0,977.6,9500,52075
永豐商業銀行,2246884,1263294,18324,29737,3769708,5329316,12750548,74594,0.14,0,610.26,22803,131636
玉山商業銀行,7311205,4828965,112876,64693,16438127,34031884,48429593,280917,0.26,0.07,241.39,46775,327789
凱基商業銀行,374468,175630,3344,1703,1214172,1278883,1360016,7311,1.26,0.92,159.18,10906,67056
星展(台灣)商業銀行,3268661,2026874,19367,345607,8398307,14839987,24060444,138262,0.65,0.03,372.46,61334,554945
台新國際商業銀行,6559094,4718346,135593,89420,10483916,29499619,44354956,138967,0.31,0.01,527.47,64361,290823
安泰商業銀行,129445,57556,851,269,149422,1337555,418163,442,0.3,0.02,191.26,0,6300
中國信託商業銀行,9320897,5897468,72801,64437,16518419,29992331,68761987,604875,0.13,0,335.48,98171,833078
台灣樂天信用卡股份有限公司,502068,187936,1683,2867,675043,638897,813720,6611,2.47,1.11,161.07,835,5586
台灣美國運通國際(股)公司,193517,127936,3442,2599,274664,0,6100553,998,0.11,0,713.82,5655,23910
