金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,221073,113740,1590,1984,215173,24160,783205,820,0.17,0.1,708.25,798,798
臺灣土地銀行,332663,164742,2168,1658,408137,99244,836270,552,0.33,0.25,800.07,1843,1843
合作金庫商業銀行,546463,352376,3797,5388,809816,448817,3460047,1648,0.26,0.2,378.22,5417,5417
第一商業銀行,1216859,748430,8502,9238,1511486,1513363,4533640,8910,0.1,0,1648.5,5937,5937
華南商業銀行,1028166,790962,5980,8472,1037240,3303398,4379870,1162,0.11,0,468.67,0,0
彰化商業銀行,520701,249423,6179,4064,371888,340711,1449927,635,0.22,0,619.13,1918,1918
上海商業儲蓄銀行,433645,238881,4268,2336,695237,552661,1359002,4908,0.56,0.22,920.67,0,0
台北富邦商業銀行,3404185,2138652,129372,13426,5524361,19700873,22451372,78174,0.09,0,1259.01,21680,21680
國泰世華商業銀行,6761900,4984194,52753,25082,18431975,16337612,43255540,188005,0.15,0,1255.42,44460,44460
高雄銀行,11208,4264,133,33,10369,0,167517,38,0.25,0.25,319.57,0,0
兆豐國際商業銀行,894691,583086,8991,4713,1451790,2897285,3718127,3650,0.21,0.07,580.54,4207,4207
花旗(台灣)商業銀行,2891300,2306049,14183,20767,13726292,12444994,19085365,161945,0.47,0.11,487.2,91982,91982
臺灣中小企業銀行,202678,117578,331,1240,395933,25301,1022789,1685,0.17,0.04,345.75,2240,2240
渣打國際商業銀行,370227,265553,4064,2088,1425581,483237,3309214,6211,0.19,0,1019.27,6563,6563
台中商業銀行,140102,81828,905,602,233831,52007,556484,293,0.36,0.01,1100.51,1274,1274
滙豐(台灣)商業銀行,622316,445613,9953,9488,2207089,1692427,5961630,30387,0.19,0,1886.13,4221,4221
華泰商業銀行,9760,5243,3,39,12783,1919,45836,0,0.89,0.39,351.42,242,242
臺灣新光商業銀行,834479,500018,7163,6969,1783855,1725148,3761939,8304,0.21,0,228.3,7184,7184
陽信商業銀行,107856,56314,1060,941,217866,73641,369249,281,0.54,0,591.84,0,0
三信商業銀行,15058,10441,102,67,23935,17379,131456,37,0.5,0,4192.59,85,85
聯邦商業銀行,2175854,1285410,28120,14972,6032235,3637342,8663333,50927,0.23,0,148.38,16955,16955
遠東國際商業銀行,1589873,1052270,9400,6734,4330002,5979713,4696507,140636,0.3,0.08,100.62,15233,15233
元大商業銀行,1170165,684403,3266,7888,1488865,3343513,5246892,13437,0.08,0,953.21,5002,5002
永豐商業銀行,2018273,1031171,42764,11207,4456497,4996957,9377844,75783,0.26,0,596.32,13415,13415
玉山商業銀行,5888607,4221953,90310,25775,13551310,16889516,41801137,236840,0.19,0.03,555.68,44397,44397
凱基商業銀行,398086,193936,18190,5110,1126947,762493,1003222,6310,0.74,0.43,186.12,5701,5701
星展(台灣)商業銀行,600544,326629,5025,4461,1548062,2119727,3378222,22609,0.55,0,295.67,10350,10350
台新國際商業銀行,5385028,3801203,59400,27859,11134764,21170945,32049524,223225,0.17,0.01,905.71,29259,29259
日盛國際商業銀行,149149,97269,187,450,302404,132874,338087,2457,0.28,0,894.04,824,824
安泰商業銀行,124412,61073,379,459,245964,1245446,394294,628,0.36,0.09,141.83,0,0
中國信託商業銀行,6906078,4672275,69461,36184,17851628,21747827,39597956,506819,0.13,0,457.08,61645,61645
台灣樂天信用卡股份有限公司,578577,318783,5478,1414,527731,889928,1522846,2216,0.36,0.08,451.22,739,739
台灣美國運通國際(股)公司,182332,121213,2896,4615,357450,0,4376093,1760,0.27,0,372.42,3953,3953
