金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,249067,128304,908,2830,214048,12013,643008,1023,0.23,0.08,628.49,1249,11239
臺灣土地銀行,261268,138377,3977,1226,336179,50990,830058,923,0.3,0.28,1159.55,2489,20765
合作金庫商業銀行,471171,288660,5726,4562,685493,285839,2597547,2972,0.27,0.23,294.66,4864,40980
第一商業銀行,990072,646202,13270,9226,1442243,1161030,4150597,14865,0.19,0,1757.54,6480,54548
華南商業銀行,1024239,767397,22079,9455,942461,2646929,4066668,1962,0.06,0,819.12,17460,51567
彰化商業銀行,428440,202838,2800,2527,368199,207339,1323293,530,0.25,0.01,709.7,2046,18366
上海商業儲蓄銀行,361141,185174,1772,2065,696837,301967,1063474,6836,0.72,0.32,796.64,0,23088
台北富邦商業銀行,2353892,1743122,21441,17043,5551593,12507118,17220857,55185,0.12,0,844.39,20938,208138
國泰世華商業銀行,5998715,4296222,52664,42109,15968556,12449314,35635060,220394,0.12,0,2613.35,35227,295838
高雄銀行,10611,4541,113,56,8336,16,156675,62,0.12,0.1,548.13,99,1552
兆豐國際商業銀行,638937,423495,14006,4012,1117991,958586,2590602,4938,0.19,0.07,553.77,3334,28570
花旗(台灣)商業銀行,2893841,2468804,23722,24791,16063722,9528079,19275906,186921,0.5,0.1,628.25,51944,582459
澳盛(台灣)商業銀行,542467,323350,5710,5809,2841372,1488817,2788697,26933,0.42,0,199.92,11026,112880
臺灣中小企業銀行,325686,126955,2140,2242,436686,69458,945312,3406,0.13,0.01,218.4,2220,21866
渣打國際商業銀行,325835,198534,3223,3786,1709200,425246,1185623,9303,0.51,0,541.52,9994,84545
台中商業銀行,209531,81167,2166,1146,270713,42873,541994,388,0.94,0.06,430.84,5818,26044
滙豐(台灣)商業銀行,588545,404724,9790,7721,2416758,1628505,4669564,47067,0.29,0,2323.87,7503,74502
華泰商業銀行,10456,6158,27,31,15697,2885,50624,0,0.1,0.04,294.53,495,1659
臺灣新光商業銀行,909495,485974,7443,11653,1901646,1230570,3702533,13037,0.27,0.04,228.94,5675,53460
陽信商業銀行,94881,50827,1167,680,224158,60833,307048,362,0.28,0,915.14,3938,14465
三信商業銀行,16278,10974,113,63,28006,14912,122878,40,0.41,0,6186.47,356,2414
聯邦商業銀行,2012530,1142192,21550,17913,5282943,3033946,7000276,63395,0.29,0,119.88,16465,137812
遠東國際商業銀行,1465033,953703,14420,5984,4457398,5657449,4209713,209940,0.36,0.11,100.49,16755,155058
元大商業銀行,633214,447237,12310,5283,532739,510580,4833405,642,0.11,0,1192.94,1819,17853
永豐商業銀行,1830071,1031982,15421,13211,4693852,3743854,6414572,103325,0.36,0,595.1,14595,136655
玉山商業銀行,4526228,3166681,48812,29667,11836230,15532887,26178435,300435,0.25,0.02,761.01,45442,383805
凱基商業銀行,449251,191915,4529,7090,1055252,505395,1078264,8182,0.75,0.48,133.98,6898,50457
星展(台灣)商業銀行,11875,5466,15,447,20813,0,48835,9,0.05,0,10901.87,270,1179
台新國際商業銀行,4037101,2854798,44876,34967,10103618,15453329,19891177,273428,0.19,0.01,723.32,23192,224972
大眾商業銀行,570264,320896,6617,4728,957401,3335034,1855552,49061,0,0,589.21,11212,92611
日盛國際商業銀行,171967,100904,472,674,386073,267995,432272,4513,0.23,0,189.46,1470,14220
安泰商業銀行,158125,67616,816,395,332189,1296481,454685,709,0.4,0.05,372,0,12262
中國信託商業銀行,6252996,4024830,75986,42647,15880756,14316443,32620302,715172,0.12,0,583.2,66187,557466
台灣樂天信用卡股份有限公司,339599,234146,13246,776,243967,389006,1144918,2489,0.23,0.05,516.02,671,4378
台灣美國運通國際(股)公司,169267,111964,2423,3711,354085,0,4038234,1906,0.28,0,314.33,3210,38990
台灣永旺信用卡(股)公司,73235,32274,195,660,251718,31179,140133,2517,0.6,0.26,2641.27,1525,16353
