金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,242773,122852,889,4563,216976,14047,676436,1234,0.24,0.07,637.32,551,13065
臺灣土地銀行,264704,140588,3136,1493,346040,55491,831867,797,0.33,0.3,1061.45,2502,25520
合作金庫商業銀行,475384,293059,6224,3882,692607,280861,2808725,2859,0.3,0.26,288.09,5019,50306
第一商業銀行,996709,650873,9654,9930,1460814,1297890,4590055,16703,0.18,0,1709.81,6474,67490
華南商業銀行,1049237,790854,21587,9706,982093,2801951,4815779,2172,0.2,0,411.63,0,51567
彰化商業銀行,426882,201302,1813,2759,366792,159100,1375592,755,0.33,0.01,632.84,1753,21577
上海商業儲蓄銀行,359225,185120,1360,2455,684061,255829,1118766,8378,0.79,0.38,706.99,0,27584
台北富邦商業銀行,2359985,1745757,20382,14363,5512540,12341326,17533329,61601,0.12,0,819.17,20399,249450
國泰世華商業銀行,6019759,4340213,64965,45929,16294721,12230166,40472654,234731,0.11,0,2651.49,31564,359590
高雄銀行,10694,4545,77,43,8255,13,152746,186,0.39,0.33,232.48,0,1552
兆豐國際商業銀行,660165,442634,14755,4232,1130408,1060593,2779028,4465,0.19,0.07,535.06,4227,36255
花旗(台灣)商業銀行,2897396,2472218,24689,22658,16207709,10705967,21692875,193709,0.45,0.09,636.32,102850,685309
澳盛(台灣)商業銀行,539541,320403,3258,5068,2852937,1390526,2739536,24312,0.42,0,202.89,13146,138105
臺灣中小企業銀行,324945,127688,1639,1958,434616,72912,974582,3205,0.11,0.01,223.67,2207,26085
渣打國際商業銀行,328852,197366,10431,4271,1668256,379242,1226102,8672,0.45,0,566.1,9721,105942
台中商業銀行,210452,84271,1919,1481,267583,44748,596293,424,0.88,0.05,474.79,4825,30869
滙豐(台灣)商業銀行,590303,408804,8134,7288,2386662,1732327,5439972,45412,0.26,0,2417.88,7178,90285
華泰商業銀行,10434,6076,34,38,16620,2698,49627,0,0.65,0.07,280.04,0,1659
臺灣新光商業銀行,891178,481701,5480,12735,1897725,1289061,4261822,12974,0.25,0.04,228.15,6328,66295
陽信商業銀行,93361,50264,1181,1322,225903,53776,324004,220,0.87,0.05,599.11,0,14465
三信商業銀行,16035,10820,96,73,27503,14637,116271,36,0.34,0,7203.52,131,2891
聯邦商業銀行,2028628,1148523,27229,16722,5373922,2909554,7328577,71467,0.28,0,119.44,16383,170331
遠東國際商業銀行,1476437,970429,21367,20908,4433648,6210787,4895585,223833,0.33,0.1,100.77,17427,189283
元大商業銀行,647066,457492,9797,4861,506176,542491,5390429,804,0.11,0,1212.62,970,20379
永豐商業銀行,1829301,1037650,13645,12786,4665939,3738698,7039409,111021,0.35,0,605.91,15550,167671
玉山商業銀行,4559293,3207996,45515,27990,12037998,13617151,25642799,303231,0.25,0,743.15,45326,473988
凱基商業銀行,446376,192739,5562,7109,1060404,435987,1077471,8824,0.75,0.48,135.17,5434,63346
星展(台灣)商業銀行,11674,5449,12,41,21574,0,47640,21,0.52,0,1732.88,0,1210
台新國際商業銀行,4089053,2902070,53388,16449,10211486,16195063,22211270,276501,0.19,0.01,700.75,22210,269648
大眾商業銀行,569395,315697,5804,6340,932693,3279673,1923249,51323,0.02,0,622.13,9577,110057
日盛國際商業銀行,171519,100294,391,660,378599,237517,407615,4646,0.25,0,181.51,1119,16905
安泰商業銀行,153596,67319,681,427,322376,1282676,451203,912,0.26,0.02,163.53,6440,18702
中國信託商業銀行,6319914,4070669,88697,50983,16225664,13418782,36990360,715490,0.13,0,557.27,69157,683976
台灣樂天信用卡股份有限公司,362118,247110,12707,901,274290,443870,1265808,3058,0.25,0.05,483.72,507,5608
台灣美國運通國際(股)公司,168426,111268,2966,2833,359986,0,4284623,1279,0.35,0,288.09,3660,45589
台灣永旺信用卡(股)公司,72288,31734,113,553,253034,29519,129212,2681,0.6,0.05,3475.07,1363,19534
