金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,243131,121185,1353,1081,166665,60869,927295,450,0.05,0.04,1827.6,488,5584
臺灣土地銀行,356026,152010,1058,3812,353533,77191,946371,713,0.15,0.15,1095.86,0,20955
合作金庫商業銀行,663115,397692,5665,5670,804783,872644,4046705,1371,0.18,0.15,437.32,4649,55252
第一商業銀行,1499813,920217,14120,11124,1613039,2405819,6134938,7760,0.11,0,986.35,6277,68925
華南商業銀行,1045421,804260,5236,7895,1035232,4098840,4879791,1256,0.03,0,709.18,11817,46353
彰化商業銀行,571039,277206,2308,3931,327005,624793,2001963,934,0.12,0.01,878.44,1089,17087
上海商業儲蓄銀行,454173,194702,2331,2859,597129,1360863,1625327,5079,0.11,0.07,2077.5,2183,29005
台北富邦商業銀行,4792362,3276910,79666,18010,6561462,26290759,35247318,88094,0.08,0,1433.39,24621,241116
國泰世華商業銀行,8812536,5779361,867523,48366,18929343,25573659,57617139,216160,0.11,0,1517.81,35305,386179
高雄銀行,15305,4800,9,50,14288,480,162706,155,0.55,0.55,226.4,165,1077
兆豐國際商業銀行,1112999,648361,21560,5537,1848801,3738001,4990236,13702,0.17,0,780.88,7501,88016
花旗(台灣)商業銀行,2785869,2088108,15147,28740,10671892,11864362,22012304,136653,0.45,0.16,477.59,0,357550
臺灣中小企業銀行,195551,97752,9763,1431,282984,107133,953969,1584,0.04,0.01,312.97,1349,10636
渣打國際商業銀行,320957,202852,882,7028,969630,399276,1947364,3890,0.24,0,859.52,3298,42504
台中商業銀行,169213,79408,1312,1295,202930,53621,620113,254,0.15,0.01,1842.82,1547,15979
滙豐(台灣)商業銀行,659538,444199,5831,4359,1775143,1404809,6597334,21751,0.17,0,2043.83,6061,49035
華泰商業銀行,9029,4929,10,50,7525,2115,49347,0,0.32,0,615.08,0,119
臺灣新光商業銀行,1045734,609154,8578,8142,1568151,2304054,4256591,5784,0.16,0,289.99,4650,55525
陽信商業銀行,114459,55704,1084,841,167142,94014,403646,140,0.32,0,432.46,2602,10415
三信商業銀行,18943,12261,192,50,22213,17469,143389,71,0.25,0,3019.52,134,643
聯邦商業銀行,2431532,1378137,53973,16491,5649247,4775347,11209138,41777,0.12,0,170.68,11888,136221
遠東國際商業銀行,1564859,1003019,9645,18310,3659902,4760513,4919523,110071,0.27,0.08,105.19,10949,118411
元大商業銀行,1187417,548443,4892,6771,1224606,3291048,4823941,20184,0.08,0,761.29,3388,41945
永豐商業銀行,2270707,1230621,12558,7350,3914663,5397911,12022550,77482,0.12,0,784.37,10295,122821
玉山商業銀行,6891298,4691885,50332,32044,13302513,24773615,44642093,262000,0.12,0,610.67,48889,480251
凱基商業銀行,385772,190563,2141,1827,1170607,993589,1145311,5672,0.62,0.39,164.96,10506,76996
星展(台灣)商業銀行,654328,332785,5436,4379,1289003,2381623,4023985,21455,0.4,0,515.37,9529,118195
台新國際商業銀行,6300278,4261132,54606,34797,10185763,22482901,33671069,146811,0.12,0.01,1042.64,22393,233060
日盛國際商業銀行,132623,76727,78,910,216322,49915,264997,756,0.22,0,1101.34,528,5675
安泰商業銀行,123148,54363,458,511,173236,1191249,406469,176,0.13,0.01,216.32,0,7659
中國信託商業銀行,8621651,5348747,222441,36193,15830624,30910233,54912340,590203,0.1,0,379.85,64705,709154
台灣樂天信用卡股份有限公司,614190,199828,8112,5359,583032,717022,981280,6340,1.74,0.79,151.35,771,9641
台灣美國運通國際(股)公司,180760,109910,4330,2436,270773,0,5082801,790,0.33,0,484.81,917,30725
