金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,229592,108608,1446,3514,228826,19515,719395,980,0.36,0.11,477.89,341,341
臺灣土地銀行,310375,161560,3669,2127,399600,70842,1074678,855,0.21,0.18,1218.16,2879,2879
合作金庫商業銀行,516673,331353,5618,4468,739472,366772,3543420,1928,0.2,0.16,416.91,3949,3949
第一商業銀行,1132692,724183,16838,9851,1499520,1381032,5195716,12296,0.14,0,1496.28,5863,5863
華南商業銀行,1057219,801742,11248,13816,1069533,3093234,5143994,1939,0.14,0,456.29,0,0
彰化商業銀行,480415,224587,5039,3655,369294,205670,1548072,897,0.28,0.04,536.34,1196,1196
上海商業儲蓄銀行,375512,192045,4551,2094,659229,259012,1517068,7262,0.59,0.26,933.49,0,0
台北富邦商業銀行,2506182,1796007,36479,14132,5224818,16218113,23174814,100378,0.09,0,1507.19,21121,21121
國泰世華商業銀行,6384922,4700048,70143,36842,18002280,14783474,54221233,286278,0.13,0,2510.8,38302,38302
高雄銀行,11155,4480,41,44,9043,0,125561,82,0.29,0.26,415.59,0,0
兆豐國際商業銀行,753094,493654,16137,5210,1186650,1205801,3869008,4712,0.17,0.08,682.01,3606,3606
花旗(台灣)商業銀行,2898585,2419571,18536,18547,15784240,10548656,20609010,207965,0.52,0.12,505.92,104310,104310
臺灣中小企業銀行,325238,126821,1253,2752,416418,26976,1103562,2763,0.13,0.04,372.79,2625,2625
渣打國際商業銀行,350671,245666,9536,3005,1517056,446185,3041534,6385,0.22,0,1030.42,8617,8617
台中商業銀行,128744,80708,1507,913,258910,49889,643755,419,0.41,0.04,1087.75,2389,2389
滙豐(台灣)商業銀行,614409,433008,14868,10065,2328686,1755174,6762922,43605,0.17,0,3221.61,9269,9269
華泰商業銀行,10102,5477,83,30,13462,2041,55580,0,0.15,0,392.8,0,0
臺灣新光商業銀行,804733,480203,10670,8586,1799878,1479649,5047217,12214,0.24,0.04,268.93,6154,6154
陽信商業銀行,102561,52782,2341,893,216401,72524,420718,236,0.49,0,606.99,0,0
三信商業銀行,15059,10203,200,91,25325,18883,131876,51,0.42,0.01,3236.99,15,15
聯邦商業銀行,2135037,1175261,20713,12665,5809699,3219833,8418158,75928,0.26,0,146.94,16734,16734
遠東國際商業銀行,1506764,1020813,11513,6569,4260519,5874642,5123058,237200,0.29,0.07,100.56,13182,13182
元大商業銀行,1206663,765419,8895,140546,1574081,3341490,7500199,26168,0.08,0,1133.03,9517,9517
永豐商業銀行,1855554,1035056,39168,9866,4494791,4279547,9043726,108363,0.2,0,827,3791,3791
玉山商業銀行,4951492,3471852,106906,24904,12811830,14858112,34195707,332528,0.23,0.02,623.14,41634,41634
凱基商業銀行,417587,194580,4452,5720,1061882,475043,1167658,7679,0.69,0.34,173.74,5625,5625
星展(台灣)商業銀行,541090,321146,9418,23284,1598371,1869478,3695680,24928,0.43,0.02,284.14,10185,10185
台新國際商業銀行,4740683,3301833,126521,30548,10854066,20102966,31309182,365372,0.15,0.01,903.33,24187,24187
日盛國際商業銀行,153990,100818,328,653,332765,186748,431834,4267,0.24,0,966.88,762,762
安泰商業銀行,124454,64507,743,523,275046,1321626,660994,505,0.35,0.13,128.08,0,0
中國信託商業銀行,6747003,4463142,73687,161298,17912483,15619988,45298230,693333,0.12,0,528.89,63188,63188
台灣樂天信用卡股份有限公司,494111,310961,9887,1346,410815,763593,1918762,3512,0.32,0.06,414.39,725,725
台灣美國運通國際(股)公司,175116,116294,3524,2787,366354,0,4518394,1752,0.19,0,493.73,2114,2114
台灣永旺信用卡(股)公司,50669,25658,45,12098,230744,23012,102735,2200,1.01,0.2,2176.06,1228,1228
