金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,227598,115920,2076,6399,220919,47489,837169,873,0.32,0.12,498.81,273,8512
臺灣土地銀行,328019,165681,3677,2402,393959,111982,907735,741,0.26,0.22,1093.02,1819,16906
合作金庫商業銀行,531349,339215,6050,4443,772671,891434,3455480,2164,0.19,0.16,427.12,3855,37406
第一商業銀行,1186708,742319,12542,9637,1500271,1440136,4531940,9166,0.1,0,1783.45,5869,46462
華南商業銀行,1043924,798878,8090,9592,1095799,3475111,4861492,1523,0.16,0,347.87,0,35409
彰化商業銀行,519598,226570,19500,3343,293133,549596,1517632,621,0.09,0,899.86,1415,13520
上海商業儲蓄銀行,414915,223212,7440,2396,688651,405186,1451003,6829,0.47,0.15,1203.32,4281,17397
台北富邦商業銀行,2817758,1992657,45234,16304,5244878,18015738,21891180,89478,0.09,0,1416.93,21796,157489
國泰世華商業銀行,6611343,4810265,75871,28565,18266918,17974959,42379232,257402,0.15,0,2338.95,37576,306317
高雄銀行,11123,4205,75,99,10345,0,159801,65,0.23,0.23,379.2,25,376
兆豐國際商業銀行,849995,556268,14416,4184,1298559,2897285,3372406,4027,0.12,0.06,767.98,3424,27322
花旗(台灣)商業銀行,2890660,2329346,20307,18787,13874331,11122996,18472808,199582,0.46,0.09,545.86,40573,460832
臺灣中小企業銀行,317698,122438,535,2605,411340,82007,992340,2562,0.13,0.03,361.11,1724,14817
渣打國際商業銀行,365644,261476,3614,2093,1445078,605951,3113480,6390,0.21,0,1010.9,4672,50538
台中商業銀行,135932,82203,1365,636,256447,47986,576653,334,0.49,0.04,880.66,2463,15760
滙豐(台灣)商業銀行,625133,447899,8250,7505,2204295,1723986,5819308,32937,0.16,0,3116.36,5609,52755
華泰商業銀行,9965,5486,8,72,12948,1984,42989,0,0.63,0.16,353.35,0,85
臺灣新光商業銀行,815886,492566,6963,5327,1774371,1603174,3669506,9335,0.23,0.02,262.8,6772,47486
陽信商業銀行,107301,57347,1134,934,216990,82584,377204,250,0.68,0,216,0,6188
三信商業銀行,15122,10449,153,85,25458,15896,132792,21,0.8,0,3092.07,64,510
聯邦商業銀行,2132776,1210589,38138,13958,5835618,3471331,7333717,62543,0.22,0,157.27,15847,135335
遠東國際商業銀行,1540522,1013054,13705,5632,4216408,5436833,4221807,141553,0.32,0.1,100.57,14406,111340
元大商業銀行,1172122,721439,5544,8234,1591836,3236540,5793449,21862,0.08,0,1061.12,8098,64757
永豐商業銀行,1972995,1104195,29631,11093,4416187,5174561,8217728,95322,0.26,0,626.53,11986,77654
玉山商業銀行,5374889,3793372,155055,28341,12911648,19546082,35240044,280520,0.2,0.03,600.16,44335,344228
凱基商業銀行,419390,201716,6143,11567,1080021,808914,1059371,7391,0.66,0.4,184.96,4334,37159
星展(台灣)商業銀行,580468,321129,8140,5657,1523596,1931438,3321042,26002,0.52,0,289.53,13165,87333
台新國際商業銀行,5137674,3625576,72755,23757,10788909,21256578,30767834,257948,0.14,0,1044.93,23898,190737
日盛國際商業銀行,150906,98903,342,712,323074,188267,373024,1906,0.27,0,903.32,683,6884
安泰商業銀行,124138,61681,511,465,255263,1258053,394469,454,0.22,0.02,296.09,2750,9488
中國信託商業銀行,6839688,4590168,63021,40231,17709250,25109168,38682796,583191,0.1,0,512.31,60199,493653
台灣樂天信用卡股份有限公司,545439,312339,8209,1352,462090,714839,1685003,3550,0.32,0.07,439.73,1088,7284
台灣美國運通國際(股)公司,181026,119684,3643,2766,345739,0,4429708,1351,0.14,0,553.89,1729,29031
