金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,256112,125517,2224,1075,164425,60702,963592,509,0.1,0.03,1283.72,518,4631
臺灣土地銀行,328035,141869,1708,4761,340035,93712,924728,770,0.22,0.21,989.71,1506,19738
合作金庫商業銀行,681414,395525,6109,4358,841279,1185864,3919669,1703,0.14,0.12,511.37,5958,45328
第一商業銀行,1551574,939323,13999,9596,1605253,2227250,7075551,7925,0.18,0,917.77,6633,59791
華南商業銀行,1077414,837667,8857,13716,1075030,4660364,5327935,1596,0.12,0,393.16,0,42185
彰化商業銀行,624581,289697,5908,4318,338568,860505,2068588,1316,0.18,0,597.42,2152,16695
上海商業儲蓄銀行,476921,211582,3173,7356,619421,1785943,1756161,5434,0.19,0.14,1012.96,2823,27875
台北富邦商業銀行,7078688,5293318,117529,153707,8208304,32231362,50789467,112572,0.12,0,1286.34,37835,303732
國泰世華商業銀行,7179282,4552124,53914,55696,19070715,30493578,56037245,244065,0.17,0,1404.38,58365,515785
高雄銀行,10048,4501,12,68,13943,743,198231,96,0.41,0.41,204.42,1,1400
兆豐國際商業銀行,1148937,661619,6094,4696,1750125,3149547,4471470,14263,0.26,0.03,566.01,9816,80334
花旗(台灣)商業銀行,19894,12242,433,154,0,0,404341,211,0.01,0,229.67,0,285413
臺灣中小企業銀行,173199,96652,317,1193,274434,232653,918908,1507,0.05,0.03,296.85,1025,10538
渣打國際商業銀行,290552,188404,4261,4258,908904,509060,1874466,3917,0.22,0,874.5,2886,34313
台中商業銀行,163792,80933,1482,765,210635,48906,656380,295,0.13,0,1678.52,1240,13126
滙豐(台灣)商業銀行,703248,467049,8216,5241,1848947,1443650,7592773,26024,0.26,0,1296.75,8898,63572
華泰商業銀行,8964,4902,11,7,7702,2188,44319,0,0.13,0,777.82,231,392
臺灣新光商業銀行,1072537,606302,9905,7168,1617114,2549147,5192895,7793,0.18,0.01,291.84,7458,62359
陽信商業銀行,116912,57887,683,1284,167092,126004,428052,166,0.23,0,880.06,0,7588
三信商業銀行,20063,12952,188,85,28079,16183,126638,41,0.2,0,4360.77,289,1281
聯邦商業銀行,2810122,1719939,50618,17114,6124832,6102124,16405958,37371,0.14,0,220.6,17835,141008
遠東國際商業銀行,1359375,978736,8441,12003,3485533,4744938,4948591,89657,0.3,0.07,102.4,9759,106259
元大商業銀行,1205265,559535,4971,10887,1148818,3619211,5014494,21166,0.08,0,835.72,5029,48674
永豐商業銀行,2201759,1250898,13687,80775,3795814,4982900,12075671,76662,0.14,0,652.1,14122,139974
玉山商業銀行,7194670,4784222,117351,63659,13020537,30408604,44643628,274594,0.2,0.01,391.64,46414,461051
凱基商業銀行,379243,181098,1056,1653,1188282,978590,1240856,7523,1.14,0.74,151.17,9124,66791
星展(台灣)商業銀行,3344604,2326603,11728,41425,8766320,13200091,22802156,113783,0.7,0.04,420.75,140495,243302
台新國際商業銀行,6494988,4500599,59703,67529,10312453,25137417,42514318,129196,0.16,0.01,909.08,24054,236254
安泰商業銀行,125915,55556,577,288,162614,1247425,392441,344,0.38,0.16,389.28,0,4283
中國信託商業銀行,9006349,5725300,97186,65718,16353092,39712833,63733253,577105,0.11,0,379.81,85523,740482
台灣樂天信用卡股份有限公司,497267,198145,3316,2454,622000,672898,964401,6557,2.12,1.07,172.58,745,7975
台灣美國運通國際(股)公司,188237,123806,3202,2919,290162,0,5925502,1407,0.16,0,647.29,1694,45977
