金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,227910,110302,751,1185,236037,11151,626670,1394,0.350794354326798,0.0884224499477706,532.045884600411,317,9976
臺灣土地銀行,170100,79950,13583,1060,203802,27327,502715,670,0.191063369986652,0.122926333185025,1793.25767427198,1301,7848
合作金庫商業銀行,392621,238308,4313,3271,583226,175016,2031443,3297,0.486743337001384,0.441186917012877,0,0,30422
第一商業銀行,885280,588048,14749,9725,1360271,930720,3829031,15545,0.142376197142643,0,2046.35487937431,4976,48798
華南商業銀行,784447,560764,15378,7087,703409,1231229,3458664,896,0.0472199973700255,0,1338.15551537071,10784,26877
彰化商業銀行,430516,211269,6064,2378,320802,95646,1117159,535,0.229877276942551,0.0161103627539244,720.312308741497,2761,11510
上海商業儲蓄銀行,366563,189492,1084,2200,757375,192865,1072940,6977,0.555431867557802,0.188393797362196,2521.73348093026,0,22370
台北富邦商業銀行,2275626,1605468,22924,22097,6946331,5094309,15058446,94992,0.192366348364577,0.000652291479466777,698.922164192443,22456,211334
國泰世華商業銀行,5095820,3564360,58358,24617,14012420,9471443,28899072,253307,0.127581952599823,0,2240.05859189273,27742,238148
高雄銀行,9108,3956,71,94,6312,135,167344,55,0.236998993178502,0.236998993178502,283.142084149641,3,83
兆豐國際商業銀行,599875,397415,7583,4925,1185908,695692,2405120,7384,0.291417318501255,0.0815221942798075,627.361016498428,0,23497
花旗(台灣)商業銀行,2921345,2491077,18020,27323,15484572,8452513,18718339,187755,0.500492570596343,0.113659908173015,656.110748547575,50209,538522
澳盛(台灣)商業銀行,613654,375593,5211,17873,3300159,1550549,3246741,19492,0.397670320550099,0,374.514586490266,13318,109664
臺灣中小企業銀行,333202,130222,966,1837,516795,96401,836644,4420,0.252676234913787,0.0389830457551294,440.743487739644,1999,26970
渣打國際商業銀行,399000,245333,1681,5156,2173603,595747,1467888,10236,0.464104043211495,0,485.760387469168,11526,105802
台中商業銀行,185207,72411,9035,879,234571,37388,440645,0,1.55780964900233,0.236908709215405,507.072862205518,8681,15463
匯豐(台灣)商業銀行,631412,445475,6529,6659,2935129,1738463,3816399,53530,0.234628672310953,0,2627.29862563681,7808,77342
華泰商業銀行,10279,6575,23,38,20595,3370,56454,0,0.35182119205298,0.0349234271523179,207.348141734381,0,985
臺灣新光商業銀行,903886,459544,9170,7144,2205460,1138182,3428297,30801,0.156461816907301,0.00918981470905556,241.863134845554,7331,53241
陽信商業銀行,70004,38756,975,434,263799,51799,232846,480,0.115533339620862,0.0106102046590588,1124.69567058325,4465,11672
三信商業銀行,16755,11331,111,76,32665,13658,111637,156,0.131977104524409,0,7553.94813237856,191,1037
聯邦商業銀行,1807333,801545,25477,15205,4778794,3084992,5412896,157763,0.295329071685802,0,128.08649582159,12825,116606
遠東國際商業銀行,1504646,1005363,11511,7200,5177096,5937135,4432598,207901,0.309292730565892,0.120959922314752,100.017750959002,15620,127619
元大商業銀行,401512,220622,12200,2673,446119,391194,2559081,1020,0.170764229803627,0,1050.31832724687,1700,14589
永豐商業銀行,2165121,1317764,17392,64682,5001745,4121166,6901527,124747,0.414151542812195,0.111343339938551,585.821849460237,13899,119837
玉山商業銀行,3884314,2711900,41687,20828,10355919,9102993,21601578,99577,0.19745990068039,0,1461.96593073296,34327,327286
凱基商業銀行,506681,205656,5187,3654,1224947,580678,945931,10509,1.26394013299147,0.693688811067336,124.072276814612,5027,50066
星展(台灣)商業銀行,12672,6154,299,226,17968,690,57914,59,0.907939511391207,0,764.356699793237,121,2304
台新國際商業銀行,3575453,2419132,29707,20208,10511666,9137609,14746670,175423,0.250714031647285,0.00954361535194482,575.231628614202,21769,189379
大眾商業銀行,597578,310048,9578,16682,915932,3779789,1727897,73311,0,0,441.044147766793,8448,66371
日盛國際商業銀行,190397,102877,535,748,501767,216578,384711,7299,0.210978672231458,0,282.6277860142,1953,16929
安泰商業銀行,190759,70956,1242,495,443732,1132821,461831,1189,0.570615961605208,0.0935947169846042,577.214666330947,0,10953
中國信託商業銀行,5852203,3822673,43498,35235,14070894,12869068,26383790,711452,0.184866748580078,0.000530374605663881,658.848095727897,58903,547723
台灣樂天信用卡(股)公司,46127,35360,9431,152,17651,42066,215795,300,0.10749563189574,0.060225565752662,304.365904365904,0,0
台灣美國運通國際(股)公司,162198,88546,3093,3124,328604,0,3809494,1447,0.202870966087497,0,342.883983090653,4719,20572
台灣永旺信用卡(股)公司,99106,41436,108,649,278454,69825,163688,2923,1.21370274808936,0.2767836305983,1344.60956544384,2565,25510
