金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,235584,117766,1696,1495,166378,38958,618114,482,0.07,0.03,1451.56,485,1879
臺灣土地銀行,358584,147804,1880,2234,342473,79474,680985,656,0.32,0.28,775.54,2365,7182
合作金庫商業銀行,636206,382906,7667,6822,765225,492697,2830786,1353,0.26,0.21,436.96,4972,18599
第一商業銀行,1458140,884665,17015,9655,1487101,1957332,4712869,8210,0.08,0,1298.16,5629,20303
華南商業銀行,1035876,789044,8586,8060,969504,3286901,3544204,1053,0.1,0,519.9,0,8265
彰化商業銀行,573123,258162,6879,3022,312963,376947,1561007,784,0.12,0,900.15,1068,4918
上海商業儲蓄銀行,451014,183542,2394,1791,560591,1004398,1158914,4293,0.19,0.15,1570.93,2832,9335
台北富邦商業銀行,4443162,3001913,55956,14899,5706362,23924600,25223085,74362,0.08,0,1458.87,14900,59643
國泰世華商業銀行,7723573,5474427,62517,30256,17407086,16991581,38262300,191795,0.12,0,1513.73,24796,99605
高雄銀行,15581,5195,22,51,14244,432,143411,73,0.16,0.16,447.76,1,28
兆豐國際商業銀行,1067266,630498,7508,4044,1727721,3273521,3261650,9206,0.29,0.06,530.84,5993,22001
花旗(台灣)商業銀行,2798477,2081169,15376,26529,9820277,10264117,15863216,104260,0.4,0.08,540.87,27980,138308
臺灣中小企業銀行,192856,100947,1412,774,283762,61714,723670,2003,0.18,0.01,307.23,0,3134
渣打國際商業銀行,362323,238404,875,4812,975338,391830,1697212,3647,0.22,0,946.27,5277,15200
台中商業銀行,163116,79424,1470,978,196227,52842,483910,207,0.28,0.01,1796.63,2397,5573
滙豐(台灣)商業銀行,637880,431145,6425,5177,1746463,1279542,4679796,20053,0.14,0,2137.15,3074,15426
華泰商業銀行,9057,4844,19,21,8707,2222,33607,0,0.05,0.05,596.15,0,2
臺灣新光商業銀行,1020411,602387,27395,5452,1501375,1970512,3299441,4524,0.14,0,261.77,5175,17536
陽信商業銀行,111497,54584,1576,922,168411,81461,303987,171,0.37,0.03,476.61,0,2729
三信商業銀行,17514,11505,460,52,17286,13290,106951,38,0.24,0,2604.63,18,86
聯邦商業銀行,2303098,1337384,22206,14282,5213914,4327215,8120550,48260,0.14,0,180.54,10771,45528
遠東國際商業銀行,1566844,1007260,11717,9293,3716967,4536122,3737976,98672,0.28,0.08,105.19,9658,39134
元大商業銀行,1176329,558293,4581,5084,1180728,2846302,3584420,16715,0.08,0,790.09,3340,13342
永豐商業銀行,2227849,1200309,15803,6452,3871653,5136959,9382218,67479,0.12,0,925.12,14936,39667
玉山商業銀行,6680972,4532724,32952,21011,12199172,16643795,32820369,235732,0.18,0,546.14,36220,115739
凱基商業銀行,379698,192205,2970,2312,1109402,888378,891284,5518,0.79,0.39,149.57,6951,23163
星展(台灣)商業銀行,629801,322132,4438,3272,1251742,2081739,2864819,19955,0.54,0,435.63,14755,40827
台新國際商業銀行,6118889,4111663,48784,29213,9684165,19736500,26652319,137433,0.13,0.01,1029.22,16463,59288
日盛國際商業銀行,137498,78651,125,488,219776,62135,219807,1455,0.2,0,1010.23,486,1526
安泰商業銀行,123728,53356,347,409,178864,1100828,301105,273,0.28,0.13,260.53,0,0
中國信託商業銀行,8032424,5045493,91753,30090,14841286,23671706,37528241,540826,0.12,0,442.76,55847,202472
台灣樂天信用卡股份有限公司,600450,192270,826,6954,525780,736180,706356,5315,2.08,0.93,122.42,849,3257
台灣美國運通國際(股)公司,170619,99827,2389,1794,234259,0,3223142,620,0.3,0,724.94,2799,8303
