金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,230218,110749,2360,869,166537,118654,671727,487,0.08,0.02,1670.86,383,5216
臺灣土地銀行,344964,137050,6477,1706,350514,108866,734158,636,0.27,0.21,1267,1631,16166
合作金庫商業銀行,623544,363374,8768,4448,751855,1213148,2966697,1748,0.13,0.1,560.54,3616,42548
第一商業銀行,1391351,831719,17880,9584,1429313,2084707,4713736,8208,0.03,0,2386.26,5501,48459
華南商業銀行,1035364,769360,22721,6888,974738,3609297,4639501,1347,0.05,0,576.14,14120,39108
彰化商業銀行,574307,251323,7124,2951,321269,656659,1481331,778,0.18,0,717.55,1671,12385
上海商業儲蓄銀行,443946,229998,3267,2058,550734,900252,1302512,4827,0.14,0.09,2022.88,1920,21568
台北富邦商業銀行,4085717,2728250,36429,15945,5629119,23589830,23963091,73461,0.08,0,1468.58,24312,202002
國泰世華商業銀行,7489841,5263560,183383,76140,17471236,19454976,41601878,188612,0.1,0,1454.85,36678,348529
高雄銀行,15927,5709,31,72,12029,527,186198,176,0.16,0.16,389.1,282,969
兆豐國際商業銀行,1045554,620130,9264,3619,1657771,3655612,3384892,9177,0.22,0.04,639.68,2760,37242
花旗(台灣)商業銀行,2829579,2108265,18642,30929,9936847,9815764,16466303,110274,0.47,0.1,459.97,41241,367512
臺灣中小企業銀行,195442,99680,370,770,300936,86393,764113,1306,0.11,0.04,322.69,572,11351
渣打國際商業銀行,396420,264596,1260,4708,1066472,463270,2381311,3713,0.17,0,976.32,4034,33314
台中商業銀行,156539,77183,1657,719,206238,49918,545767,162,0.37,0,1372.99,1104,13484
滙豐(台灣)商業銀行,629002,429807,7307,5903,1810894,1244613,4872459,18992,0.17,0,2158.11,5318,50353
華泰商業銀行,9101,4891,8,18,9380,1952,33943,0,0.52,0.33,449.56,0,293
臺灣新光商業銀行,952341,567029,9656,5575,1519959,2165523,3738042,4294,0.08,0,248,5673,43707
陽信商業銀行,115835,55790,1630,826,179655,98709,340841,75,0.67,0.13,311.12,0,5002
三信商業銀行,15625,10343,198,47,17555,12460,99666,15,0.33,0,8430.02,296,992
聯邦商業銀行,2207397,1289698,21751,10430,5227724,4672393,8541815,53785,0.14,0,167.96,10922,117180
遠東國際商業銀行,1571458,972884,8105,5881,3746563,4340550,3924447,106361,0.25,0.06,103.76,9999,96945
元大商業銀行,1159146,551172,4019,4765,1220483,2859379,3953925,17129,0.08,0,609.67,2808,45893
永豐商業銀行,2146678,1148762,12399,5928,3951032,5244319,10043870,70576,0.13,0,937.58,8945,102280
玉山商業銀行,6559993,4471779,48022,22106,12340002,21834698,34906370,232688,0.15,0,678.8,41037,344257
凱基商業銀行,372235,192523,4078,2092,1094085,964314,991978,5555,0.59,0.39,187.37,5279,46289
星展(台灣)商業銀行,608554,309322,7346,5143,1295133,2046219,2956435,20002,0.5,0,396.37,14407,107432
台新國際商業銀行,5957656,4046445,54463,24887,9937859,22118220,28430168,116513,0.14,0,858.83,24616,206167
日盛國際商業銀行,141338,95739,215,957,233573,120821,291915,1593,0.25,0,935.34,422,5181
安泰商業銀行,123613,53973,429,416,192442,1089468,338879,307,0.27,0.03,382.23,0,8547
中國信託商業銀行,7670253,4821988,80461,33610,15006257,31549293,38100348,529080,0.09,0,498.35,56352,593643
台灣樂天信用卡股份有限公司,599069,205874,928,3883,499634,778992,844204,4683,1.56,0.61,141.93,962,7864
台灣美國運通國際(股)公司,169017,92829,1928,2522,205929,0,2713092,579,0.25,0,994.87,1881,18853
