金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,226098,110938,1917,994,182939,41639,670722,752,0.29,0.22,462.2,637,2070
臺灣土地銀行,340860,144082,2281,2164,365291,87073,734119,672,0.28,0.21,1204.17,2296,8557
合作金庫商業銀行,608902,367634,10403,4038,765211,391750,2821227,1905,0.25,0.21,448.79,5242,24875
第一商業銀行,1364554,822821,24890,10515,1464549,1765028,4507189,8355,0.05,0,2117.04,5577,26568
華南商業銀行,1016235,767181,12276,8506,1017120,3207084,3514905,1163,0.22,0,363.04,0,8827
彰化商業銀行,538454,226310,3988,3259,330685,288005,1469197,795,0.24,0,625.23,739,6668
上海商業儲蓄銀行,480013,244578,2589,3385,600575,769576,1137807,5274,0.24,0.18,1389.02,2240,11876
台北富邦商業銀行,4024569,2687538,65279,15205,5678639,21287990,24611567,97206,0.1,0,1156.82,24309,102933
國泰世華商業銀行,7243809,5179858,45409,27428,17861964,15869021,40962842,273467,0.18,0,1217.32,43776,184289
高雄銀行,16093,6781,64,99,13718,328,173272,60,0.48,0.43,216.35,1,196
兆豐國際商業銀行,1028062,633451,9643,3193,1669409,2591240,3459033,11036,0.24,0.04,627.25,4009,20123
花旗(台灣)商業銀行,2858189,2184605,17214,31064,10411471,10904689,14945012,153868,0.53,0.11,429,41384,205668
臺灣中小企業銀行,196888,102650,855,746,314170,69981,741359,1704,0.16,0.04,329.12,1565,6492
渣打國際商業銀行,409770,283013,1515,3078,1153136,431075,2306220,5614,0.18,0,1022.98,3563,18091
台中商業銀行,153574,79244,1659,951,223169,49636,490145,231,0.5,0,1234.46,1715,6981
滙豐(台灣)商業銀行,625244,429654,9972,9018,1886201,1377643,4511422,26057,0.23,0,1680.14,6213,28263
華泰商業銀行,9171,5008,4,47,10481,2020,34728,0,0.94,0.22,414.29,0,37
臺灣新光商業銀行,939281,571671,11840,4854,1565863,1826773,4199913,7342,0.17,0,243.2,4206,21170
陽信商業銀行,115231,56171,1256,313,184887,79315,366650,154,0.44,0.06,343.53,0,2549
三信商業銀行,15274,10122,153,42,18163,12852,85463,20,0.46,0,7204.24,328,672
聯邦商業銀行,2287248,1329565,18418,10120,5541796,4361091,8039322,64118,0.17,0,162.17,12963,68530
遠東國際商業銀行,1641408,1039108,7490,6632,3968327,4786468,3755257,148141,0.32,0.11,100.66,12586,54869
元大商業銀行,1157256,568677,3522,5117,1274012,2806856,3702779,20946,0.08,0,703.54,5157,26737
永豐商業銀行,2117362,1143720,15365,6488,4051798,4782477,9066191,93954,0.14,0,902.58,11714,58706
玉山商業銀行,6475418,4494700,39298,18727,12479448,16507911,35222689,301139,0.16,0.01,641.86,41636,190324
凱基商業銀行,362817,192385,4448,2312,1106256,865002,944630,7545,0.7,0.41,184.43,5131,24042
星展(台灣)商業銀行,608911,315593,3482,5080,1344957,1927117,2625864,24907,0.61,0,294.81,13155,58998
台新國際商業銀行,5854447,4072757,47851,25898,10266911,19587410,26088100,124752,0.16,0.01,906.62,21690,109226
日盛國際商業銀行,144104,92511,227,909,245601,108078,262231,1571,0.24,0,910.36,830,3079
安泰商業銀行,123524,55150,395,422,203669,1100305,313984,486,0.36,0.1,265.1,3925,3925
中國信託商業銀行,7535732,4852071,71291,32278,15839180,18493086,34955445,688157,0.18,0,438.05,73199,321156
台灣樂天信用卡股份有限公司,598814,224792,1230,4971,502153,856266,844054,5993,1.24,0.33,203.38,976,4162
台灣美國運通國際(股)公司,173768,101661,1873,2107,242929,0,2039815,119,0.32,0,867.34,2216,8519
