金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,248373,121186,2493,1616,161852,37091,1007642,472,0.09,0.06,1163.87,587,2373
臺灣土地銀行,345313,144133,1988,4183,333521,66066,929451,650,0.16,0.15,1212.84,1986,9747
合作金庫商業銀行,670059,395538,6688,4567,794250,446425,3863833,1685,0.18,0.14,481.88,4957,23492
第一商業銀行,1528314,932036,17953,11940,1581534,2053817,6560637,7440,0.15,0,1020.23,5728,29543
華南商業銀行,1071036,830250,35173,8766,998131,3773656,5272382,1568,0.17,0,368.01,0,10549
彰化商業銀行,604728,292809,7810,3727,315839,447830,2030716,1131,0.18,0,579.37,2303,7708
上海商業儲蓄銀行,471748,202192,8366,2437,591042,1468362,1680133,5475,0.15,0.11,1512.87,3285,12224
台北富邦商業銀行,6284183,4090926,400172,24692,6841493,26299349,38045860,95455,0.12,0,1286.28,26340,128401
國泰世華商業銀行,10274471,6572542,74774,89149,18823598,20337208,62874767,230733,0.16,0,1460.86,50653,225323
高雄銀行,15102,4628,18,61,14232,627,187757,94,0.28,0.27,291.28,49,995
兆豐國際商業銀行,1138125,664736,14832,4904,1775560,3073143,4533303,12400,0.23,0.01,673.76,8006,38507
花旗(台灣)商業銀行,2761132,2082596,7573,28798,9947426,10902564,20819675,123971,0.48,0.1,506.88,35892,210100
臺灣中小企業銀行,175772,95859,419,746,268580,73692,898713,1600,0.06,0.01,310.1,2154,4603
渣打國際商業銀行,291427,188691,1134,4889,899223,317340,1681562,4304,0.18,0,983.94,3454,17653
台中商業銀行,166807,81325,1503,893,199523,46386,656632,196,0.07,0,2461.61,1074,6400
滙豐(台灣)商業銀行,684705,460303,10153,6039,1761798,1332153,6908116,19032,0.24,0,1629.67,6659,26613
華泰商業銀行,8968,4932,21,34,8286,2461,45967,0,0.39,0,608.19,0,161
臺灣新光商業銀行,1057355,623638,10749,10698,1537641,2042168,5024968,6167,0.16,0,287.47,6456,28659
陽信商業銀行,116439,57039,1520,1202,159906,93138,419112,203,0.52,0.06,540.7,0,2489
三信商業銀行,19558,12829,319,94,24664,15880,125860,32,0.05,0,5561.9,109,591
聯邦商業銀行,2589725,1537647,40478,17628,5681802,4698572,13711998,48774,0.13,0,175.68,12901,64344
遠東國際商業銀行,1434023,1008779,10656,10030,3508351,4283629,4683909,97149,0.34,0.08,102.34,10682,49349
元大商業銀行,1200149,558949,6321,9452,1136632,3049144,4734543,18435,0.08,0,831.28,3851,22816
永豐商業銀行,2293273,1241647,15156,9723,3767616,5095697,11636877,76723,0.12,0,760.41,15029,68453
玉山商業銀行,7025336,4729932,62491,45002,12586339,18301688,44188915,261423,0.19,0.01,504.28,53505,223263
凱基商業銀行,380873,188563,1637,2124,1166422,929761,1263699,7278,0.85,0.49,160.07,5249,30871
星展(台灣)商業銀行,669337,345489,7279,4675,1280604,2146672,4292787,25256,0.51,0,483.67,7275,45584
台新國際商業銀行,6422062,4386060,63686,27066,9921106,19110774,37865377,108889,0.14,0.01,921.21,21700,111195
安泰商業銀行,124209,54504,718,344,164566,1189033,381340,369,0.12,0.02,348.38,4283,4283
中國信託商業銀行,8733173,5542794,121263,69324,15642679,23742802,58039659,579109,0.13,0,384.81,75961,368428
台灣樂天信用卡股份有限公司,614188,209054,2419,5070,602685,651011,814362,5312,2.23,1.1,151.97,775,4079
台灣美國運通國際(股)公司,182806,117130,3586,2299,274862,0,5535780,786,0.1,0,864.07,1315,36399
