金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,227162,111271,1177,915,235660,12045,677956,1609,0.181430727451374,0.100575729348044,745.009820172445,1336,9235
臺灣土地銀行,145413,63872,12694,1216,199165,25530,425830,771,0.172249238740172,0.0775651805056886,2412.36022967664,1136,6081
合作金庫商業銀行,390389,236440,4752,3382,567014,256084,2176245,4287,0.309143188588961,0.280954781613415,326.93198386113,1847,26905
第一商業銀行,867934,579465,16347,9676,1334070,1006001,4099495,14490,0.131647348516184,0,2132.71126893582,4996,38837
華南商業銀行,771724,550227,17273,8137,642097,1266260,3600046,995,0.125847756502211,0,963.196186350258,0,16093
彰化商業銀行,421392,206487,7113,2768,303307,98096,1241151,596,0.313848694401024,0.0113353930257706,599.825227340998,2115,8749
上海商業儲蓄銀行,368499,190695,1288,5029,773564,206708,1247621,8469,0.558808943067838,0.248885351933256,2303.14080886079,0,17763
台北富邦商業銀行,2280596,1586423,24992,147847,6788019,5206063,15222369,107104,0.18156263754456,0,737.440628631566,22385,164736
國泰世華商業銀行,5023329,3495486,61481,26718,13996361,10922562,27011233,276900,0.140483719294077,0,2203.05750429542,30759,178961
高雄銀行,9125,3976,94,56,6216,186,182928,90,0.273716134471262,0.108939021519562,343.903651731949,2,71
兆豐國際商業銀行,595526,395611,6767,5483,1198689,795839,2530883,7264,0.179276288137958,0.033124423787244,832.154941669613,4247,20076
花旗(台灣)商業銀行,2923745,2502213,19972,29401,16685198,8746615,19421957,210440,0.457741189572492,0.088784985520446,715.351510566622,52383,436154
澳盛(台灣)商業銀行,626306,377912,5719,6503,3348390,1621877,3485118,22838,0.354193380303627,0,387.851789345844,12245,83026
臺灣中小企業銀行,335356,130976,1257,1745,533633,112123,891449,4510,0.235558603924535,0.0512144595025499,538.493403678751,4671,22480
渣打國際商業銀行,405727,254890,2025,5133,2189288,710749,1527763,11251,0.423432418272225,0,487.454645395038,9756,83933
台中商業銀行,169139,63245,8145,985,225108,35222,436717,0,2.26617396838592,1.0613253497162,334.070259831396,0,6782
匯豐(台灣)商業銀行,632102,447438,7049,6755,2979083,2126950,4403906,63555,0.219575607913888,0,2602.01627174104,7533,61361
華泰商業銀行,10307,6679,16,34,19997,2319,56963,0,0.27476088027165,0,207.54559143383,0,985
臺灣新光商業銀行,897462,456495,7878,6069,2180205,1270612,3674225,20910,0.19577903456137,0.0193059323070509,234.489046869509,4011,39620
陽信商業銀行,69297,39030,918,514,266552,52774,242657,434,0.413042988040921,0.0180400941091576,950.044877548404,0,7207
三信商業銀行,16825,11427,235,91,32443,14401,118246,254,0.292881701260665,0,5635.97619222573,324,706
聯邦商業銀行,1789386,795962,29711,15888,4964683,3174118,5496346,168472,0.253482450484767,0,130.282918704376,11954,90876
遠東國際商業銀行,1495432,1006835,13281,8002,5109091,6343350,4489803,243283,0.248953864081784,0.0869364682931119,100.434829148811,15299,96896
元大商業銀行,380332,202385,15970,2725,484338,442749,2487727,1308,0.197072278744156,0,1012.20600852406,2395,11637
永豐商業銀行,2209480,1314781,22746,17205,4957498,4532722,7801828,146560,0.422280650102257,0.134555347064082,557.158921114983,13690,92625
玉山商業銀行,3838437,2662913,62563,21528,10303733,9128320,20988443,142222,0.200129810451248,0,2248.39983059259,35721,257432
凱基商業銀行,502375,200915,6946,4645,1258917,743065,957049,12380,1.11647333802029,0.651376054604606,132.441660438686,7766,39480
星展(台灣)商業銀行,12593,6167,96,100,18753,555,65582,28,0.475788807760234,0,1444.57001952122,384,1805
台新國際商業銀行,3560269,2415953,32970,37382,10407818,9542609,15306855,202452,0.246797595178869,0.00859444649071931,589.776473641784,19505,145425
大眾商業銀行,602128,307397,10739,5580,905083,3975783,1917552,88569,0,0,453.373159688626,7032,49643
日盛國際商業銀行,190698,101849,569,908,476043,229523,421012,7840,0.234828212504558,0,272.494058923547,1531,13355
安泰商業銀行,195703,70822,1261,654,451680,1114227,446820,1842,0.346934480181163,0.00928393925982739,588.576887280294,0,10953
中國信託商業銀行,5841052,3804284,41114,35674,14061587,13449162,27677224,794830,0.160734864839955,0.0012816001905245,666.882822771925,69752,427210
台灣樂天信用卡股份有限公司,28738,20121,8561,82,13946,29391,171713,293,0.0786376955410554,0,521.458237194278,0,0
台灣美國運通國際(股)公司,162668,89233,2800,3309,320458,0,4031176,1223,0.196647096593517,0,319.447279916619,1114,14509
台灣永旺信用卡(股)公司,100190,44195,155,951,286001,72931,174765,3390,1.47604672276564,0.545056157787181,941.708274833955,3480,20280
