金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,246117,121621,2504,1389,162042,37772,903654,661,0.11,0.05,1072.38,639,1444
臺灣土地銀行,348876,145050,1657,2968,338082,69352,931603,653,0.24,0.22,969.99,2116,5380
合作金庫商業銀行,665422,394899,7239,5022,781207,591942,3804062,1649,0.19,0.15,446.04,4299,13462
第一商業銀行,1517413,925554,20964,11588,1561171,2159373,6555357,9639,0.15,0,1049.02,5640,17942
華南商業銀行,1046706,808597,12777,9495,1003248,3774839,5172727,1741,0.05,0,609.1,10549,10549
彰化商業銀行,594707,284864,18717,4894,313232,505726,2001247,967,0.22,0.01,609.26,2528,3864
上海商業儲蓄銀行,462896,198676,4641,2208,587291,1442958,1815560,5883,0.15,0.12,1560.45,2743,6233
台北富邦商業銀行,5536317,3650003,381268,24718,6400321,26134646,36185836,92062,0.1,0,1377.32,26203,76556
國泰世華商業銀行,10319780,6380658,610363,130306,18419236,22337817,64311742,233793,0.14,0,1524.36,43529,126071
高雄銀行,15197,4686,23,58,14168,735,176311,119,0.38,0.38,239.16,818,819
兆豐國際商業銀行,1122599,658551,11421,5404,1782760,3368394,4454532,11741,0.23,0.01,651.38,8000,22501
花旗(台灣)商業銀行,2777165,2088226,21253,29866,10151754,11115142,21288712,132655,0.42,0.09,539.24,65477,135947
臺灣中小企業銀行,176577,96908,469,2165,272260,82418,866538,1506,0.06,0.04,286.09,607,2449
渣打國際商業銀行,300348,194766,1117,5590,921730,349046,1858373,4850,0.22,0,972.41,3059,11315
台中商業銀行,165604,80608,1834,837,196802,49669,678809,342,0.13,0,2056.31,1212,3748
滙豐(台灣)商業銀行,677698,452735,13016,5629,1803810,1350573,7018458,21566,0.24,0,1667.15,6071,15013
華泰商業銀行,9023,4909,30,63,7716,2144,45589,0,0.02,0,678.02,161,161
臺灣新光商業銀行,1057148,623975,13649,8552,1554559,2127450,4954054,5806,0.15,0.01,279.05,5563,16486
陽信商業銀行,115803,55743,1879,1408,162846,94285,429248,202,0.21,0.01,757.76,2489,2489
三信商業銀行,19294,12569,396,79,22924,17249,120203,32,0.17,0,3861.46,182,235
聯邦商業銀行,2543402,1478870,60860,19729,5578559,4646313,12685051,51843,0.13,0,170.65,13928,37554
遠東國際商業銀行,1432853,1016400,11998,143185,3523537,4474711,4727940,116679,0.3,0.08,105.5,9855,28028
元大商業銀行,1197148,554554,11137,8255,1175614,3136807,5055853,19399,0.08,0,805.33,5876,13303
永豐商業銀行,2291349,1241034,16159,22941,3847720,5292115,12136101,80397,0.14,0,696.4,14703,38865
玉山商業銀行,6990605,4700695,117205,40705,12696928,20738502,41944767,272685,0.21,0,495.81,52233,121003
凱基商業銀行,381660,190076,2995,7600,1157486,966411,1320285,7208,0.74,0.46,162.47,6079,17616
星展(台灣)商業銀行,661906,337786,7106,4808,1291339,2227254,4353673,25554,0.47,0,495.49,8574,26232
台新國際商業銀行,6358614,4331528,73221,31560,10014805,20401512,36018117,102917,0.13,0.01,1017.38,22039,68657
日盛國際商業銀行,131122,77872,1288,1121,214679,36449,248844,233,0.28,0,1101.75,0,1180
安泰商業銀行,123470,53976,810,364,167433,1191669,371071,298,0.33,0.09,260.15,0,0
中國信託商業銀行,8623199,5466530,126806,80518,15763291,26732864,58076845,625078,0.13,0,385.25,77421,217133
台灣樂天信用卡股份有限公司,615650,289454,3783,6575,603181,694243,1000835,6053,2.02,1.02,140.83,1133,2481
台灣美國運通國際(股)公司,180361,114758,4679,3618,278561,0,5400613,676,0.35,0,483.27,7436,20574
