金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月,逾期六個月,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,232084,111037,2060,1403,227764,9141,635976,1323,0.368301583127206,0.0788957981624914,531.896771995571,1226,10211
臺灣土地銀行,231633,128021,3324,988,286575,52501,865876,1102,0.430465923781798,0.27519009035583,1000.63856960409,1728,16166
合作金庫商業銀行,447070,270979,13897,3707,643011,236095,2592231,3406,0.362177019088843,0.310366276330604,290.386612506737,7776,42112
第一商業銀行,949771,638761,10289,10740,1442600,1193942,4433394,18204,0.173452127956183,0,1836.20103017899,5986,62750
華南商業銀行,919883,669791,43145,9308,814346,1916067,4474420,1720,0.160560463489145,0,489.540591004126,0,36400
彰化商業銀行,424956,208007,2873,2889,371314,144251,1269813,788,0.393747741766812,0.00593382899409848,562.812321308704,2290,24689
上海商業儲蓄銀行,355790,177372,2243,1977,711584,176038,1042444,6587,0.921409587578701,0.393678249263477,664.087318002938,0,26663
台北富邦商業銀行,2380252,1735310,26169,24736,6203753,9231464,17556948,54211,0.140623053907212,0.000270484025754407,809.590134257446,24423,261438
國泰世華商業銀行,5857165,4142569,82936,121487,15060770,11234884,39872111,258308,0.120258956540192,0,2455.2706898797,30563,332411
高雄銀行,10186,4582,148,40,8606,98,144662,193,0.200835110969909,0.110629510280035,355.92665356909,0,916
兆豐國際商業銀行,605303,414825,8199,8069,1162070,874180,2526307,5736,0.192658027205892,0.0687251802502435,548.72405746695,2830,38464
花旗(台灣)商業銀行,2885489,2451088,18180,39204,15776258,10210562,20292885,196301,0.53078164574365,0.0962961886892422,600.745007579253,119726,713813
澳盛(台灣)商業銀行,552226,332581,5114,4434,2966456,1567446,3074745,23475,0.377274404914139,0,413.013803592672,15002,151618
臺灣中小企業銀行,330015,125971,821,1482,449799,84414,970918,3916,0.182939558392758,0.0338585714928532,140.463702798562,1971,23766
渣打國際商業銀行,350557,212022,1740,3909,1861228,596932,1474813,9447,0.337511432586461,0,560.113134205474,7803,122524
台中商業銀行,202330,78928,3119,1545,259868,43515,531509,0,1.47721853129402,0.108001242222247,329.504881670827,9071,25553
匯豐(台灣)商業銀行,595787,408799,6019,9694,2641052,1604141,4425204,52846,0.280234111546489,0,2420.65086177312,7715,83079
華泰商業銀行,10145,6177,9,16,19919,2090,50713,0,0.782542592675401,0.28618700532129,218.364517752603,0,1758
臺灣新光商業銀行,904310,482356,7656,8655,2022053,1417474,4390952,13018,0.240712591442878,0.0365938580482541,229.024418623686,7119,64195
陽信商業銀行,89050,50510,1904,790,245487,55269,297304,375,0.693237530652909,0,712.913902442591,0,10883
三信商業銀行,17135,11062,140,62,30047,14729,105690,35,0.664817193009841,0,4506.08876782567,450,2623
聯邦商業銀行,2016599,1065917,38820,31506,4850828,2661040,7124132,107301,0.280820485322053,0,120.477942878814,15881,155832
遠東國際商業銀行,1834442,1068005,115106,66110,4683220,5782308,4676787,233713,0.390169728151169,0.126705338765875,100.416696337496,17218,175283
元大商業銀行,568331,359748,14592,4305,469272,513068,4498547,679,0.126223189055512,0,1164.58076051094,1189,18362
永豐商業銀行,1955180,1313377,20467,15715,4868194,3635514,6900916,119583,0.355873915958396,0,582.332892932871,11889,163146
玉山商業銀行,4268236,2974673,52923,25310,11387366,8525341,23307355,193404,0.264474846805126,0.0368504648405873,968.908412331721,38286,419250
凱基商業銀行,502604,198367,11079,17473,1085080,357194,1030572,11451,0.979761831599151,0.675984449875747,145.712472938654,5312,76564
星展(台灣)商業銀行,12717,5806,31,74,21519,52,55911,12,1.81878047633234,0,595.675785071002,0,2190
台新國際商業銀行,3723566,2593486,82338,12172,10173909,12432018,18822569,153983,0.230650311692445,0.00342293901171265,607.067604974316,23529,251667
大眾商業銀行,601914,325306,8626,6932,937516,3691761,2079737,76834,0,0,493.625030783603,11213,113820
日盛國際商業銀行,175602,100610,429,1855,441866,204570,400945,5295,0.258448607286015,0,233.957678993099,1434,15555
安泰商業銀行,181794,70147,778,457,372433,1294071,457023,1265,0.722771915805623,0.24272415105303,309.365092899055,0,10462
中國信託商業銀行,5961487,3842312,56109,39963,14796100,13354546,27223129,769539,0.158587871176863,0.000445892201269682,606.773352663495,59773,674715
台灣樂天信用卡(股)公司,195878,145183,14608,504,138263,226032,768109,2153,0.129254940152456,0.0163806468475758,311.909907860312,144,1654
台灣美國運通國際(股)公司,169817,113200,3662,2727,347775,0,4006202,1431,0.297973804233016,0,253.302190721649,3564,25895
台灣永旺信用卡(股)公司,81697,35921,122,863,266172,42597,139079,2211,0.889532138905548,0.182828019533251,2041.2582781457,1368,20855
