金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,238650,117143,2114,1189,163603,130199,838721,565,0.1,0.02,1017.21,786,3438
臺灣土地銀行,362871,150238,1675,4214,346457,98591,850341,697,0.21,0.21,839.4,1896,15086
合作金庫商業銀行,651732,383562,9342,4819,793194,1209040,3474063,1390,0.19,0.17,387.8,4937,39714
第一商業銀行,1486516,891970,18550,13727,1534752,2322151,5884974,8038,0.09,0,1095.74,6504,44685
華南商業銀行,1050632,802283,12570,8493,977736,4370093,4402827,1030,0.15,0,423.25,0,20325
彰化商業銀行,575498,271912,6759,3114,315328,817718,1934028,947,0.23,0,517.76,1551,10316
上海商業儲蓄銀行,454147,187251,3534,5070,572100,1190791,1447434,4701,0.14,0.09,1916.05,2204,20407
台北富邦商業銀行,4601955,3123047,61257,15537,6091724,26856888,30773485,81325,0.08,0,1438.26,21358,147397
國泰世華商業銀行,7855850,5556208,74059,30761,18021224,25918248,52862579,196099,0.11,0,1549.92,37226,241985
高雄銀行,15428,4890,51,110,14909,616,172351,47,0.69,0.64,191.11,0,134
兆豐國際商業銀行,1087642,633017,10516,4236,1784896,4056713,4017198,10785,0.2,0.02,684.58,8500,57511
花旗(台灣)商業銀行,2792179,2082899,18693,29894,10086418,10081389,19883736,122004,0.37,0.08,604.33,34951,264971
臺灣中小企業銀行,190764,98158,623,943,279466,151700,839228,1570,0.06,0.01,313.22,651,8155
渣打國際商業銀行,345458,219839,817,5202,965285,471862,2002664,3778,0.23,0,869.59,3503,28668
台中商業銀行,166224,78789,1545,1105,205848,47402,623014,299,0.24,0.01,1898.81,1231,10355
滙豐(台灣)商業銀行,645648,432567,8266,5613,1737993,1344280,5781286,19143,0.16,0,2071.67,5377,30298
華泰商業銀行,9042,4901,11,29,7644,1905,41241,0,0.21,0,610.89,0,23
臺灣新光商業銀行,1044655,632762,10179,6556,1520070,2369907,4730310,4846,0.18,0.01,273.83,0,33095
陽信商業銀行,113384,56030,1257,765,169649,104498,388357,80,0.53,0.01,420.83,0,5110
三信商業銀行,18287,11950,303,42,19783,16074,116413,21,0.2,0,3018.7,0,273
聯邦商業銀行,2356196,1339801,30166,15190,5421264,4819053,10096931,39674,0.13,0,172.42,12537,94434
遠東國際商業銀行,1571364,985581,13339,10882,3637126,4288338,4513620,106960,0.3,0.09,105.35,7413,76375
元大商業銀行,1183059,552591,4856,5834,1172308,3111061,4541866,17423,0.08,0,778.27,3330,27012
永豐商業銀行,2246011,1213060,18619,6615,3872216,5450917,11190445,73752,0.12,0,847.93,11363,82708
玉山商業銀行,6802744,4574245,48010,24601,12649617,29611573,41348057,238840,0.11,0,619.58,37471,308739
凱基商業銀行,383542,191744,2906,2132,1132098,1012986,1141305,4910,0.81,0.5,151.39,8396,47520
星展(台灣)商業銀行,642505,327263,5010,4016,1232695,2326676,3501077,20260,0.46,0,487.23,9329,80267
台新國際商業銀行,6222983,4149634,62792,34313,9814685,23020428,32582058,139119,0.13,0.01,1006.6,25261,142213
日盛國際商業銀行,135541,78746,76,603,218882,55829,267921,462,0.27,0.03,930.96,0,3016
安泰商業銀行,123446,53234,419,512,174927,1131337,362619,281,0.23,0.06,386.37,0,3739
中國信託商業銀行,8267451,5168664,117219,59784,15292659,35912572,48427303,570763,0.1,0,422.88,56800,448261
台灣樂天信用卡股份有限公司,598921,187102,1707,6183,547191,689726,829614,5341,2.48,1.17,109.95,807,6459
台灣美國運通國際(股)公司,174363,102976,3228,1476,236315,0,3893638,850,0.23,0,646.07,2182,19977
