金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,226079,112457,1690,2229,188163,118037,718756,838,0.22,0.16,564.27,64,4154
臺灣土地銀行,340543,152733,2371,1890,380519,125075,821249,807,0.23,0.2,1170.69,1504,17537
合作金庫商業銀行,574977,360247,4743,3690,753793,995725,3197121,2189,0.14,0.09,561.13,1788,44312
第一商業銀行,1263792,755366,15839,12274,1398582,1625468,4468953,9926,0.03,0,2519.75,4603,50129
華南商業銀行,1014786,764448,8671,8137,1019813,3765507,5041743,1599,0.03,0,637.61,11085,39089
彰化商業銀行,537325,228957,3185,4142,336561,517750,1372852,778,0.13,0,747.1,1512,15802
上海商業儲蓄銀行,440137,230123,2487,2357,613388,730261,1236040,6411,0.14,0.11,1986.52,2995,28162
台北富邦商業銀行,3748686,2446123,60546,18756,5351509,20779706,21382167,90043,0.08,0,1634.68,19385,199630
國泰世華商業銀行,7039832,5050965,68668,44707,17571825,19157117,42402869,218147,0.12,0,1400,31672,382757
高雄銀行,14778,7443,389,133,12220,0,199340,101,0.04,0.04,1074.42,209,639
兆豐國際商業銀行,978902,626817,12607,4057,1466892,3391105,3120033,5196,0.21,0.11,508.35,5005,46785
花旗(台灣)商業銀行,2855225,2144228,20254,30043,11212554,9551697,14512916,77689,0.49,0.11,537.19,46030,462970
臺灣中小企業銀行,229744,113370,28011,1334,335021,86853,834245,2278,0.16,0.05,337.87,908,13212
渣打國際商業銀行,418578,300779,8903,2027,1234962,450324,3570386,5294,0.16,0,1157.51,4366,47124
台中商業銀行,147535,79034,1327,722,227434,52172,534899,329,0.32,0.01,1486.57,740,11294
滙豐(台灣)商業銀行,618918,431698,6904,7363,1971520,1671757,4909071,25835,0.19,0,2226.2,4846,53365
華泰商業銀行,9701,5008,113,26,11237,2407,38301,0,0.4,0.15,469.79,0,664
臺灣新光商業銀行,882424,529474,9748,4953,1592941,2019152,3745611,6271,0.14,0,201.35,5338,60129
陽信商業銀行,110599,53758,783,501,190722,85106,328977,248,0.16,0.01,689.46,2814,8718
三信商業銀行,15301,10236,113,31,20889,12766,90410,20,0.54,0,5334.28,135,1252
聯邦商業銀行,2231943,1315903,37869,13728,5662484,3980596,8315348,60925,0.18,0,157.72,13859,147577
遠東國際商業銀行,1627258,1021828,9183,5240,3981837,4985529,4148644,140381,0.29,0.1,100.73,11371,120156
元大商業銀行,1165832,607517,3173,6692,1353182,2967661,4294309,17922,0.08,0,777.02,4802,50917
永豐商業銀行,2118026,1095715,25872,8086,4085434,4960207,10086408,90315,0.19,0,743.14,10840,121962
玉山商業銀行,6263910,4443827,54958,24505,12479600,21508607,36331076,271854,0.14,0.01,631.6,44284,399955
凱基商業銀行,363592,185622,5360,3581,1094290,849236,945477,7190,0.64,0.37,175.05,3581,53439
星展(台灣)商業銀行,601779,336271,5812,5499,1365113,2025246,3057459,23804,0.67,0,281.63,13482,111190
台新國際商業銀行,5620279,3948064,56721,19104,10347773,22205426,27473056,249457,0.13,0.01,1088.84,24107,266584
日盛國際商業銀行,146670,100218,245,492,269936,147926,315569,2318,0.18,0,911.49,700,5358
安泰商業銀行,124207,56762,790,551,221260,1161255,363265,604,0.2,0.02,315.29,0,12712
中國信託商業銀行,7165845,4646284,71205,33853,16261245,25671249,37004380,614395,0.1,0,475.4,40095,489128
台灣樂天信用卡股份有限公司,592845,251457,2409,2102,428302,838454,1034082,5773,0.58,0.16,277.61,882,8036
台灣美國運通國際(股)公司,175478,103667,2063,2597,270239,0,2834690,477,0.13,0,1828.42,4012,33378
