金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,221669,115553,1685,2240,219792,31119,782186,983,0.24,0.1,605.77,1208,11127
臺灣土地銀行,329926,167246,3353,2386,403823,104378,963367,1094,0.31,0.25,950.39,2488,22090
合作金庫商業銀行,538280,343253,9653,5000,774990,619178,3661962,1986,0.22,0.16,430.85,5408,48382
第一商業銀行,1200555,743816,13646,10229,1521320,1458928,5087373,13372,0.1,0,1679.09,5956,58197
華南商業銀行,1029818,793080,9505,10278,1116424,3390162,5421064,1893,0.09,0,472.77,0,51209
彰化商業銀行,531680,247911,11853,3251,370808,446978,1558298,862,0.44,0,426.33,1293,16363
上海商業儲蓄銀行,425193,231142,7909,2587,680897,468987,1609041,7367,0.44,0.14,1205.16,4594,21991
台北富邦商業銀行,2883738,2032849,56468,15157,5309409,18363207,21816278,102710,0.09,0,1446.57,21480,196815
國泰世華商業銀行,6706278,4889530,78893,33645,18822250,17281796,46710782,277584,0.16,0,1283.98,42939,396132
高雄銀行,11109,4195,46,65,10353,0,164969,60,0.14,0.14,518.24,361,738
兆豐國際商業銀行,871868,560557,17057,4243,1351360,2857635,3594271,4761,0.14,0.06,734.08,3477,34034
花旗(台灣)商業銀行,2893088,2322660,26589,26801,14138450,12242753,20546992,241081,0.56,0.18,433.31,50605,511437
臺灣中小企業銀行,204883,121168,689,1577,402334,75168,1042121,2455,0.17,0.04,346.23,2437,18923
渣打國際商業銀行,367101,263144,3782,2381,1442884,537149,3339769,7295,0.26,0,966.29,5425,62957
台中商業銀行,137673,82115,1673,721,258975,50939,630412,374,0.43,0.04,973.49,1343,19068
滙豐(台灣)商業銀行,625253,448806,7664,7773,2200788,1740420,6592665,34197,0.18,0,1988.01,6177,63782
華泰商業銀行,9899,5413,6,43,11980,2315,40634,0,0.83,0.46,341.9,184,269
臺灣新光商業銀行,824807,494396,10021,5017,1769906,1616618,4486759,10504,0.25,0.02,237.72,6866,61524
陽信商業銀行,107538,57368,1138,1365,218532,78388,396532,277,0.49,0.02,421.12,0,10523
三信商業銀行,15199,10545,127,62,25307,15346,112946,38,0.73,0,3449.97,400,1170
聯邦商業銀行,2094002,1239976,44346,104944,5969832,3502294,7983191,72084,0.22,0,147.67,16543,168180
遠東國際商業銀行,1565033,1021819,25799,8573,4211328,5928770,5109884,169777,0.3,0.09,100.61,14023,138068
元大商業銀行,1173254,706675,5485,8476,1543603,3256200,6229992,22393,0.08,0,1008.14,7544,80302
永豐商業銀行,2204490,1147389,156688,21811,4450792,5149169,9240613,107797,0.24,0,648.16,11626,103205
玉山商業銀行,5660479,4044943,159564,30540,13152602,19013701,39248853,312413,0.21,0.03,565.07,44533,431715
凱基商業銀行,386939,199890,4041,27804,1105138,809223,1101802,9056,0.71,0.42,182.31,4869,46383
星展(台灣)商業銀行,589197,323734,6700,5106,1532939,2043229,3710244,27860,0.49,0,301.21,12507,111582
台新國際商業銀行,5240386,3671772,90903,24299,11043114,21547051,31337472,226587,0.16,0,967.27,23217,238455
日盛國際商業銀行,150121,99006,358,772,318965,18941,389637,3002,0.25,0,942.73,663,8276
安泰商業銀行,124311,61624,600,512,250266,1255617,428308,754,0.3,0.1,326.78,0,9488
中國信託商業銀行,6795362,4618130,81654,45090,17934845,23751558,41489681,695748,0.12,0,503.7,61108,611051
台灣樂天信用卡股份有限公司,559686,314061,9021,1356,481155,783509,1875909,3740,0.35,0.07,433.27,437,9040
台灣美國運通國際(股)公司,182584,120713,3405,2634,352415,0,4536162,1553,0.21,0,438.44,1782,33981
