金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,234708,117973,965,1254,165868,42881,579384,417,0.12,0.05,988.48,258,890
臺灣土地銀行,358170,147856,2196,1651,347897,82673,673636,460,0.26,0.19,1207.44,1361,3435
合作金庫商業銀行,635871,384180,4754,7139,789737,681453,2730660,919,0.39,0.34,345.49,0,4635
第一商業銀行,1435184,864745,13892,8121,1487777,2130869,4400535,5227,0.06,0,1576.92,4582,9256
華南商業銀行,1037181,788707,8619,6902,897895,3150915,3384138,740,0.12,0,498.89,0,0
彰化商業銀行,567731,253712,5082,3003,320796,467010,1356879,266,0.09,0,1064.88,1780,3126
上海商業儲蓄銀行,448369,183005,2063,2304,546706,1028662,1137661,3179,0.12,0.09,2121.39,3280,4717
台北富邦商業銀行,4353406,2913295,64693,13805,5759602,25193474,21463638,46378,0.06,0,1898.3,16081,28290
國泰世華商業銀行,7654624,5467813,49233,27548,17766282,18403669,37315068,132603,0.09,0,1578.97,25935,49557
高雄銀行,15666,5365,13,44,13743,444,118396,13,0.08,0.08,701.26,26,27
兆豐國際商業銀行,1059397,631380,5092,4031,1746161,3498895,3182577,7689,0.24,0.03,631.07,5001,10508
花旗(台灣)商業銀行,2811039,2098593,11519,21538,9700391,10641535,15241281,70834,0.39,0.11,505.45,0,65808
臺灣中小企業銀行,204251,103331,1056,707,304921,63918,700963,948,0.09,0.02,341.68,2124,2124
渣打國際商業銀行,372020,246653,595,5070,1026543,406847,1819363,3141,0.23,0,974.26,3511,7104
台中商業銀行,161233,79208,1312,772,187293,50784,472234,196,0.31,0.01,1574.91,654,2393
滙豐(台灣)商業銀行,634441,430086,6829,4749,1806277,1245392,4352403,11594,0.13,0,2366.63,2323,6288
華泰商業銀行,9049,4859,10,12,9571,2259,30344,0,0.06,0,562.26,0,0
臺灣新光商業銀行,984776,582727,13544,5255,1572562,2150777,3410898,3512,0.15,0.02,251.36,0,3597
陽信商業銀行,109400,52474,1471,843,176532,86916,283283,72,0.49,0.03,362.1,0,0
三信商業銀行,16682,11038,375,48,18090,13101,114314,37,0.35,0,2075.4,39,39
聯邦商業銀行,2282444,1327664,23031,13439,5224916,4691411,7672941,28177,0.13,0,183.79,10939,21907
遠東國際商業銀行,1554848,1002306,10302,5543,3794030,4553106,3682769,59041,0.27,0.07,104.31,9147,19640
元大商業銀行,1183252,555939,4554,5230,1188870,3029078,3420562,9702,0.08,0,743.96,3181,5369
永豐商業銀行,2193650,1175117,17119,5540,3954765,5250209,8756939,47412,0.13,0,935.02,6846,13081
玉山商業銀行,6651751,4539338,27888,18625,12177706,19032153,32132941,156652,0.12,0,612.98,27780,45917
凱基商業銀行,378016,191849,2527,2265,1073306,931270,885882,3275,0.58,0.49,159.2,5386,10254
星展(台灣)商業銀行,624813,319011,5051,2942,1326066,2066158,2586061,14976,0.64,0,391.56,8706,16544
台新國際商業銀行,6081682,4088018,43068,40031,9930716,21175904,25950387,88351,0.11,0,1132.72,13659,27300
日盛國際商業銀行,138280,86585,110,572,221808,69158,218741,493,0.23,0,1043.67,177,386
安泰商業銀行,123790,53562,286,303,185356,1107387,280601,281,0.19,0.07,221.97,0,0
中國信託商業銀行,7924984,4975985,72212,39317,15047835,26349144,36799352,373167,0.11,0,489.74,49481,91333
台灣樂天信用卡股份有限公司,600271,195812,775,4989,519435,762061,666296,3130,1.63,0.69,151.17,785,1637
台灣美國運通國際(股)公司,169473,98257,1743,1837,246577,0,2533484,369,0.16,0,1175.87,872,4296
