金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,234262,117109,2034,1597,166024,61483,810288,729,0.08,0.06,1143.05,293,6118
臺灣土地銀行,356812,146964,6621,2016,354302,90472,915032,784,0.25,0.21,1200.78,1783,20827
合作金庫商業銀行,637661,383618,9184,6184,774967,909578,3647506,1835,0.17,0.16,476.11,3175,51392
第一商業銀行,1413713,848636,13582,15953,1502964,2236688,5366319,8353,0.06,0,1872.86,4765,62230
華南商業銀行,1036971,787374,5784,7657,991593,3450578,4577664,1499,0.04,0,655.36,9626,48734
彰化商業銀行,562961,255471,1685,3384,257651,524517,1686315,750,0.14,0,790.04,69,14418
上海商業儲蓄銀行,446785,231669,1719,1610,565624,973162,1442254,4923,0.13,0.08,2098.03,1041,26101
台北富邦商業銀行,4241447,2837461,90057,18176,5818025,23760316,32061356,88770,0.05,0,2110.65,12953,254704
國泰世華商業銀行,7604456,5431713,70194,37754,17984944,19261204,50894201,203173,0.08,0,1528.68,21182,424491
高雄銀行,15753,5551,20,82,13614,427,150058,142,0.04,0.04,1337.6,142,1181
兆豐國際商業銀行,1055773,631546,6233,3872,1715505,3608816,4362101,10522,0.2,0.05,637.57,5495,52750
花旗(台灣)商業銀行,2829426,2108311,16172,20630,10376879,10795372,19448429,124958,0.41,0.16,439.08,0,445440
臺灣中小企業銀行,204682,100638,14761,1330,291741,71509,892222,1833,0.07,0.03,331.57,635,13813
渣打國際商業銀行,385729,257509,1089,5496,1065709,438672,2557512,5068,0.16,0,1013.66,2749,43458
台中商業銀行,159401,78444,1164,968,208395,52868,572015,242,0.35,0,1468.11,793,16051
滙豐(台灣)商業銀行,628839,429128,4592,5977,1825927,1251644,5615278,21582,0.14,0,2376.17,3892,64586
華泰商業銀行,9052,4830,4,27,9087,2243,45075,0,0.04,0,535.9,0,452
臺灣新光商業銀行,967682,575444,9775,5381,1533265,2198250,3916833,6514,0.1,0,245.78,5999,53285
陽信商業銀行,117276,54771,1212,837,174643,87863,380974,144,0.09,0,520.15,5988,13922
三信商業銀行,16241,10814,163,49,16090,15263,121368,110,0.36,0,8194.44,288,1587
聯邦商業銀行,2255449,1300127,32355,14988,5348854,4711359,9958185,51602,0.12,0,179.84,10548,147681
遠東國際商業銀行,1547948,994110,6979,38926,3774539,4848852,4664353,125576,0.25,0.08,104.29,7239,120334
元大商業銀行,1179037,554494,6336,5796,1219398,3169555,4504149,18091,0.08,0,724.19,3076,54885
永豐商業銀行,2170771,1166125,13839,5745,4003484,5131702,11982742,77921,0.11,0,982.46,6828,124411
玉山商業銀行,6624086,4531414,38166,22107,12349299,19537342,40978155,262108,0.09,0,853.51,29992,467087
凱基商業銀行,376054,191558,3411,2304,1100003,971742,1095659,7374,0.46,0.36,196.02,7055,64387
星展(台灣)商業銀行,622454,318185,3244,5095,1299314,2159285,3325066,20919,0.47,0,422.51,8195,134716
台新國際商業銀行,6058070,4067592,49742,26486,10066064,22191161,30444304,182342,0.09,0.01,1163.37,17775,275347
日盛國際商業銀行,139275,88070,202,780,227923,107831,291490,2497,0.24,0,902.34,218,5999
安泰商業銀行,123765,53776,428,334,187885,1131299,384066,446,0.16,0.02,177.12,0,11036
中國信託商業銀行,7837569,4934654,91876,29495,15170075,28954720,43363161,593194,0.09,0,487.26,37071,704023
台灣樂天信用卡股份有限公司,600794,201303,1065,5263,527278,832240,937233,5959,1.61,0.69,121.49,959,10787
台灣美國運通國際(股)公司,169722,96435,2478,2376,235558,0,3514537,262,0.17,0,1050.32,2254,25067
