金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月,逾期六個月,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,228765,108423,1131,984,226068,8705,685926,1278,0.296293665731501,0.109734010440712,586.587880466562,537,7014
臺灣土地銀行,224140,121966,3457,929,260207,52213,921018,1012,0.434162132667356,0.329840798473568,805.903827164188,1424,10600
合作金庫商業銀行,433195,262343,5894,3519,617560,206205,2583566,3219,0.346373756119475,0.288213259039798,297.281642509925,0,28179
第一商業銀行,940887,625038,13824,9783,1415354,1055179,4312713,16261,0.14727383684341,0,2003.24877577302,5944,45293
華南商業銀行,856590,624183,13997,8712,761449,1993522,3980757,1205,0.158485065760658,0,476.245142802338,0,24878
彰化商業銀行,435450,210553,3724,3143,353197,173298,1362392,684,0.301380269586672,0.0062568382258486,713.095634788404,5432,17688
上海商業儲蓄銀行,356111,178229,1356,2366,715462,189513,1068610,6828,0.673033672717624,0.160775172559599,2538.18435856896,6304,21170
台北富邦商業銀行,2302488,1701094,29236,29955,6263732,7806120,18554014,48812,0.154536988936789,0.000276528231645552,762.437583150474,22962,187443
國泰世華商業銀行,5682321,3877832,245426,34778,14364062,11234646,36350403,274429,0.119698177328074,0,2451.34727369198,28322,242883
高雄銀行,9916,4614,209,90,7438,118,157051,191,0.268335760542869,0.151209989774734,257.124798896805,0,863
兆豐國際商業銀行,616231,410382,8679,6524,1141199,764487,2564718,5610,0.162805458067528,0.0624921593868926,607.865479805767,4008,31027
花旗(台灣)商業銀行,2895006,2457443,16852,31774,15813441,9599381,19927082,215838,0.47443387588105,0.0882329251284336,665.251314768515,58260,536664
澳盛(台灣)商業銀行,559705,343121,4805,4559,3031065,1568724,3205455,22440,0.358258601410078,0,423.228635562121,15983,111448
臺灣中小企業銀行,332096,127167,923,1767,451382,85284,894405,4567,0.122057528973504,0.0212584124103473,142.076133909287,2397,18073
渣打國際商業銀行,359926,218005,1373,4883,1888187,622172,1458114,10300,0.423148049377581,0,544.593943425053,10559,93054
台中商業銀行,198913,78621,2271,1253,256428,41112,534131,0,1.74074011174702,0.400370225701815,311.513627653212,0,16482
匯豐(台灣)商業銀行,608037,419621,5959,11212,2688423,1590780,4269785,54165,0.236133185954546,0,2713.19014930107,8409,60701
華泰商業銀行,10197,6309,12,14,19734,2654,56937,0,1.7085504137297,1.6957809786495,227.844409609566,0,288
臺灣新光商業銀行,909100,481519,9239,9422,2034497,1409603,4455387,16073,0.23969185238452,0.0206820125544912,244.872491643672,6559,44770
陽信商業銀行,86675,49260,2045,797,242374,61737,304032,266,0.567644109834826,0,803.168965988253,0,7170
三信商業銀行,17129,11223,166,76,31695,13592,111084,36,0.437431976208137,0.00138647219083403,5410.2531281001,131,1420
聯邦商業銀行,1980175,933751,187202,25178,4659314,2798607,7096957,92423,0.28706132096028,0,119.996186956668,15957,110732
遠東國際商業銀行,1480131,1021853,11188,8227,4710693,5775250,4720136,235689,0.387230042938799,0.10892985082774,100.498710771631,16500,126241
元大商業銀行,537567,331624,15757,3045,452237,469389,4087224,739,0.133389863089004,0,1163.02498771406,2060,13791
永豐商業銀行,1953697,1353340,17251,388880,4896801,4124830,7292624,129908,0.329929786105284,0,611.38015515427,14752,119613
玉山商業銀行,4205723,2925684,44584,24727,11088748,11434919,26510834,189339,0.244431774821823,0,1081.81667579805,38277,305293
凱基商業銀行,509297,198061,8020,8166,1097085,305387,1050670,10008,1.24367560079638,0.760172959173314,134.989341106567,10008,53983
星展(台灣)商業銀行,12838,5957,45,63,22192,171,57307,8,1.29296656433832,0,718.570857219037,732,1303
台新國際商業銀行,3617163,2538375,35657,28712,10161097,13150022,18627438,147527,0.221814372492072,0.00284117656172349,611.992103348015,22096,182308
大眾商業銀行,595654,324591,7914,22208,936963,3674487,2058084,80403,0.0106968860046046,0.00911433300666313,470.199162053838,14355,75897
日盛國際商業銀行,180962,100333,425,3402,443207,217581,446340,5436,0.267550783939055,0,223.521610264189,1050,10492
安泰商業銀行,181593,70257,850,474,383637,1277375,474264,1216,0.40453993235628,0.0119620666211402,302.518433493512,0,10462
中國信託商業銀行,5909323,3837933,45644,44674,14440259,15263027,29240269,716152,0.154849218182592,0.00054618558085443,611.009297648432,57048,481140
台灣樂天信用卡(股)公司,160533,121511,12745,486,107268,160523,642159,1575,0.13498842799039,0.0448126347406923,274.461907176107,322,1072
台灣美國運通國際(股)公司,167394,113374,3943,2780,334679,0,3569761,1778,0.170855692897519,0,349.965494342374,3277,18137
台灣永旺信用卡(股)公司,87121,36968,138,591,265661,48171,146074,2718,0.725964130989021,0.196806344757761,2341.68376872869,1327,16262
