金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,234967,118201,1798,1804,167643,37183,742420,662,0.09,0.03,1311.05,504,1394
臺灣土地銀行,358829,149138,2548,2098,345214,79060,851852,682,0.34,0.28,725.88,1382,4817
合作金庫商業銀行,635125,384762,7603,8555,749195,577347,3258178,1758,0.2,0.17,455.13,8992,13627
第一商業銀行,1448090,876469,21417,11831,1489168,2003633,5627612,7154,0.08,0,1416.22,5418,14674
華南商業銀行,1039019,791230,14346,8235,960770,3183569,4496607,1265,0.06,0,589.84,8265,8265
彰化商業銀行,572094,256009,9272,3910,301021,420815,1823202,868,0.15,0,774.63,724,3850
上海商業儲蓄銀行,449794,183705,2964,2318,554630,1015648,1431651,5766,0.16,0.13,1734.79,1786,6503
台北富邦商業銀行,4402105,2966488,66733,18034,5598651,24473473,28718807,84335,0.07,0,1687.05,16453,44743
國泰世華商業銀行,7691312,5461352,71826,35138,17107323,17854870,47876609,229172,0.09,0,1588.97,25252,74809
高雄銀行,15614,5302,19,69,14518,488,165382,77,0.14,0.14,482.93,0,27
兆豐國際商業銀行,1063802,631221,9226,4821,1697742,3372742,3804590,9241,0.26,0.04,590.51,5500,16008
花旗(台灣)商業銀行,2804585,2091966,16609,28969,9936703,10368267,17569075,127142,0.38,0.07,550.43,44520,110328
臺灣中小企業銀行,192218,99836,2778,14811,282289,62608,778531,1829,0.04,0.01,339.93,1010,3134
渣打國際商業銀行,366923,242638,917,5915,998012,400323,2153418,4895,0.28,0,888.23,2819,9923
台中商業銀行,162344,79459,1917,1043,200605,52333,602784,311,0.43,0.01,1338.59,783,3176
滙豐(台灣)商業銀行,636632,430540,8526,6335,1772955,1260851,5526442,18578,0.12,0,2268.47,6064,12352
華泰商業銀行,9059,4865,22,12,8418,2354,41823,0,0.04,0.04,583.52,2,2
臺灣新光商業銀行,998468,595200,19144,5452,1503661,2012649,4370661,6651,0.14,0,256.89,8764,12361
陽信商業銀行,110701,53941,2140,1064,168889,86418,375048,201,0.12,0,472.54,2729,2729
三信商業銀行,17151,11338,602,56,16884,13958,99347,31,0.26,0,2455.92,29,68
聯邦商業銀行,2295174,1332043,30299,17569,5299115,4416973,8750700,53921,0.14,0,180.32,12850,34757
遠東國際商業銀行,1564401,1011034,16809,7258,3670325,4623876,4554862,114252,0.27,0.07,104.38,9836,29476
元大商業銀行,1174578,559650,6429,18273,1174223,2938945,4447874,19283,0.08,0,752.64,4633,10002
永豐商業銀行,2218092,1194091,32596,8399,3911078,5136520,11330498,84805,0.13,0,943,11650,24731
玉山商業銀行,6669031,4533343,39491,22211,12221017,17517532,37221154,257579,0.16,0,552.92,33602,79519
凱基商業銀行,379002,192544,3567,2756,1122696,903953,1078276,5232,0.68,0.39,167.81,5958,16212
星展(台灣)商業銀行,626007,320552,5897,6250,1275985,2093960,3424524,26521,0.61,0,404.3,9528,26072
台新國際商業銀行,6099318,4100790,55408,37772,9755500,20672684,31664581,177220,0.12,0,1078.87,15525,42825
日盛國際商業銀行,137861,79828,206,625,221071,62474,272125,1115,0.23,0,964.26,654,1040
安泰商業銀行,123767,53616,429,460,181721,1128792,338328,278,0.24,0.11,242.76,0,0
中國信託商業銀行,7970761,5016910,108913,63136,15051714,25147223,44780412,649710,0.11,0,454.63,55292,146625
台灣樂天信用卡股份有限公司,598327,194312,1106,6378,524276,758493,887022,5378,1.99,0.88,118.67,771,2408
台灣美國運通國際(股)公司,170024,99687,2701,2150,235197,0,3133884,572,0.21,0,956.67,1208,5504
