金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,257196,125458,2339,3117,165425,44009,930779,498,0.07,0.01,1871.55,785,5416
臺灣土地銀行,325312,145283,2147,5089,333772,93058,861149,588,0.16,0.15,1369.93,2366,22104
合作金庫商業銀行,684850,397960,7590,4316,850881,1062826,3966508,1647,0.17,0.14,472.11,5066,50394
第一商業銀行,1556110,943752,13639,9355,1562746,2308577,6669709,7852,0.19,0,865.62,6329,66120
華南商業銀行,1072238,833031,6396,9792,1083668,4515351,5029755,1785,0.18,0,344.88,0,42185
彰化商業銀行,625692,290765,4637,4767,353156,785879,2083339,1095,0.2,0,581.97,1982,18677
上海商業儲蓄銀行,478169,213067,2826,2460,617340,1847525,1827795,5791,0.19,0.14,975.81,4087,31962
台北富邦商業銀行,7167873,5416399,115618,26433,8584964,33056802,53374677,110451,0.13,0,1280.56,42281,346013
國泰世華商業銀行,7188709,4599971,52053,42626,18883374,30505735,56872096,248740,0.19,0,1339.28,59248,575033
高雄銀行,9985,4492,9,95,14286,688,217705,115,0.38,0.38,210.67,0,1400
兆豐國際商業銀行,1149739,661070,6006,5204,1749118,2929658,4469582,14433,0.25,0.01,617.26,12003,92337
花旗(台灣)商業銀行,19961,12558,254,222,0,0,445967,97,0.05,0,196.22,0,285413
臺灣中小企業銀行,172401,96943,380,1178,274497,210985,923087,1564,0.04,0.03,300.57,1635,12173
渣打國際商業銀行,289327,188513,3206,3737,901546,558816,1794797,3934,0.2,0,878.76,3717,38030
台中商業銀行,164602,81269,1722,1019,211465,51937,648958,227,0.13,0,1600.67,1795,14921
滙豐(台灣)商業銀行,706623,467810,8208,4833,1841916,1479291,7496633,22088,0.26,0,1253.23,5978,69550
華泰商業銀行,8958,4889,18,24,7295,2282,43788,0,0.21,0,784.75,0,392
臺灣新光商業銀行,1072721,606358,7597,7413,1625500,2523478,4596306,5237,0.18,0.02,297.92,7098,69457
陽信商業銀行,116675,57711,723,1175,173510,121925,430615,121,0.39,0.02,619.74,0,7588
三信商業銀行,20124,13038,228,131,28616,17162,137002,33,0.24,0,3532.18,173,1454
聯邦商業銀行,2842482,1749789,50263,17903,6213702,6080012,16330023,44470,0.14,0,240.61,16967,157975
遠東國際商業銀行,1355053,977431,8650,13009,3484991,4774879,4554394,98863,0.33,0.08,102.44,11848,118107
元大商業銀行,1203661,561369,5172,10906,1148586,3662076,4916380,18717,0.08,0,839.29,6018,54692
永豐商業銀行,2204769,1257760,14100,11054,3771708,5125196,11687531,69375,0.15,0,617.01,16585,156559
玉山商業銀行,7202986,4800532,88857,80541,13095873,28048840,43296698,268651,0.22,0.01,378.29,47282,508333
凱基商業銀行,378701,180043,1097,1729,1188017,979087,1230284,7487,1.11,0.79,149.47,7758,74549
星展(台灣)商業銀行,3327649,2277962,11584,44577,8517539,13574826,21868949,124559,0.86,0.02,358.64,50679,293981
台新國際商業銀行,6500524,4538190,58890,53354,10343177,25025633,40810812,127096,0.17,0.01,868.3,27817,264071
安泰商業銀行,126222,56011,568,286,159695,1259264,392291,350,0.18,0.03,494.49,4713,8996
中國信託商業銀行,9043746,5755575,90561,53164,16292482,36510312,61886475,547578,0.13,0,357.51,90531,831013
台灣樂天信用卡股份有限公司,499715,200259,3601,2522,625286,688995,947998,6293,2.23,1.13,164.59,845,8820
台灣美國運通國際(股)公司,188767,124343,2988,2458,290773,0,5932708,954,0.12,0,782.5,9452,55429
