金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,231324,115335,2617,3407,222990,54754,879008,858,0.19,0.05,773,1225,8239
臺灣土地銀行,326675,164477,4303,2054,392591,116308,986577,859,0.2,0.15,1197.36,1703,15087
合作金庫商業銀行,529531,337062,5406,3626,760184,1025336,3402652,2537,0.13,0.1,485.19,4334,33551
第一商業銀行,1180988,739161,11954,9775,1499597,1470021,4898833,10546,0.1,0,1774.65,5994,40593
華南商業銀行,1049490,800274,13705,10526,1077435,3565775,4778974,1803,0.13,0,372.73,0,35409
彰化商業銀行,505033,221184,5965,2976,356420,603470,1637415,716,0.15,0,688.02,2053,12105
上海商業儲蓄銀行,409373,218907,8826,2534,673134,372944,1534902,6938,0.61,0.24,939.38,0,13116
台北富邦商業銀行,2788828,1959466,59398,17300,5185194,18084957,25767552,94934,0.09,0,1449.15,18002,135693
國泰世華商業銀行,6564037,4768252,61424,29886,18127901,18786489,46506866,272524,0.14,0,2407.36,43161,268741
高雄銀行,11134,4221,66,77,10051,0,166556,93,0.24,0.24,361.33,1,351
兆豐國際商業銀行,839763,550123,12771,4189,1278902,2964062,3795125,4007,0.12,0.06,687.43,3529,23898
花旗(台灣)商業銀行,2887625,2325486,21593,24485,14078319,11075218,19294554,191028,0.46,0.11,540.14,97821,420259
臺灣中小企業銀行,319768,122748,604,2217,405844,89714,965424,2841,0.16,0.04,358.06,2030,13093
渣打國際商業銀行,364529,260023,4016,2349,1448287,645944,3388946,7008,0.25,0,992.82,6517,45866
台中商業銀行,135078,82126,1523,695,258823,46702,620396,473,0.57,0.04,827.77,3453,13297
滙豐(台灣)商業銀行,624388,447183,9021,7983,2216873,1740943,6415653,37318,0.17,0,3119.24,5164,47146
華泰商業銀行,10029,5485,14,73,13257,1788,50795,0,0.32,0.03,372.06,0,85
臺灣新光商業銀行,814250,490032,8084,6839,1789474,1660264,4606051,10107,0.22,0.02,267.28,6928,40714
陽信商業銀行,106935,57330,1462,1149,215365,84745,395006,343,0.44,0,546.31,0,6188
三信商業銀行,15097,10450,155,58,25790,17260,132105,34,0.82,0,2953.19,28,446
聯邦商業銀行,2108596,1188716,51845,13749,5806175,3626080,7510198,73032,0.24,0,156.54,16813,119488
遠東國際商業銀行,1532422,1010287,11373,6175,4192204,5583569,4541411,174870,0.31,0.1,100.49,15552,96934
元大商業銀行,1171330,731080,6068,9219,1558539,3275626,6821650,23044,0.08,0,1031.28,6152,56659
永豐商業銀行,1954321,1084985,36755,10908,4402462,5160516,9235285,102527,0.25,0,683.82,12306,65668
玉山商業銀行,5248175,3693069,127293,33261,12831613,20404065,36766974,310755,0.2,0.03,592.4,43669,299893
凱基商業銀行,424783,201634,5048,4007,1073969,825555,1067183,8414,0.66,0.39,186.42,4858,32825
星展(台灣)商業銀行,574707,320837,9067,4275,1534483,1945810,3584695,26361,0.55,0,281.99,12693,74168
台新國際商業銀行,5088676,3587137,83504,26439,10809115,21204658,31809704,259086,0.14,0,1063.85,24260,166839
日盛國際商業銀行,151276,99910,351,834,322281,186283,392437,2968,0.23,0,991.05,833,6201
安泰商業銀行,124122,62667,520,569,257029,1264495,424800,530,0.31,0.09,259.63,0,6738
中國信託商業銀行,6813450,4564963,68861,80198,17791086,26008711,41145483,670230,0.11,0,513.3,60148,433454
台灣樂天信用卡股份有限公司,537992,310502,9100,1487,455634,715775,1874766,3465,0.33,0.07,436.86,635,6196
台灣美國運通國際(股)公司,180149,118630,3506,2924,351641,0,4631526,2088,0.13,0,582.5,6495,27302
