金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,247173,121669,1595,814,160827,39935,738140,395,0.11,0.05,1112.27,342,1786
臺灣土地銀行,347339,144645,1450,3132,334711,67560,734918,400,0.19,0.17,1031.55,2381,7761
合作金庫商業銀行,667704,394775,6164,4143,808778,502592,3347315,1192,0.21,0.17,461.25,5073,18535
第一商業銀行,1521755,929005,13764,9966,1550747,2094692,5276040,5384,0.17,0,1028.11,5873,23815
華南商業銀行,1046052,807163,9562,8652,1019430,3840740,4089726,1189,0.11,0,488,0,10549
彰化商業銀行,599573,289687,7561,3821,324543,460504,1616577,633,0.18,0,737.31,1541,5405
上海商業儲蓄銀行,464937,200198,3274,1943,591889,1425919,1367746,4294,0.18,0.14,1352.25,2706,8939
台北富邦商業銀行,5908703,3884748,260215,18951,6822826,25734678,30014746,68257,0.11,0,1414.57,25505,102061
國泰世華商業銀行,10288846,6503877,62183,93117,19312763,20864840,49984137,168145,0.16,0,1417.08,48599,174670
高雄銀行,15145,4635,10,62,14043,690,141975,54,0.32,0.31,271.23,127,946
兆豐國際商業銀行,1128197,659015,10049,4451,1811622,3197237,3856521,10810,0.21,0.01,717.08,8000,30501
花旗(台灣)商業銀行,2773177,2090343,10701,23095,10116484,11137236,19409205,102233,0.45,0.09,529.48,38261,174208
臺灣中小企業銀行,176099,96295,322,800,273738,76357,796421,1059,0.15,0.05,269.04,0,2449
渣打國際商業銀行,295785,191682,697,3708,908585,325324,1426075,3312,0.21,0,960.38,2884,14199
台中商業銀行,166133,80839,1171,703,195780,47016,526489,172,0.09,0,2353.2,1578,5326
滙豐(台灣)商業銀行,680591,457985,8333,5440,1770500,1314080,5832226,12373,0.25,0,1533.4,4941,19954
華泰商業銀行,8981,4921,13,55,8355,2227,41136,0,0.41,0,592.62,0,161
臺灣新光商業銀行,1057304,621445,9865,9709,1565250,2073609,3629076,4665,0.16,0,282.79,5717,22203
陽信商業銀行,115958,56263,1196,1201,162841,91327,345506,153,0.41,0.02,724.64,0,2489
三信商業銀行,19465,12653,305,89,23669,16229,139713,30,0.11,0,4660.05,247,482
聯邦商業銀行,2566875,1515979,39356,15883,5539380,4532909,11949762,34971,0.13,0,174.6,13889,51443
遠東國際商業銀行,1433355,1013139,10275,9820,3809327,4263079,3798274,82803,0.3,0.07,104.83,10639,38667
元大商業銀行,1198659,556799,5562,7976,1154282,3076590,3946315,14190,0.08,0,804.73,5662,18965
永豐商業銀行,2287091,1239205,9740,14915,3778206,5174393,9519351,57823,0.12,0,736.42,14559,53424
玉山商業銀行,7007847,4719597,58771,41529,12672282,19463304,37423703,193672,0.22,0,489.3,48755,169758
凱基商業銀行,381292,189490,1480,1921,1159002,925186,1014633,4482,0.74,0.43,163.47,8006,25622
星展(台灣)商業銀行,666421,341644,5942,4268,1294935,2138966,3529133,17033,0.44,0,516.25,12077,38309
台新國際商業銀行,6385442,4360140,51140,24312,9972729,19403026,30282705,73094,0.14,0.01,972.92,20838,89495
安泰商業銀行,123820,53965,682,351,166701,1158900,334578,322,0.36,0.18,269.49,0,0
中國信託商業銀行,8681234,5498319,97345,39310,15494155,25042784,47839220,428280,0.13,0,395.29,75334,292467
台灣樂天信用卡股份有限公司,618462,275373,2518,9827,580346,656996,688771,3758,1.75,0.85,192.59,823,3304
台灣美國運通國際(股)公司,181519,115890,4095,2937,288363,0,5359356,1089,0.08,0,984.2,14510,35084
