金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,231086,109903,2025,912,229912,8893,626671,1329,0.265127187269057,0.14973880375871,555.369077823739,1470,8985
臺灣土地銀行,229206,125752,3176,787,281954,51116,797044,655,0.440236247390587,0.251303797560426,1009.39144288619,1206,14438
合作金庫商業銀行,436746,266407,6108,4162,633630,213283,2390839,3521,0.493655870071265,0.433224940165183,270.296632849533,0,34336
第一商業銀行,946707,633912,8706,9499,1433519,1094513,4184047,16932,0.180397278642423,0,1801.28041421926,5981,56764
華南商業銀行,886715,641284,36195,9378,753280,1837893,3887109,1185,0.108295189888649,0,617.012397967342,0,36400
彰化商業銀行,429522,208979,2634,2983,365984,155578,1309604,660,0.402006072821086,0.00596499237742801,589.489246029854,2075,22399
上海商業儲蓄銀行,355524,177109,1516,1750,710737,177821,972286,6652,0.696150939161781,0.228309886433095,909.092924031695,5493,26663
台北富邦商業銀行,2378819,1719001,25367,27957,6245009,8767266,16395327,52190,0.150932662163782,0.000278105314949198,754.326587973955,24852,237015
國泰世華商業銀行,5895716,4076257,113671,37441,14785463,10672774,31917166,234466,0.135874860356293,0,2420.09617997708,27376,301848
高雄銀行,10078,4591,127,44,8911,105,165212,126,0.202289945100916,0.111746570239883,358.580193969783,1,916
兆豐國際商業銀行,605173,411817,7154,7138,1167392,798179,2535481,5665,0.181556785178335,0.0753920281265984,559.582242911757,2312,35634
花旗(台灣)商業銀行,2894719,2452066,16731,29514,16247443,9875595,19790574,180282,0.664379750146511,0.176066519554464,483.953276932719,0,594087
澳盛(台灣)商業銀行,551596,335926,4701,4258,3021523,1566481,2975740,23676,0.409982532011771,0,391.647682982555,14212,136616
臺灣中小企業銀行,330676,125780,640,1585,455867,83972,952511,3487,0.13735974886222,0.014870000150202,143.123845898576,1351,21795
渣打國際商業銀行,352901,213131,1315,4058,1873945,586442,1365805,9637,0.343577395214287,0,569.884374920243,11758,114721
台中商業銀行,200952,78351,3463,1304,268403,43534,503943,0,2.53287259725618,1.08307782611211,207.91169588114,0,16482
匯豐(台灣)商業銀行,599462,411187,5366,9807,2668181,1569961,4246224,49071,0.257192682966335,0,2579.13567977708,7829,75364
華泰商業銀行,10160,6236,13,27,20068,2383,53306,0,0.404203718674212,0,242.016773827349,0,1758
臺灣新光商業銀行,905309,482986,8485,10087,2045949,1348059,3886208,12348,0.242966029632545,0.0286024443354909,235.209980260733,5417,57076
陽信商業銀行,87929,50504,1250,738,246548,56831,267831,189,0.366733556298774,0,891.745060117293,167,10883
三信商業銀行,17112,11110,111,84,31259,14970,110513,50,0.668942575756473,0,4491.53217243576,412,2173
聯邦商業銀行,2009285,1041579,38169,24251,4774714,2655760,7079196,100061,0.27552832647448,0,122.371611729562,13404,139951
遠東國際商業銀行,1785507,1029836,294792,21379,4714433,5856978,4405354,197645,0.410451865540303,0.122171715505104,100.436218726397,15884,158065
元大商業銀行,556219,350340,10583,3815,466036,493617,4204941,943,0.128894890344101,0,1157.48584421954,1496,17173
永豐商業銀行,1950428,1330711,14115,16501,4907295,3824726,6777457,121841,0.333648459768392,0,602.05682202315,15075,151257
玉山商業銀行,4240623,2955269,44049,24031,11401103,9756461,24974353,188039,0.251945663163634,0,1093.75520164127,37827,380964
凱基商業銀行,508957,198293,12296,10586,1096224,357441,1080420,11767,1.04386440775236,0.714147503624637,150.017529876947,9466,71252
星展(台灣)商業銀行,12760,5860,14,77,21460,117,50808,8,1.85696897924274,0,610.340873553633,574,2190
台新國際商業銀行,3653400,2558405,42047,13528,10192730,12652889,18133967,167974,0.225410054435195,0.00402016505189637,613.825964765949,23795,228138
大眾商業銀行,600274,324751,8732,6284,928931,3553600,1936629,74209,0.0238229630618373,0.0230448260774055,487.841433456288,13508,102607
日盛國際商業銀行,177028,100550,439,2115,442066,205279,385092,5575,0.301323812221411,0,223.128727288301,1926,14121
安泰商業銀行,181786,69805,761,444,378983,1277805,441425,1176,0.605503880213244,0.161312236004567,307.426795861367,0,10462
中國信託商業銀行,5944803,3832198,55229,39027,14778208,13682750,26158855,651654,0.156510525650323,0.000420516387114771,618.409185579849,70021,614942
台灣樂天信用卡股份有限公司,181475,136601,11237,446,124965,194492,687224,1692,0.205147821967031,0.0300003203917712,237.254557364477,0,1510
台灣美國運通國際(股)公司,168882,113168,3045,2725,342415,0,3848877,1387,0.318878950987705,0,261.09149033864,1686,22331
台灣永旺信用卡(股)公司,82388,36295,97,4392,269420,44757,140318,2557,0.914845490440368,0.128386039347662,2144.83940164103,1594,19487
