金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,261228,126731,2022,1071,163594,42264,930646,475,0.15,0.07,859.38,1284,3096
臺灣土地銀行,315515,146833,1516,3934,320013,76129,848909,476,0.38,0.35,677.49,3584,8882
合作金庫商業銀行,691501,397022,6000,6710,934992,508981,3799056,1879,0.23,0.19,424.03,6340,22282
第一商業銀行,1510972,963162,15669,42819,1278092,2041496,6774206,5954,0.23,0,771.8,6532,28534
華南商業銀行,1078859,838989,14836,7923,1072455,4193543,5204114,1638,0.14,0,329.77,0,16523
彰化商業銀行,644302,299581,14494,6646,342428,528439,2000673,1191,0.18,0,678.03,2067,7444
上海商業儲蓄銀行,477259,214303,2486,4427,628875,1842852,1597110,4879,0.28,0.19,617.63,6813,17689
台北富邦商業銀行,7393732,5625697,80656,33788,9289494,31773862,47625274,112810,0.19,0,1118.87,59789,215755
國泰世華商業銀行,7266658,4712850,56940,45787,18736000,21033727,59773233,219380,0.28,0,1094.55,84456,313930
高雄銀行,9786,4316,13,49,13504,449,143672,64,0.82,0.82,181.1,23,57
兆豐國際商業銀行,1159224,652763,7140,4695,1652455,2781494,4221577,13666,0.24,0.02,642.86,10014,38830
花旗(台灣)商業銀行,20469,12929,251,204,0,0,461910,0,0.11,0,158.89,0,0
臺灣中小企業銀行,168683,95323,719,834,261733,109512,877894,1170,0.06,0.02,301,1875,5567
渣打國際商業銀行,282023,184533,2648,3979,879486,642543,1765812,3378,0.26,0,760.11,3981,15875
台中商業銀行,169348,82388,1478,682,208919,46090,632547,238,0.15,0,1280.17,2096,6768
滙豐(台灣)商業銀行,727331,483641,8070,6121,1840347,1361891,7686703,16378,0.26,0,1223.75,8733,36433
華泰商業銀行,9031,4823,23,14,7861,2294,45991,0,0.39,0.2,433.68,0,0
臺灣新光商業銀行,1079612,605182,5729,4804,1622801,1964968,4618122,6419,0.25,0.02,369.48,7608,30543
陽信商業銀行,119031,57983,1651,1383,171155,121551,426987,148,0.43,0,574.49,0,2954
三信商業銀行,20586,13465,340,96,30069,17978,130609,26,0.27,0,3712.21,399,855
聯邦商業銀行,2892579,1866257,37551,23811,6339974,5169114,15673828,35000,0.22,0,250.07,19898,71419
遠東國際商業銀行,1351834,961162,6275,6679,3366177,4503009,4249245,91695,0.28,0.02,102.58,12379,50120
元大商業銀行,1203085,556817,5572,9730,1128906,3340531,4586130,17928,0.08,0,973.6,8301,26605
永豐商業銀行,2242177,1261206,18145,6997,3940474,4638928,11287146,67950,0.17,0,596.36,17129,65100
玉山商業銀行,7241304,4799838,68771,80498,18180789,18763634,43646854,245809,0.3,0.07,266.63,45382,185502
凱基商業銀行,371968,176066,2003,1605,1191519,970932,1186209,7298,1.38,0.96,159.61,8878,36187
星展(台灣)商業銀行,3688109,2079957,70650,151747,8342161,13274956,22324040,132308,0.69,0.02,392.38,79908,369316
台新國際商業銀行,6508790,4652145,60711,57632,10208851,20629366,40311405,120700,0.27,0.02,568.97,39818,139106
安泰商業銀行,127796,56230,596,264,151953,1263573,415302,330,0.48,0.25,259.48,0,0
中國信託商業銀行,9238786,5860230,87935,55840,16218634,20886114,59554453,554115,0.18,0,332,139889,515031
台灣樂天信用卡股份有限公司,503050,197962,2029,5038,656954,653686,720626,5905,2.39,1.09,188.59,816,2935
台灣美國運通國際(股)公司,190894,125962,3480,2535,282394,0,6135015,850,0.22,0,506.91,2958,10402
