金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月,逾期六個月,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,228231,108199,956,828,228558,9059,589529,1267,0.255238856763952,0.0920273814979864,657.432078938083,637,6477
臺灣土地銀行,221246,115874,9589,866,259215,54510,763036,855,0.419294380942339,0.198153166888473,1211.80500960086,1101,9176
合作金庫商業銀行,430729,260044,5437,3117,615898,417836,2349611,3386,0.208339459326524,0.181708096201706,344.098512511794,4856,28179
第一商業銀行,933652,617942,9276,8693,1397575,1098613,3889009,16323,0.1831144014159,0,1832.45844942863,5464,39349
華南商業銀行,851865,618880,14191,8331,726607,2099547,3467870,1171,0.106851830562004,0,610.8290629793,213,24878
彰化商業銀行,436111,209581,3603,2840,283989,194427,1148545,640,0.391287713722933,0.00695058496727483,677.622082449622,0,12256
上海商業儲蓄銀行,357121,178822,1039,1774,717488,188098,1017584,6488,0.791166346595577,0.35177810507969,1834.2330223627,0,14866
台北富邦商業銀行,2303207,1680246,27509,46879,6345577,7381457,15977028,49985,0.163943296359674,0.000282157208037829,733.285245779351,22320,164481
國泰世華商業銀行,5471673,3735720,141186,25658,14377112,11780284,26164034,171754,0.131116743006588,0,2406.6535864707,27002,214561
高雄銀行,9797,4474,171,52,7445,125,164470,189,0.174203847632809,0.0576795348349433,364.618178342732,2,863
兆豐國際商業銀行,614076,407113,6880,5541,1154185,823476,2356185,5525,0.192404599386138,0.0832920343662934,522.117812473863,4010,27019
花旗(台灣)商業銀行,2898698,2453663,15023,26322,15772554,9790141,19575469,224065,0.470195357525373,0.0936651669451587,637.626760936625,111668,478404
澳盛(台灣)商業銀行,559107,344457,4600,3923,3066488,1582284,2932972,21037,0.377576221178013,0,407.879441477194,17738,95465
臺灣中小企業銀行,333230,127412,649,1213,458945,92329,831406,4364,0.0560081545390653,0.0129547947479555,161.373590512547,1707,15676
渣打國際商業銀行,363716,218293,1938,4371,1906666,665024,1275002,8460,0.428199285440487,0,540.401649542914,13174,82495
台中商業銀行,198485,78691,1727,1189,258578,42200,459736,0,1.48381697001145,0.100846199285575,408.059088006811,6461,16482
匯豐(台灣)商業銀行,613290,422864,5435,10547,2728689,1651312,3865041,53411,0.269537540257649,0,2526.52995082818,7303,52292
華泰商業銀行,10210,6316,10,29,17858,1835,50074,0,1.92205402452524,1.90911574014175,190.18576001552,0,288
臺灣新光商業銀行,909283,475761,7474,8770,2055573,1521557,3190407,14257,0.258933372923574,0.0375975322083106,239.639860683621,5561,38211
陽信商業銀行,85428,47909,1875,844,240869,60442,252949,227,0.320383437235716,0,958.519529690538,0,7170
三信商業銀行,17092,11169,139,63,31124,13059,114110,54,0.145419292292778,0,8023.09457779478,151,1289
聯邦商業銀行,1818151,841155,17772,28711,4606572,2934621,5904827,82916,0.307513035356954,0,119.836894481516,14916,94775
遠東國際商業銀行,1477146,1023736,10109,6607,4858686,5963085,4207199,190924,0.364836509026938,0.106892927095414,100.514775418375,15990,109741
元大商業銀行,523401,319536,12155,2942,458747,483046,3548100,751,0.135427102375208,0,1167.34001999156,2504,11731
永豐商業銀行,2325326,1333119,53893,22819,4908014,4315816,6975492,111327,0.339346606434245,0,600.920569276323,15428,104861
玉山商業銀行,4185866,2907198,40121,26067,11010842,12073468,23687183,163712,0.243358934095947,0,1139.19678346143,38084,267016
凱基商業銀行,509432,198068,3875,6499,1108966,425240,938910,9140,1.36560774913193,0.89468963593045,128.981750784525,9880,43975
星展(台灣)商業銀行,12856,6000,47,56,22600,205,53840,15,1.9519935909287,0.513033832501387,435.413292072625,0,571
台新國際商業銀行,3610218,2516954,31512,26462,10178718,13354719,15703652,122597,0.227431394871569,0.003632676267016,602.092431194598,20261,160212
大眾商業銀行,610040,323940,8419,6177,924135,3714245,1817739,76116,0.0150597630166307,0.0145161423028596,457.219974301117,9123,61542
日盛國際商業銀行,183939,100294,388,1404,448787,223382,376948,5373,0.302440029277799,0,212.496397770483,1809,9442
安泰商業銀行,182258,70389,764,476,392410,1252896,419332,1332,0.305685328431748,0.00939470526665135,280.822800807615,0,10462
中國信託商業銀行,5915155,3838292,41319,31143,14441487,15799128,24732784,680845,0.147909129212954,0.000456368803495694,616.005986844972,59215,424092
台灣樂天信用卡(股)公司,147986,110947,10056,689,101525,146742,589879,1136,0.154621662286875,0.0785820107287557,238.331678252234,195,750
台灣美國運通國際(股)公司,166231,112856,3798,3444,340145,0,3838329,1822,0.144563022495746,0,408.195929553419,1843,14860
台灣永旺信用卡(股)公司,87511,37174,192,525,268993,50742,149507,3206,0.728481948320547,0.201291064667519,2302.92567130129,1709,14935
