金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,259117,127339,1117,829,163747,42133,822889,239,0.1,0.04,1243.12,457,1513
臺灣土地銀行,319164,146703,1220,3569,330585,79993,770960,278,0.24,0.19,1003.56,1898,3492
合作金庫商業銀行,687309,397510,4318,4635,979624,717099,3622671,1399,0.18,0.16,468.4,4860,10573
第一商業銀行,1574030,951249,16126,10888,1385850,2171872,5887991,4947,0.19,0,779.86,7389,14660
華南商業銀行,1070687,827852,8297,6762,1052864,4281828,4488534,1143,0.17,0,323.89,0,0
彰化商業銀行,623628,285607,8760,8352,348053,653102,1817155,759,0.19,0,663.53,1999,3978
上海商業儲蓄銀行,479575,213231,1910,2432,643623,1855204,1535427,4075,0.3,0.2,618.81,-45,4134
台北富邦商業銀行,7311101,5580767,57859,19551,9310986,32833348,42580200,68891,0.13,0,1421.33,51009,105472
國泰世華商業銀行,7222583,4663895,39698,27137,17347200,24748545,50000910,150241,0.22,0,1295.88,77200,151761
高雄銀行,9856,4390,19,60,14744,527,139391,43,0.87,0.72,180.16,34,34
兆豐國際商業銀行,1155406,655549,5433,4744,1703891,2894339,4013203,12800,0.24,0.01,637.7,8059,19015
花旗(台灣)商業銀行,20418,12683,244,172,0,0,295569,0,0.09,0,264.75,0,0
臺灣中小企業銀行,169229,95343,370,1087,279756,146843,851714,918,0.34,0.06,232.14,0,0
渣打國際商業銀行,284612,185856,3119,4162,899476,611473,1608132,2924,0.19,0,854.65,4779,8311
台中商業銀行,167145,82017,1481,619,210726,45793,561788,239,0.17,0,1250.67,1313,3230
滙豐(台灣)商業銀行,722157,475203,10125,6391,1853924,1408414,6885212,11341,0.3,0,1099.19,7492,17546
華泰商業銀行,9024,4855,15,12,7978,2473,44158,0,0.39,0,765.06,0,0
臺灣新光商業銀行,1076313,600903,7853,5086,1660570,2224945,3925840,3249,0.2,0.02,338.71,7637,15166
陽信商業銀行,117858,57119,1191,1006,174135,122825,392593,124,0.55,0.02,330.86,0,0
三信商業銀行,20100,13216,318,81,29956,16763,133485,16,0.17,0,4407.05,199,266
聯邦商業銀行,2930343,1824889,44252,15550,6116619,5769455,15251488,26898,0.12,0,267.02,16854,33644
遠東國際商業銀行,1353010,968101,5557,6196,3510004,4490910,4306401,67969,0.28,0.03,103.51,11113,23654
元大商業銀行,1205676,559391,4452,6707,1112351,3491424,4152557,11394,0.08,0,932.48,5501,11204
永豐商業銀行,2222178,1261613,11839,6653,3781390,4943560,10210409,47894,0.13,0,641.33,15460,31472
玉山商業銀行,7231571,4814216,61083,56691,13145624,22005993,40695584,179862,0.22,0.03,318.63,46857,94022
凱基商業銀行,370790,176740,1550,1580,1191424,972518,1058196,4370,1.18,0.79,166.45,8346,17997
星展(台灣)商業銀行,3766185,2126704,178847,266862,8504503,13182627,19113946,83047,0.88,0.01,350.8,108216,181554
台新國際商業銀行,6504420,4602442,47873,43855,10490463,22391090,36870328,80080,0.19,0.01,780.05,34509,67256
安泰商業銀行,127086,56141,436,218,157664,1282471,392141,143,0.3,0.13,224.35,0,0
中國信託商業銀行,9163099,5809849,72034,36580,16396791,27487122,53370095,384207,0.2,0,328.69,129109,231165
台灣樂天信用卡股份有限公司,503892,202541,1964,2448,654636,678844,804766,3678,2.29,1.07,177.9,706,1561
台灣美國運通國際(股)公司,188936,124654,2422,2171,286230,0,5231278,1081,0.19,0,608.96,2787,3795
