金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,225274,110269,2270,1963,187405,29674,775205,687,0.16,0.05,838.67,643,3320
臺灣土地銀行,337006,151383,2651,1730,375208,96580,853537,613,0.39,0.27,934.72,2441,11944
合作金庫商業銀行,566177,350082,9873,3686,718518,372217,2836930,1577,0.33,0.28,362.61,4759,32225
第一商業銀行,1253237,750833,15614,11177,1355300,1417079,3849563,8064,0.09,0,1771.71,5742,35416
華南商業銀行,1019584,767174,9132,9000,998225,2912795,3541239,1023,0.06,0,524.45,12794,28004
彰化商業銀行,536777,225525,6477,3581,328685,270814,1327518,811,0.25,0,640.69,4598,11811
上海商業儲蓄銀行,438199,232924,2444,2135,641382,577652,1042543,5086,0.21,0.12,1763.39,2520,21154
台北富邦商業銀行,3589464,2301949,55164,22548,5126269,19301955,21203655,74497,0.1,0,1345.39,21725,136513
國泰世華商業銀行,6938255,5005960,58507,26149,16874319,14153186,40044079,167959,0.17,0,1298,45929,270025
高雄銀行,14005,6939,889,73,10337,0,139621,167,0.15,0.15,487.72,41,430
兆豐國際商業銀行,953130,616326,12599,3499,1398804,2552161,3376459,3017,0.27,0.14,472.47,4526,31215
花旗(台灣)商業銀行,2871329,2202207,12098,16977,10869349,10203381,13671728,59026,0.75,0.27,388.3,0,277539
臺灣中小企業銀行,203833,110946,1366,684,338296,49883,772798,1677,0.14,0.02,154.58,1853,10261
渣打國際商業銀行,380295,268320,4684,2051,1248495,439189,2972223,5189,0.18,0,1129.08,4445,32989
台中商業銀行,145705,78918,1762,578,248490,48402,449571,217,0.37,0.01,1313.43,1045,8765
滙豐(台灣)商業銀行,620443,421939,8089,45619,2022664,1592671,4327673,23222,0.21,0,2244.66,8271,37469
華泰商業銀行,9573,5009,1,30,11222,2201,42173,0,0.64,0.32,412.53,0,518
臺灣新光商業銀行,865113,514694,9696,5082,1617323,1598390,4411863,5040,0.21,0.01,226.67,7632,41907
陽信商業銀行,109779,55107,928,840,197313,73383,290814,153,0.4,0.03,508.29,2843,5904
三信商業銀行,15231,10274,92,45,20781,13814,87730,70,0.93,0,4203.32,91,842
聯邦商業銀行,2192562,1307595,28929,85283,5494402,3499572,8306402,40652,0.2,0,156.81,17416,105403
遠東國際商業銀行,1612714,1018110,10462,5667,4004688,4850131,3966304,109657,0.34,0.11,100.78,13989,83867
元大商業銀行,1169284,634620,3683,6315,1375237,2779322,3915573,12795,0.08,0,856.16,5913,36979
永豐商業銀行,2051642,1055646,19882,8253,4115396,4432255,8282860,73570,0.24,0,676.82,14371,86931
玉山商業銀行,6133023,4362052,63256,21727,12232317,15985537,40257834,235516,0.19,0.04,588.08,45911,268108
凱基商業銀行,360392,178196,3294,5992,1087829,708964,877281,5055,0.62,0.31,188.78,7414,40158
星展(台灣)商業銀行,608372,328530,4736,4910,1408301,1861425,2521248,17797,0.71,0,259.05,12524,72851
台新國際商業銀行,5505133,3949393,51832,29637,10123348,18989160,26027237,179009,0.19,0,923,31837,183853
日盛國際商業銀行,147477,100304,319,577,269776,111599,259614,994,0.36,0,840.45,568,3656
安泰商業銀行,124119,57761,404,447,227576,1100103,333772,403,0.43,0.06,222.49,0,7031
中國信託商業銀行,7035815,4593571,63180,31689,16084354,16338570,32645039,513841,0.14,0,482.58,50605,349188
台灣樂天信用卡股份有限公司,588550,272238,2729,1399,431396,814193,1087637,2623,0.58,0.13,408.4,695,5401
台灣美國運通國際(股)公司,177468,107937,1651,2891,281487,0,2552321,338,0.3,0,1160.09,5375,24880
