金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,221670,113006,1895,1543,217449,24035,572919,650,0.26,0.12,564.3,352,1150
臺灣土地銀行,333617,162548,2583,1851,405085,98160,791870,610,0.29,0.2,1134.59,2830,4673
合作金庫商業銀行,546546,350818,4384,4444,795644,402947,2694958,1443,0.3,0.22,382.67,5252,10669
第一商業銀行,1221089,741911,12189,10428,1474300,1521107,3923991,8176,0.1,0,1705.42,5956,11893
華南商業銀行,1025555,784440,8410,9761,1030814,3141494,3610935,1037,0.19,0,382.46,0,0
彰化商業銀行,523071,245666,6647,4979,300835,324238,1281758,651,0.14,0,846.1,1385,3303
上海商業儲蓄銀行,435130,239068,3420,2473,693408,580353,1456923,4627,0.48,0.36,864.18,4715,4715
台北富邦商業銀行,3464782,2175622,76924,16327,5471431,19360294,18196547,68333,0.11,0,1212.28,22658,44338
國泰世華商業銀行,6798879,4993091,64565,27586,18818752,15980660,33152193,160382,0.17,0,1302.96,46381,90841
高雄銀行,11589,4632,412,43,9857,0,121518,26,0.23,0.23,317.4,1,1
兆豐國際商業銀行,901732,591691,11726,4685,1442313,2678935,2800095,3236,0.24,0.07,550.93,5507,9714
花旗(台灣)商業銀行,2892670,2292279,16020,14714,12175943,12063678,14271305,141867,0.64,0.21,401.69,0,91982
臺灣中小企業銀行,202116,115737,285,847,405563,19674,753778,1645,0.23,0.05,333.78,1280,3520
渣打國際商業銀行,372195,266450,4812,2353,1382440,484133,2599145,4667,0.23,0,1005.44,5853,12416
台中商業銀行,140942,81696,1443,668,227388,52435,504725,312,0.4,0.01,1153.05,1415,2689
滙豐(台灣)商業銀行,622675,444449,9462,9103,2173902,1618662,4848204,19689,0.21,0,1848.05,7673,11894
華泰商業銀行,9742,5198,7,25,11444,2401,33280,0,0.98,0.45,357.19,0,242
臺灣新光商業銀行,840335,500397,13110,7254,1777211,1689777,3123478,5172,0.23,0.02,225.11,6243,13427
陽信商業銀行,108557,55938,1412,854,214531,73690,313331,136,0.8,0.03,288.91,0,0
三信商業銀行,15119,10379,186,65,23829,15064,103026,16,0.62,0,4192.92,0,85
聯邦商業銀行,2191207,1292659,30764,15411,5948506,3588202,6693412,55434,0.24,0,146.93,17802,34757
遠東國際商業銀行,1594668,1045414,11103,6366,4542339,5558148,3507140,113180,0.31,0.08,100.64,14897,30130
元大商業銀行,1169189,674273,4194,8179,1469298,3277216,4367507,15228,0.08,0,984.49,6429,11431
永豐商業銀行,2022117,1029680,36389,32687,4404887,4994035,7896036,69632,0.25,0,632.72,16051,29466
玉山商業銀行,5947662,4277618,86840,27785,13066300,16662805,33815785,214075,0.2,0.04,563.58,44881,89278
凱基商業銀行,429373,194302,37282,6036,1131888,759434,831870,5382,0.85,0.47,181.15,4979,10680
星展(台灣)商業銀行,602323,324227,5313,4898,1561828,2027865,2842906,19411,0.6,0,283.53,11380,21730
台新國際商業銀行,5418984,3795970,60230,26274,10913747,20577705,26463648,171452,0.19,0.01,885.61,27080,56339
日盛國際商業銀行,148716,97850,228,661,296979,140072,310295,1872,0.3,0,895,623,1447
安泰商業銀行,124346,60393,414,543,243735,1215926,317762,369,0.47,0.16,149.03,0,0
中國信託商業銀行,6921395,4643745,65013,49696,17401582,20582188,32613331,463185,0.14,0,472.18,59300,120945
台灣樂天信用卡股份有限公司,584487,314189,6823,1497,467950,840424,998585,2491,0.35,0.07,584.45,1238,1977
台灣美國運通國際(股)公司,182181,119456,2566,2717,345830,0,2589659,705,0.37,0,434.32,2724,6677
