金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,241587,118024,2218,944,163759,84114,757734,499,0.1,0.05,1157.98,523,4405
臺灣土地銀行,358599,149821,1547,4038,350856,82477,781191,635,0.12,0.11,1417.11,1635,19306
合作金庫商業銀行,659403,388059,7808,4216,798681,1033743,3418754,1615,0.24,0.22,371.28,3345,46536
第一商業銀行,1490463,901984,13345,11852,1556559,2354784,5521059,7557,0.1,0,1092.46,5819,56544
華南商業銀行,1052317,802758,8965,7592,1003379,4285637,4146357,1017,0.09,0,523.35,0,34536
彰化商業銀行,576170,274114,5645,3351,324789,706946,1751393,937,0.17,0,594.69,899,14638
上海商業儲蓄銀行,453995,191073,2958,3483,576012,1270980,1373616,5059,0.15,0.11,1628.61,2094,24374
台北富邦商業銀行,4675902,3172048,54807,14732,6303836,26026844,27935107,80521,0.08,0,1414.18,23740,193666
國泰世華商業銀行,7935907,5613594,79973,37019,18439750,25758422,48062477,200124,0.11,0,1535.38,38719,314922
高雄銀行,15367,4789,17,36,14422,622,188861,60,0.63,0.63,180.51,2,353
兆豐國際商業銀行,1094843,639628,7772,4933,1812172,3763661,4121849,12152,0.19,0.02,723.28,8001,73013
花旗(台灣)商業銀行,2790574,2077065,16849,24767,10431163,11135361,22288438,136346,0.45,0.15,492.17,0,295635
臺灣中小企業銀行,188242,97066,280,2058,280778,132880,830715,1662,0.1,0.02,297.7,1132,9287
渣打國際商業銀行,335339,212049,759,4794,961782,422845,1774409,4384,0.2,0,884.36,2821,35950
台中商業銀行,167633,78196,1393,854,204933,49608,545942,281,0.12,0.01,2080.03,839,12906
滙豐(台灣)商業銀行,653050,436038,8534,4432,1751463,1395412,5749577,21211,0.18,0,2036.42,4508,39030
華泰商業銀行,9058,4894,37,19,7748,1877,40916,0,0.35,0,605.78,96,119
臺灣新光商業銀行,1045555,623045,9614,10973,1564077,2327308,4249506,5236,0.16,0,276.43,4849,46078
陽信商業銀行,113936,55510,850,746,167918,97575,335220,141,0.38,0.04,487.4,0,7813
三信商業銀行,18652,12056,241,52,21296,15181,113148,40,0.26,0,2940.61,98,468
聯邦商業銀行,2379499,1350481,28659,13721,5466912,4775577,9917930,42168,0.12,0,170.89,9960,114380
遠東國際商業銀行,1574547,980420,15559,14221,3647047,4655814,4569619,104327,0.28,0.07,105.42,10573,96755
元大商業銀行,1185258,545682,4157,5939,1181489,3053904,4063452,17813,0.08,0,771.67,3944,34252
永豐商業銀行,2262637,1214634,14457,7153,3904775,5285029,10289067,73275,0.12,0,827.27,10719,101738
玉山商業銀行,6851391,4626398,44887,25202,12843988,27823632,39670535,249936,0.14,0,610.53,32800,376369
凱基商業銀行,384685,189637,2419,1852,1136515,971060,1005969,6004,0.69,0.41,159.86,9604,63946
星展(台灣)商業銀行,647984,327655,4909,3609,1259878,2345566,3499719,20328,0.47,0,522.97,9062,99314
台新國際商業銀行,6270643,4179735,58406,34556,9971923,22813781,31812279,141253,0.13,0.01,1069.85,22117,188604
日盛國際商業銀行,134401,78227,79,713,218352,51289,229786,673,0.15,0,1110.35,490,4258
安泰商業銀行,123219,53398,390,497,175413,1135957,337494,203,0.28,0.15,405.01,0,3739
中國信託商業銀行,8380110,5228108,101580,47094,15536943,33461791,47876323,554739,0.11,0,412.18,64940,574546
台灣樂天信用卡股份有限公司,603114,188304,4764,4265,563214,682399,796829,5569,2.14,1.07,129.72,834,8042
台灣美國運通國際(股)公司,176177,106577,3545,2162,253393,0,4630218,925,0.2,0,605.13,4807,27203
