金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,267390,129188,1774,1137,165069,87711,932663,413,0.13,0.07,958.66,505,6927
臺灣土地銀行,307976,140506,1928,2620,318751,125869,848249,599,0.32,0.26,756.89,2747,23573
合作金庫商業銀行,683951,391114,6073,10241,950975,1374530,3943487,1982,0.26,0.22,337.41,5422,55132
第一商業銀行,1532848,945921,11756,15542,1262601,2990183,6455516,6093,0.23,0,756.11,6487,63021
華南商業銀行,1072281,846798,8385,6542,1126242,5234664,5396252,1801,0.09,0,354.55,25713,64182
彰化商業銀行,566711,315651,5335,2840,362497,2100612,2271434,1194,0.13,0,566.89,2530,17506
上海商業儲蓄銀行,390251,214034,1455,2535,651201,1553822,1559691,4820,0.29,0.21,519.96,4250,41822
台北富邦商業銀行,7261967,5698950,52934,93941,10286009,36446496,47514689,107146,0.28,0,907.61,93347,647458
國泰世華商業銀行,7410095,4859031,51222,29582,19444906,34999242,59101086,222016,0.3,0,944.5,111615,839743
高雄銀行,9609,4121,17,55,13535,459,240759,38,0.45,0.45,179.6,0,784
兆豐國際商業銀行,1161527,648430,5180,5467,1654926,2939638,4420381,14472,0.24,0.03,536.5,9811,92177
花旗(台灣)商業銀行,20771,13167,248,390,0,0,478989,0,0.09,0,144.18,0,0
臺灣中小企業銀行,168825,93922,623,494,265684,240144,915101,1182,0.06,0.02,280.34,2137,14420
渣打國際商業銀行,271251,176154,999,3873,863695,845662,1626230,3024,0.24,0,584.08,5160,43211
台中商業銀行,162240,82040,1279,699,219183,48586,627953,218,0.21,0,1166.63,1959,14850
滙豐(台灣)商業銀行,758644,494235,10792,2995,2000831,1552497,8128555,6497,0.26,0,1128.62,12007,85542
華泰商業銀行,9163,4819,62,11,7817,1938,45105,0,0.36,0.33,459.54,0,93
臺灣新光商業銀行,1075186,589363,4290,4070,1673840,1991129,4652163,7473,0.27,0.02,448.95,11022,77992
陽信商業銀行,119048,59612,674,1338,174302,167407,440553,87,0.34,0.08,583.11,3516,9525
三信商業銀行,21108,13760,212,86,33931,17624,132207,93,0.26,0,3964.74,227,2323
聯邦商業銀行,2843748,1884640,22065,23112,6715448,5592262,14967409,41309,0.27,0,264.58,31586,212110
遠東國際商業銀行,1354836,941044,8224,6433,3370606,4659607,4449328,89169,0.29,0.02,102.86,17050,126165
元大商業銀行,1208578,548957,4246,6924,1152455,3891094,4636532,17085,0.09,0,954.95,9701,71645
永豐商業銀行,2152568,1266554,15074,59904,3835479,5202503,11827950,65831,0.15,0,600.17,22433,176265
玉山商業銀行,7409972,4890091,107944,65887,18132415,29183438,46140112,252523,0.3,0.07,247.82,47424,422788
凱基商業銀行,378000,178851,3610,1982,1205251,1218014,1273313,6497,1.33,0.92,156,11500,89545
星展(台灣)商業銀行,3275459,2088123,14207,24473,8436893,14525615,22092059,124095,0.67,0.02,427.47,62412,675250
台新國際商業銀行,6589066,4801572,68752,67626,10490867,26752308,42608008,124057,0.31,0.01,532.1,67569,432438
安泰商業銀行,130921,58429,1012,251,147658,1380501,440333,466,0.43,0.14,213.56,0,6300
中國信託商業銀行,9286107,5940711,73605,148628,16689913,23398676,62705082,540173,0.13,0,336.67,89767,1016247
台灣樂天信用卡股份有限公司,501767,180373,1314,2744,694240,628572,699777,5543,2.2,0.99,186.05,854,7326
台灣美國運通國際(股)公司,194415,129587,3169,2776,277981,0,6085445,646,0.12,0,714.83,1341,28499
