金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,242083,122677,6068,1579,217521,12225,597937,955,0.31111030658484634,0.05901200152055464,615.5307287686013,3258,3945
臺灣土地銀行,235667,127861,1783,1128,298365,53937,799470,629,0.3495486939824476,0.23333791512031357,872.2117321817378,2504,4122
合作金庫商業銀行,457384,281481,4434,4832,650290,223929,2323816,2388,0.5589326438184563,0.4805993640188867,254.68702290076337,2959,2959
第一商業銀行,953795,637119,8231,9053,1421927,1158997,3856941,12343,0.19156230214494185,0,1704.2963327334344,5947,11863
華南商業銀行,929788,683984,14301,10958,740216,1911917,3772114,860,0.20854843911329335,7.812558594189456e-05,439.9426841261041,0,0
彰化商業銀行,415858,202821,3435,2851,303241,138978,1151962,280,0.15401886731124562,0.0057507044612965085,939.3270929517525,1691,3181
上海商業儲蓄銀行,357095,176317,2704,1646,691029,180610,992397,4168,0.7409618396485121,0.20839397053378556,818.5623214068504,5671,5671
台北富邦商業銀行,2305035,1697473,21345,120942,5920169,10790852,14633645,34036,0.1321752323949143,0.0002614894624361158,844.7095637067622,23167,46784
國泰世華商業銀行,5928560,4198904,57194,36300,15465945,10411947,31517024,153398,0.1367404594488853,1.6813247359353403e-06,2468.594882528729,30913,61358
高雄銀行,10335,4430,55,55,7067,78,99983,61,1.06613174342258,0.9351869909638834,171.2328767123288,154,155
兆豐國際商業銀行,600679,407685,4973,4845,1167834,832259,2092049,3464,0.19342680835622256,0.060702358331577354,555.5663580659509,2560,5439
花旗(台灣)商業銀行,2880206,2426280,17358,23411,15390907,10051063,18021364,120520,0.6638947854993626,0.19839148601979112,482.3469411176273,0,130181
澳盛(台灣)商業銀行,536628,323905,4350,4692,2927717,1578194,2742017,16670,0.4323402165831599,0,231.62967143865376,12778,25066
臺灣中小企業銀行,326659,123791,502,1994,452436,41583,883296,2238,0.1396744536423152,0.039788074398704805,138.43995348086466,2254,3790
渣打國際商業銀行,343681,207290,920,3650,1810374,510208,1208718,6192,0.41878278989267304,0,548.1077877675526,10235,19011
台中商業銀行,204532,79939,1605,1122,248875,44618,510082,227,2.3218308961061043,1.0276738649889474,222.11407406961663,0,0
匯豐(台灣)商業銀行,585449,400027,6688,7808,2564069,1489582,3944818,33337,0.3067497509565363,0,2320.3638376875783,7674,14847
華泰商業銀行,10125,6032,21,16,21720,2896,45995,0,1.286125484584796,0.7304127913748066,231.25459925785592,0,192
臺灣新光商業銀行,904813,480421,10698,7961,2022773,1433324,3556610,9298,0.24509862961562273,0.04163264191832936,233.27434199700397,4726,11550
陽信商業銀行,90001,49488,1707,1111,242968,62488,275183,203,1.2697738203310607,0,549.1825592474403,0,0
三信商業銀行,16973,11022,203,96,25549,15933,123020,52,0.33911154129918303,0,6342.5047438330175,257,482
聯邦商業銀行,2009697,1104918,22404,21803,4863641,2741972,6186455,55171,0.2958182798662939,0,119.82426036692686,15805,30709
遠東國際商業銀行,1493485,936542,14084,8529,4882790,5358557,4004205,134899,0.3405231627417563,0.08808705026913029,100.29518715231679,17509,34310
元大商業銀行,592977,382340,12136,4641,468379,462856,4246094,390,0.12224816285898432,0,1125.5591552590722,1595,3267
永豐商業銀行,1931225,1067475,11939,13901,4786285,3519410,6021947,61455,0.39838282276076725,0,549.7961030355323,15309,30437
玉山商業銀行,4336540,3014488,44934,22511,11229765,9983423,21576236,114000,0.2634054555449401,0.014725373484896232,950.8827762938035,45130,89449
凱基商業銀行,484556,195606,7134,14654,1072155,351842,966187,5837,0.923594078486335,0.46867961007107817,145.45370124625467,4848,11598
星展(台灣)商業銀行,12602,5645,17,40,21872,35,41627,8,1.0831239163890674,0,929.0008588605783,101,197
台新國際商業銀行,3848454,2683466,46351,15238,10066680,13936235,17136421,115181,0.23225821962066973,0.004622766630273825,613.0735478232291,26745,52574
大眾商業銀行,596146,322609,6802,6208,902883,3620357,1722493,27279,0.002400620320290763,0.002400620320290763,526.8608901381903,9613,19763
日盛國際商業銀行,173592,96328,388,979,422336,221199,388480,3673,0.2871468203707463,0,226.00528918390242,1100,2651
安泰商業銀行,181148,68981,523,447,358453,1277469,386117,949,0.3580176659557971,0.017915689652874874,216.85047105440555,0,0
中國信託商業銀行,6042236,3888246,69826,36004,14806003,12478817,24933262,458150,0.15398718047102425,0.0002588077072867123,616.1955864212518,61957,125377
台灣樂天信用卡股份有限公司,233475,166980,12471,489,151712,271038,877666,1015,0.16020166400352637,0.01467022976472533,283.24882261777583,277,1064
台灣美國運通國際(股)公司,170153,112369,2755,2685,352607,0,3205755,1558,0.1408815076187765,0,432.50119468093345,1944,6142
台灣永旺信用卡(股)公司,77367,34824,61,666,260701,39123,140877,1935,1.1279807194666955,0.19832840248113273,1764.84920057098,2185,4355
