金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,242532,118812,2207,1620,160645,84396,827290,529,0.06,0.04,1627.12,691,5096
臺灣土地銀行,358591,150998,4061,4146,349237,79173,829890,804,0.07,0.07,1803.39,1649,20955
合作金庫商業銀行,662916,393068,7850,4590,802662,964191,3616399,1628,0.21,0.19,394.29,4067,50603
第一商業銀行,1496464,913590,16731,11076,1584338,2416736,6198273,8807,0.1,0,1072.21,6104,62648
華南商業銀行,1050214,804513,8275,8430,1005739,4129322,4620223,1431,0.12,0,458.47,0,34536
彰化商業銀行,574580,276849,5299,5099,324875,648297,1894790,1056,0.16,0.01,883.67,1360,15998
上海商業儲蓄銀行,454033,193409,2611,3211,576193,1322235,1578691,4817,0.12,0.09,1910.34,2448,26822
台北富邦商業銀行,4730706,3239827,74339,19535,6402426,26505669,35509800,84238,0.08,0,1403.73,22829,216495
國泰世華商業銀行,7993379,5681656,98701,41229,18617055,26435125,58970602,199270,0.11,0,1557.04,35952,350874
高雄銀行,15346,4785,17,38,14273,426,203980,93,0.47,0.47,221.86,559,912
兆豐國際商業銀行,1096976,645041,7221,5088,1826768,3710212,4328263,11836,0.18,0.01,749.74,7502,80515
花旗(台灣)商業銀行,2789646,2090823,17073,25787,10374873,11886819,21235118,140445,0.36,0.08,587.73,61915,357550
臺灣中小企業銀行,187219,97190,329,1352,279616,120718,850526,1475,0.14,0.03,276.58,0,9287
渣打國際商業銀行,331433,210196,830,6250,955731,423852,1870938,4125,0.21,0,862.74,3256,39206
台中商業銀行,168596,78844,1834,1394,205461,54218,618697,315,0.13,0.01,1941.96,1526,14432
滙豐(台灣)商業銀行,658066,440197,9451,4435,1748766,1436490,6449961,22728,0.16,0,1933.61,3944,42974
華泰商業銀行,9069,4944,33,22,7758,2044,42359,0,0.34,0,610.38,0,119
臺灣新光商業銀行,1045755,618995,9044,8844,1564505,2315041,4367810,5438,0.14,0.01,284.89,4797,50875
陽信商業銀行,114039,55627,798,829,171860,94312,394117,231,0.56,0.05,336.36,0,7813
三信商業銀行,18832,12184,258,45,22422,16515,119723,34,0.14,0,3574.5,41,509
聯邦商業銀行,2394050,1363408,30495,15944,5553513,4763202,10199746,45453,0.12,0,169.26,9953,124333
遠東國際商業銀行,1573460,993097,14557,15675,3638005,4850029,4845407,102934,0.28,0.07,106.11,10707,107462
元大商業銀行,1186243,546772,4888,6664,1182308,3171601,4746104,17641,0.08,0,784.14,4305,38557
永豐商業銀行,2264911,1224302,13763,11924,3886552,5440557,11682277,71957,0.12,0,817.29,10788,112526
玉山商業銀行,6873010,4669064,51572,29953,12850785,26538954,40559654,242900,0.13,0,598.36,54993,431362
凱基商業銀行,385389,190430,2462,1817,1141486,973889,1138230,6200,0.77,0.5,153.8,2544,66490
星展(台灣)商業銀行,650549,329406,6628,3838,1266408,2428994,4080790,24886,0.41,0,548.46,9352,108666
台新國際商業銀行,6280469,4228970,61038,51212,10027273,23010709,34386347,158859,0.13,0.01,1060.91,22063,210667
日盛國際商業銀行,133455,76645,80,1026,215401,51236,255376,716,0.18,0,1070.98,889,5147
安泰商業銀行,123167,53946,432,544,173319,1150148,360900,204,0.07,0.02,523.82,3920,7659
中國信託商業銀行,8435403,5284005,106842,51549,15631459,31924436,53097422,544137,0.1,0,398.08,69903,644449
台灣樂天信用卡股份有限公司,606713,192825,5519,4966,573181,695861,888891,5707,1.89,0.9,144.4,828,8870
台灣美國運通國際(股)公司,178866,109487,4449,1760,258701,0,4982129,843,0.22,0,531.67,2605,29808
