金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,242716,118172,4289,2442,228688,19395,653130,1085,0.27,0.05,613.08,485,2448
臺灣土地銀行,271059,139753,3721,1332,355260,61350,878425,567,0.39,0.35,803.35,2072,7319
合作金庫商業銀行,478329,296914,6260,5145,685020,270200,2987056,2112,0.25,0.21,286.61,4808,12898
第一商業銀行,1010851,654818,13421,10618,1425544,1202219,4524459,15883,0.15,0,1700.27,5997,18477
華南商業銀行,1046685,789940,17136,14218,992477,2555914,4451319,1945,0.04,0,1142.07,16746,16746
彰化商業銀行,425684,196976,3964,3042,349575,178490,1362366,775,0.3,0.01,624.91,4009,6081
上海商業儲蓄銀行,357037,180617,1703,1941,666688,264439,1131290,7635,0.73,0.33,844.49,0,4556
台北富邦商業銀行,2399032,1744599,29337,13215,5203919,13043821,20369858,56224,0.12,0,1273.7,20742,62031
國泰世華商業銀行,6145652,4422716,82050,39766,16203048,11500140,43425731,204151,0.14,0,2456.37,36423,102029
高雄銀行,10817,4371,85,31,8890,7,126188,59,0.49,0.37,270.88,0,54
兆豐國際商業銀行,668867,451385,9754,7730,1093742,1046624,3027348,4036,0.18,0.08,834.65,3415,10294
花旗(台灣)商業銀行,2897201,2461659,24540,26806,15585199,9774465,19681948,170826,0.51,0.09,489.36,98285,207285
臺灣中小企業銀行,323324,124400,825,763,426024,54166,927302,3311,0.11,0.04,325.35,2398,8400
渣打國際商業銀行,336033,218674,10217,5020,1611333,367485,1878504,8818,0.36,0,935.58,8406,25560
台中商業銀行,121479,84607,1506,29575,265974,45894,626762,366,0.9,0.04,668.76,9061,9061
滙豐(台灣)商業銀行,593413,414515,10838,9380,2363295,1652311,5603389,49061,0.26,0,2732.4,11030,24495
華泰商業銀行,10283,5860,16,35,15082,2812,49580,0,1.57,0.58,263.67,0,0
臺灣新光商業銀行,871486,476206,16526,16022,1849459,1275962,4561667,9945,0.25,0.03,236.17,5746,18292
陽信商業銀行,96319,50511,2671,1082,218294,61985,347463,282,0.27,0,615.52,3654,3654
三信商業銀行,15517,10582,100,66,27102,14947,109644,54,0.35,0,7293.35,14,477
聯邦商業銀行,2061467,1153496,24346,15626,5424494,2782768,7080367,74255,0.3,0,162.05,17447,50071
遠東國際商業銀行,1494954,996718,14293,7954,4311937,6033979,4298145,187333,0.32,0.08,100.7,15027,49712
元大商業銀行,1222848,755527,12022,11359,1606895,3488589,7063075,28825,0.11,0,1418.69,16970,30765
永豐商業銀行,1781608,1015502,12134,13437,4580731,3604733,7133101,100187,0.33,0,662.1,16203,27793
玉山商業銀行,4620533,3229365,42283,23212,12094428,13276189,25226981,293806,0.31,0.04,595.78,43770,130764
凱基商業銀行,430911,192474,4378,8450,1047020,463213,1126432,9239,0.81,0.55,134.56,4578,15329
星展(台灣)商業銀行,543137,312349,3952,8116,1849088,1161948,2443416,21581,0.86,0,272.19,14268,38549
台新國際商業銀行,4233514,2981143,65007,19543,10290971,17392132,23650456,238484,0.2,0.01,723.32,28107,77509
日盛國際商業銀行,170040,102573,380,938,358946,244582,432667,4678,0.18,0,925.33,1530,3825
安泰商業銀行,144016,65522,878,455,305956,1288900,420522,939,0.63,0.26,210.74,0,0
中國信託商業銀行,6448815,4163907,75808,39096,16610297,14227293,36397784,652078,0.14,0,605.14,68858,200508
台灣樂天信用卡股份有限公司,405563,266803,13232,1103,312827,504639,1500424,2504,0.24,0.04,861.99,945,2196
台灣美國運通國際(股)公司,168529,109859,3828,2739,355793,0,3831369,1385,0.29,0,343.87,1226,13761
台灣永旺信用卡(股)公司,69702,30393,154,812,247542,26708,130856,1995,0.82,0.22,2271.49,1851,3115
