金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月,逾期六個月,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,227183,110496,526,1294,227494,11794,656115,1503,0.162001347487844,0.0406265061457053,1014.13959085439,1074,3694
臺灣土地銀行,191841,107145,3582,1047,227834,42105,719750,792,0.290407842350028,0.216467596774733,1278.52855163922,2381,2969
合作金庫商業銀行,420731,256697,6366,3458,580308,205983,2455375,3854,0.462414468434923,0.429924562972993,277.245587457505,0,8961
第一商業銀行,912953,602937,14170,9868,1336065,1030012,4135222,16729,0.213291283619055,0,1662.32524906961,5474,16443
華南商業銀行,825306,597668,21688,9915,704404,1346459,3886379,1056,0.0489140067277315,0,882.072536115782,11557,11557
彰化商業銀行,442169,213014,5436,3583,324755,125731,1243302,435,0.27318764163714,0.00810701766072948,689.454430461625,1602,6224
上海商業儲蓄銀行,360660,184308,1178,2451,703438,195793,1141102,7117,0.704694598687532,0.312317011610298,2006.98829687042,0,4970
台北富邦商業銀行,2284185,1624877,77249,25367,6352863,5402900,17393857,62496,0.18570666818882,0.000160632980610703,699.56655328628,26222,72220
國泰世華商業銀行,5258229,3662783,73001,32017,13659812,10194375,33543988,200315,0.149457677649678,0,2256.14449496496,33156,91552
高雄銀行,9092,3879,139,37,6605,105,128337,121,0.632127482818518,0.632127482818518,179.878981941469,0,2
兆豐國際商業銀行,616103,401058,13066,7443,1120074,785192,2450866,5826,0.233263365691236,0.0609466312614321,516.754765196997,4681,12201
花旗(台灣)商業銀行,2905258,2463575,19161,30586,15448237,9758545,19863969,214699,0.534703712849505,0.126055718394536,597.031690099518,128496,238459
澳盛(台灣)商業銀行,568953,359470,6657,23154,3146728,1601402,3404443,23049,0.426535381611769,0,400.299374418844,11989,40618
臺灣中小企業銀行,334641,132062,925,1520,462083,62144,860165,4522,0.108530642090143,0,609.81785577897,2542,6237
渣打國際商業銀行,376426,227206,1464,5484,1956923,622281,1405185,9780,0.412009782303298,0,522.178089260531,10272,36373
台中商業銀行,197694,79895,3042,1430,234784,43356,524816,0,0.981532197829557,0.0166957133023828,636.473369209878,10021,10021
匯豐(台灣)商業銀行,626010,430450,8172,8721,2797222,1623317,4314938,43448,0.224078607381187,0,2890.4361735285,7963,24569
華泰商業銀行,10253,6361,15,12,18251,2970,56259,0,0.571641275158863,0.571641275158863,210.123119015048,0,0
臺灣新光商業銀行,908858,464305,13753,10859,2068598,1262811,4007207,20748,0.239236822107052,0.0164249228091478,232.878690539888,4672,16464
陽信商業銀行,74345,38553,3803,787,244918,54904,261106,394,0.177158770039749,0,1114.95603261063,3475,3475
三信商業銀行,16781,11027,260,92,30714,13317,93340,30,0.0881233430589908,0,8494.02640955774,329,819
聯邦商業銀行,1837034,824913,20355,11165,4546667,2743008,5811141,135818,0.266624012877856,0.0077503209775976,117.673092861688,13851,40947
遠東國際商業銀行,1459091,1034015,11405,8192,4809383,5291315,4615324,208455,0.363003658840239,0.117254862398676,100.283667225992,14968,46287
元大商業銀行,465202,268892,19225,3076,430004,346098,3579338,1328,0.155468449900251,0,1128.76855419224,1890,4879
永豐商業銀行,2127513,1317055,31169,48020,4958608,3772909,7902326,120373,0.33294130948279,0,722.799102693275,17468,44831
玉山商業銀行,4042382,2807696,83532,22585,10425620,8646928,22432645,117207,0.244782199378352,0,1311.2745191592,37536,115365
凱基商業銀行,504968,218328,4363,4131,1121577,290589,1029368,9881,1.76000717820924,1.16450130818785,124.9952282134,7231,18263
星展(台灣)商業銀行,12771,6158,128,67,20827,345,58060,27,0.793309805125057,0,1118.26524570752,143,326
台新國際商業銀行,3593999,2482508,31500,9827,10264349,9433385,15945827,152694,0.255824948311705,0.00246394948108741,590.207859408824,23416,73185
大眾商業銀行,597588,319355,10684,24486,865747,3596825,1979856,77929,0.0031853574526997,0.0031853574526997,432.987318771396,9712,26464
日盛國際商業銀行,187261,101162,518,1150,456962,232932,423644,9873,0.235622509877524,0,222.965974232363,1491,4043
安泰商業銀行,185676,71517,1217,532,410723,1261912,462144,1383,0.458779375809076,0.0962733963678126,265.872014218337,0,0
中國信託商業銀行,5852026,3817587,52769,52335,14101092,12797996,28521162,752999,0.163684140922485,0.000493339067349695,644.173859848877,62510,188033
台灣樂天信用卡股份有限公司,100137,75969,13948,300,59815,92080,394896,1726,0.125788828873256,0.00943897797058121,326.075632878425,187,187
台灣美國運通國際(股)公司,163348,87659,4247,3544,332684,0,3782889,1327,0.155820842110241,0,422.529554693036,1634,6092
台灣永旺信用卡(股)公司,89255,40086,112,966,275368,58473,142465,2669,0.994301592033037,0.321091082139701,1564.3343324591,1807,6920
