金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,233351,111872,907,3237,227982,20174,601822,940,0.27,0.13,529.85,463,9039
臺灣土地銀行,306034,160795,3758,1607,394992,72120,864751,697,0.39,0.33,898.69,1876,26918
合作金庫商業銀行,513996,325471,7361,3789,742214,366545,3155362,2396,0.21,0.17,371.85,5258,51879
第一商業銀行,1106183,705219,24455,9589,1492923,1352967,4412685,14589,0.14,0,1485.26,5898,64879
華南商業銀行,1060715,803196,18637,10817,1094543,3103390,4875095,1632,0.21,0,387.25,0,50843
彰化商業銀行,479823,238788,1376,2244,375820,201220,1346290,718,0.38,0.05,478.03,0,18510
上海商業儲蓄銀行,371507,188990,2896,1770,679188,267544,1164089,6797,0.65,0.22,970.65,0,23587
台北富邦商業銀行,2471935,1772964,23189,12658,5262739,14910619,17248013,105694,0.12,0,1267.45,20021,229759
國泰世華商業銀行,6321627,4641022,63063,115490,17671454,15614497,42714264,262874,0.14,0,2432.64,37798,397966
高雄銀行,11216,4460,96,36,9260,0,156069,75,0.14,0.12,637.7,266,920
兆豐國際商業銀行,732588,479494,15602,4139,1174878,1097281,3122994,4642,0.16,0.08,750.63,2068,33762
花旗(台灣)商業銀行,2901759,2436785,19143,23646,15701604,10190107,19448218,189545,0.64,0.1,455.26,98722,674042
臺灣中小企業銀行,327802,126565,2006,2588,424476,74778,1090181,2741,0.13,0.04,383.39,1693,24549
渣打國際商業銀行,343798,238290,4741,3086,1541352,471035,2306606,2593,0.3,0,966.81,7661,86633
台中商業銀行,127100,80209,1185,692,265402,50171,543319,319,0.66,0.04,849.76,5820,27199
滙豐(台灣)商業銀行,610482,430331,7821,5983,2322300,1791799,5666580,39686,0.22,0,2750.21,5200,82442
華泰商業銀行,10040,5604,5,45,13981,2207,47314,0,0.53,0.4,345.87,0,1297
臺灣新光商業銀行,806602,481235,6553,7689,1820225,1471745,4243681,10621,0.23,0.02,273.64,5863,66994
陽信商業銀行,100523,52536,1119,1039,223852,67100,343736,349,0.73,0.05,377.7,0,10000
三信商業銀行,15033,10185,61,38,26331,14111,120000,64,0.44,0.02,3141.54,104,1931
聯邦商業銀行,2120733,1175093,19176,11681,5791592,3131951,7006295,77915,0.28,0,166.88,17893,196270
遠東國際商業銀行,1514697,1011100,18809,38260,4294501,6132612,4856971,186556,0.29,0.08,100.58,12484,174435
元大商業銀行,1356815,759815,104672,18562,1656767,3202045,6381625,20081,0.08,0,1116.78,8327,127259
永豐商業銀行,1809644,1016658,18909,9173,4496468,4203447,6712718,106422,0.3,0,666.97,10465,135733
玉山商業銀行,4829870,3382796,60512,23618,12713090,14859821,27804341,297434,0.24,0.03,606.37,43101,479421
凱基商業銀行,422057,193478,3526,5500,1063158,553347,1035337,8389,0.61,0.37,163.34,6367,58783
星展(台灣)商業銀行,550058,302756,7715,103445,1648830,1788234,2948560,23128,0.48,0,604.12,12442,158165
台新國際商業銀行,4599015,3234050,73112,22197,10640193,19006623,26535485,271284,0.17,0.01,817.25,27062,283894
日盛國際商業銀行,154688,102159,383,3492,341376,221055,352600,3868,0.18,0,861.56,777,12528
安泰商業銀行,124783,64275,729,560,283563,1261277,611802,839,0.2,0.01,450.23,6728,20203
中國信託商業銀行,6811555,4436688,105151,35734,17514476,15502961,42740144,654657,0.12,0,558.85,67306,717775
台灣樂天信用卡股份有限公司,477593,304327,8432,1369,396262,745107,1654290,3255,0.31,0.06,455.82,1130,9431
台灣美國運通國際(股)公司,173628,115443,2990,2360,371185,0,4391913,2306,0.13,0,411.47,4088,45108
台灣永旺信用卡(股)公司,63695,27389,155,1228,233081,23589,110431,2114,0.92,0.06,2531.21,1027,14650
