金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,240036,117576,2129,1013,165213,125012,727984,441,0.06,0.02,1292.18,444,3882
臺灣土地銀行,360924,149711,1756,3819,349571,92484,767374,486,0.13,0.12,1321.96,2585,17671
合作金庫商業銀行,655559,385081,8027,4402,798303,1113599,3262056,1441,0.22,0.19,377.25,3477,43191
第一商業銀行,1488643,897114,15164,13352,1541418,2311563,5355952,9084,0.09,0,1107.4,6040,50725
華南商業銀行,1052970,800554,11126,7231,997832,4392758,4266779,1124,0.04,0,649.16,14211,34536
彰化商業銀行,575902,273440,5775,3382,324171,775782,1713552,967,0.15,0,655.7,3423,13739
上海商業儲蓄銀行,453873,187402,3152,4058,576100,1256044,1453796,5002,0.15,0.1,1775.39,1873,22280
台北富邦商業銀行,4635827,3143201,47549,13677,6184250,26550971,27977625,82670,0.08,0,1472.28,22529,169926
國泰世華商業銀行,7892953,5570965,68893,31790,18145725,25773998,48018047,205144,0.11,0,1521.44,34218,276203
高雄銀行,15385,4813,25,70,13902,633,209464,78,0.68,0.64,173.89,217,351
兆豐國際商業銀行,1092004,636437,9518,5156,1798780,3969103,3896125,10715,0.2,0.01,698.66,7501,65012
花旗(台灣)商業銀行,2792518,2074423,19141,24131,10320662,10154122,19072454,133741,0.38,0.09,579.86,30664,295635
臺灣中小企業銀行,190020,97189,290,1034,281967,141784,803401,1461,0.12,0.01,283.43,0,8155
渣打國際商業銀行,340255,214739,771,5498,964738,445107,1808371,4500,0.19,0,891.41,4461,33129
台中商業銀行,166910,78397,1354,906,203387,50722,576972,246,0.2,0.01,2049.12,1712,12067
滙豐(台灣)商業銀行,648948,434465,8311,5011,1748890,1354241,5548140,17662,0.16,0,2155.13,4224,34522
華泰商業銀行,9040,4905,10,12,7867,2025,39032,0,0.56,0.1,559.6,0,23
臺灣新光商業銀行,1046914,628193,9113,6854,1540661,2317265,3840705,5382,0.15,0,280.07,8134,41229
陽信商業銀行,113717,56163,994,813,167116,103080,369241,92,0.24,0.01,466.05,2703,7813
三信商業銀行,18514,12016,314,53,19842,15841,121464,32,0.09,0,3737.63,97,370
聯邦商業銀行,2364561,1346989,24803,16438,5441001,4854295,9739172,40122,0.12,0,171.85,9986,104420
遠東國際商業銀行,1573177,976594,12953,11162,3638230,4308763,4072297,98993,0.31,0.09,105.4,9807,86182
元大商業銀行,1184542,549411,4403,5195,1208308,3109770,4217521,18835,0.08,0,794.49,3296,30308
永豐商業銀行,2254989,1209642,14479,5884,3896642,5392265,10452227,74796,0.12,0,826.08,8311,91019
玉山商業銀行,6831706,4606574,50998,22036,12844463,28696290,37997728,253010,0.13,0,612.21,34830,343569
凱基商業銀行,384039,190021,2596,2144,1123439,1001550,1035099,5997,0.78,0.5,153.8,6822,54342
星展(台灣)商業銀行,645604,328041,4597,3310,1255712,2314888,3357488,21999,0.44,0,537.11,9985,90252
台新國際商業銀行,6246793,4162487,54345,30535,9939653,22636106,30031850,136746,0.13,0.01,1051.48,24274,166487
日盛國際商業銀行,135035,79018,105,611,219053,53561,248456,801,0.16,0,1078.84,752,3768
安泰商業銀行,123331,53450,391,515,174796,1146215,348013,303,0.26,0.12,390.87,0,3739
中國信託商業銀行,8325624,5183773,102096,43923,15441695,34617176,45859374,586892,0.1,0,415.06,61345,509606
台灣樂天信用卡股份有限公司,599241,185788,2590,5487,556693,684176,740752,4998,2.23,1.15,122.24,749,7208
台灣美國運通國際(股)公司,174794,104077,3491,3060,241752,0,4205481,1001,0.19,0,698.09,2419,22396
