金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以,逾期六個月以,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,250436,132017,3424,2419,214041,11415,662483,835,0.11,0.03,1115.43,873,7466
臺灣土地銀行,245669,130280,4457,1135,311299,50234,830446,758,0.43,0.4,701.86,4270,11926
合作金庫商業銀行,463358,283858,5673,4198,644036,225069,2524662,3040,0.31,0.25,283.64,5311,20756
第一商業銀行,967585,634277,9571,8583,1413149,1055992,3935905,14763,0.22,0,1572.45,5991,29829
華南商業銀行,963079,715136,20300,9753,859437,2104659,4250622,1551,0.25,0,390.5,0,15817
彰化商業銀行,422277,202372,3805,2730,353630,147107,1270329,513,0.29,0.02,580.48,3202,11094
上海商業儲蓄銀行,362254,183031,2451,1747,688227,207772,1015044,6778,0.92,0.45,653.08,0,11278
台北富邦商業銀行,2327132,1721643,26468,15220,5833130,10649293,16652000,50980,0.13,0,814.42,24414,118992
國泰世華商業銀行,6014751,4226244,68467,38439,15492668,9327001,41202751,217212,0.13,0,2486.7,34488,162157
高雄銀行,10331,4202,46,41,7867,58,131914,80,0.23,0.23,368.93,2,1061
兆豐國際商業銀行,603243,400014,6236,4725,1121940,758781,2535877,4582,0.16,0.06,577.36,5428,17817
花旗(台灣)商業銀行,2899836,2444341,26572,28397,15701232,9525281,19971559,189227,0.64,0.23,480.15,0,307581
澳盛(台灣)商業銀行,539698,324315,5804,4295,2856424,1533591,2926781,23852,0.41,0,265.71,11440,65922
臺灣中小企業銀行,325434,122659,4048,2066,430396,65711,888151,3172,0.13,0.03,141.64,1704,11741
渣打國際商業銀行,334511,203018,1386,4693,1743806,428951,1225933,10975,0.36,0,569.84,10625,48068
台中商業銀行,206417,80039,1670,1118,274826,40891,521473,341,1.79,0.5,288.32,11366,11366
滙豐(台灣)商業銀行,583459,398769,7645,7304,2475428,1506580,4358600,45921,0.28,0,2511.52,9535,41978
華泰商業銀行,10332,6021,76,22,16817,2366,56575,0,1.63,0.86,221.66,0,575
臺灣新光商業銀行,921862,490738,11113,7589,1952009,1311087,4603701,10417,0.27,0.02,228.85,6188,31017
陽信商業銀行,92737,50980,1720,1118,227790,60272,298150,226,0.48,0.01,776.28,0,7600
三信商業銀行,16620,11105,119,130,28957,15015,120785,41,0.45,0,5936.78,418,1413
聯邦商業銀行,2011831,1119448,25485,26217,4971081,2698663,7533869,64833,0.27,0,123.84,14327,75242
遠東國際商業銀行,1435232,964743,13531,6976,4575234,5233860,4233108,190394,0.34,0.08,100.55,16911,85571
元大商業銀行,629225,417933,13136,6055,467746,469821,4553836,708,0.12,0,1246.49,1860,8899
永豐商業銀行,1861575,1041407,24078,13438,4676046,3343695,6477637,101179,0.38,0,571.39,13344,77832
玉山商業銀行,4425203,3076926,60807,23288,11242047,11035687,26460392,212939,0.26,0.02,869.32,41322,215589
凱基商業銀行,468743,193215,10301,24586,1066283,357768,986046,8258,0.76,0.47,138.73,5584,30056
星展(台灣)商業銀行,12419,5505,62,162,20753,17,51591,12,0,0,43151.82,0,863
台新國際商業銀行,3974064,2762337,65692,13549,9929539,14223452,19587068,140843,0.23,0,629.68,24005,125776
大眾商業銀行,577684,323606,6837,6912,915492,3205994,1835550,52300,0.03,0,533.12,8253,47705
日盛國際商業銀行,172531,98997,520,801,414019,199871,409119,4127,0.35,0,172.32,1930,7163
安泰商業銀行,176838,68282,620,428,343483,1264609,446494,667,0.27,0.03,285.08,0,7100
中國信託商業銀行,6133357,3929785,90891,46544,15051373,12147516,28367625,695374,0.14,0,597.88,65777,314176
台灣樂天信用卡股份有限公司,283795,198999,15418,649,172965,316524,966375,2384,0.21,0.04,229.76,377,2104
台灣美國運通國際(股)公司,170746,112616,2915,3196,350935,0,3966260,2182,0.5,0,186.86,1010,13044
台灣永旺信用卡(股)公司,75394,35207,169,743,256156,34404,129705,2339,0.76,0.29,2177.64,2057,9905
