金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用餘額,未到期分期付款餘額,當月簽帳金額,當月預借現金金額,逾期三個月以上帳款占應收帳款餘額(含催收款)之比率(%),逾期六個月以上帳款占應收帳款餘額(含催收款)之比率(%),備抵呆帳提足率(%),當月轉銷呆帳金額,當年度轉銷呆帳金額累計至資料月份
臺灣銀行,222708,112038,1291,1835,192032,38803,716090,716,0.16,0.01,1011.53,176,176
臺灣土地銀行,341156,150793,1450,1700,388091,94397,793287,707,0.22,0.15,1370.41,1322,1322
合作金庫商業銀行,587075,367112,6037,4541,782466,532344,2901193,1807,0.22,0.18,525.85,4202,4202
第一商業銀行,1281572,776255,10431,12145,1470166,1786696,4440977,8396,0.03,0,2316.81,5062,5062
華南商業銀行,1004756,761135,6920,9418,1055275,3349137,3834804,1493,0.07,0,584.88,0,0
彰化商業銀行,526111,222539,3819,4677,278675,366078,1352216,930,0.14,0,861.67,2150,2150
上海商業儲蓄銀行,442494,230151,3645,2167,627027,745844,1223127,6153,0.18,0.14,1627.96,3076,3076
台北富邦商業銀行,3881530,2593594,51881,26316,5746172,22613495,25691027,87593,0.08,0,1447.24,17690,17690
國泰世華商業銀行,7140591,5145914,60911,35757,18445195,17789126,37987063,219266,0.13,0,1352.91,31952,31952
高雄銀行,15867,7503,149,99,12224,0,167106,122,0.48,0.48,215.5,0,0
兆豐國際商業銀行,1005168,636121,7184,4996,1614858,2953168,3423904,10412,0.22,0.13,446.8,5040,5040
花旗(台灣)商業銀行,2852348,2177709,27787,37394,11346918,11587113,17943813,147229,0.5,0.16,428.78,31211,31211
臺灣中小企業銀行,219437,108564,21243,1240,331616,24872,835133,2321,0.08,0.03,354.7,797,797
渣打國際商業銀行,417090,299347,1704,2870,1245204,428031,3228783,4992,0.15,0,1055.24,3332,3332
台中商業銀行,149692,79297,1293,852,230298,53331,498157,296,0.42,0,1281.69,1545,1545
滙豐(台灣)商業銀行,617685,426676,9410,7795,1955282,1656735,4807224,24884,0.2,0,1981.46,4803,4803
華泰商業銀行,9493,5049,10,120,10888,2188,38319,0,0.39,0.07,507.7,0,0
臺灣新光商業銀行,898718,540173,12574,6072,1605392,2002582,3283617,5444,0.11,0.01,237.39,4299,4299
陽信商業銀行,112256,53767,1714,737,188071,76658,321527,119,0.19,0,517.37,0,0
三信商業銀行,15017,10119,100,55,19526,14660,113939,21,0.34,0,6640.99,106,106
聯邦商業銀行,2251261,1322997,23169,15573,5725291,4252721,8908027,60162,0.16,0,158.62,13945,13945
遠東國際商業銀行,1629635,1047200,10498,7670,4101266,5502427,4331003,145884,0.28,0.1,100.66,10651,10651
元大商業銀行,1157580,586159,2367,8251,1343848,3185134,4231152,16300,0.08,0,729.73,4370,4370
永豐商業銀行,2067816,1109617,89629,84043,4120336,5007287,10794027,87421,0.13,0,876.6,9489,9489
玉山商業銀行,6373780,4483522,48214,20717,12893033,17329594,37406728,283764,0.12,0,680.49,36879,36879
凱基商業銀行,355939,185563,5097,5808,1111632,863455,936575,6709,0.53,0.26,189.47,5332,5332
星展(台灣)商業銀行,609349,327992,3656,4986,1370369,2033071,2987347,20985,0.61,0,307.02,9695,9695
台新國際商業銀行,5763691,4027672,63419,30496,10496820,22015826,29007826,207592,0.13,0.01,1009.13,19590,19590
日盛國際商業銀行,145809,95871,277,516,258287,111876,294874,1862,0.21,0,980.62,600,600
安泰商業銀行,123810,56491,316,548,213814,1172416,333413,607,0.31,0.1,173.5,0,0
中國信託商業銀行,7340651,4739732,91967,33022,16326757,22811154,36311812,589835,0.13,0,438.83,55458,55458
台灣樂天信用卡股份有限公司,596893,240119,1591,4058,489238,961106,974374,6188,0.72,0.15,294.53,682,682
台灣美國運通國際(股)公司,173870,103874,2236,2518,267439,0,2891027,376,0.1,0,2198.19,1574,1574
