金融機構名稱,流通卡數,有效卡數,當月發卡數,當月停卡數,循環信用,未到期,當月簽帳,當月預借,逾期三個月以上,逾期六個月以上,備抵呆帳,當月轉銷,當年度轉銷
臺灣銀行,239195,116122,2024,2736,224693,19328,569868,498,0.19,0.05,748.69,970,1963
臺灣土地銀行,268292,139853,2484,1169,395170,62337,786413,311,0.26,0.21,998.17,2983,5247
合作金庫商業銀行,477125,295490,2825,2569,730746,277948,2593029,1630,0.32,0.28,273.89,3063,8090
第一商業銀行,1004628,653584,7005,7855,1463170,1277820,3687325,15408,0.16,0,1653.45,5990,12480
華南商業銀行,1044579,787666,10178,9864,896353,2751796,3654692,916,0.18,0,451.35,0,0
彰化商業銀行,424291,197317,2221,2731,297005,173898,1120404,457,0.33,0.02,644.22,0,2072
上海商業儲蓄銀行,357275,181614,1095,1504,706064,258162,966999,4283,0.56,0.2,1051.05,4556,4556
台北富邦商業銀行,2382910,1734848,14686,10533,5591973,13155989,13568853,36873,0.12,0,1347.1,20149,41289
國泰世華商業銀行,6103368,4415720,44155,27992,16798656,11691380,31606603,149708,0.13,0,2452.08,35586,65606
高雄銀行,10763,4395,47,23,8068,8,111271,58,0.44,0.39,299.34,0,54
兆豐國際商業銀行,666843,451163,5521,5071,1169574,1071029,3080742,3602,0.16,0.08,828.84,3033,6879
花旗(台灣)商業銀行,2898192,2459209,14832,19205,15908267,10169101,18702135,130522,0.58,0.18,407.37,0,109000
臺灣中小企業銀行,323262,126159,491,917,436152,58622,917895,2290,0.15,0.02,317.28,2010,6002
渣打國際商業銀行,331113,212071,12636,28561,1655535,364433,1503712,6592,0.35,0,903.91,9459,17154
台中商業銀行,149314,85331,894,752,243762,47328,514428,290,1.75,0.56,354.15,0,0
滙豐(台灣)商業銀行,591955,414027,6858,6558,2373000,1650238,4459761,31760,0.24,0,2757.88,3544,13465
華泰商業銀行,10302,5902,8,31,14264,3010,44446,0,1.69,0.68,260.08,0,0
臺灣新光商業銀行,870982,471907,8201,14835,1934376,1299883,3031403,7482,0.25,0.02,234.79,6217,12546
陽信商業銀行,94482,49710,1115,778,227261,59864,278380,150,0.82,0.2,836.14,0,0
三信商業銀行,15640,10631,95,41,28914,13441,112554,112,0.1,0,11348.69,264,463
聯邦商業銀行,2052747,1156035,18416,12983,5439091,2921714,6838078,46355,0.28,0,151.09,16245,32624
遠東國際商業銀行,1488591,990062,9437,6434,4460441,6019560,4200001,150084,0.28,0.08,101.5,17603,34685
元大商業銀行,1217702,758238,6776,7762,1644575,3463223,5401744,19341,0.11,0,1298.02,13636,13795
永豐商業銀行,1782751,1016467,7818,8594,4641187,3683582,5834961,69919,0.32,0,643.8,5786,11590
玉山商業銀行,4601462,3228012,27700,17534,12221475,13620567,24798149,197522,0.25,0,660.34,43845,86994
凱基商業銀行,434943,191143,3694,7556,1070681,461334,917902,5454,0.79,0.43,142.81,3947,10751
星展(台灣)商業銀行,545529,318136,2593,6539,1934237,1184037,2052935,16171,0.84,0,301.43,9074,24281
台新國際商業銀行,4188050,2953449,42356,12242,10339474,17367104,19789237,195278,0.2,0.01,671.57,26215,49402
日盛國際商業銀行,170598,103048,222,485,364735,244725,366592,3820,0.34,0,968.04,1194,2295
安泰商業銀行,146382,65600,361,293,312600,1256675,372792,434,0.5,0.15,204.49,0,0
中國信託商業銀行,6411339,4165138,52503,31618,16700199,14199132,31305867,482723,0.15,0,607.68,65655,131650
台灣樂天信用卡股份有限公司,392975,260398,9011,715,296150,481513,1257203,1524,0.22,0.05,1041.7,623,1251
台灣美國運通國際(股)公司,167440,109804,1598,1995,369781,0,3557016,1406,0.23,0,390.28,3391,12535
台灣永旺信用卡(股)公司,70333,30591,46,507,251027,27318,116467,1538,0.82,0.25,2153.13,605,1264
