金融機構名稱,當月發卡數
臺灣銀行,1217
臺灣土地銀行,12553
合作金庫商業銀行,4342
第一商業銀行,16516
華南商業銀行,16260
彰化商業銀行,6222
上海商業儲蓄銀行,1145
台北富邦商業銀行,22096
國泰世華商業銀行,64262
高雄銀行,98
兆豐國際商業銀行,6702
花旗(台灣)商業銀行,18256
澳盛(台灣)商業銀行,5340
臺灣中小企業銀行,859
渣打國際商業銀行,1528
台中商業銀行,10178
匯豐(台灣)商業銀行,6035
華泰商業銀行,18
臺灣新光商業銀行,10362
陽信商業銀行,852
三信商業銀行,142
聯邦商業銀行,25185
遠東國際商業銀行,12639
元大商業銀行,12941
永豐商業銀行,19207
玉山商業銀行,46168
凱基商業銀行,7142
星展(台灣)商業銀行,75
台新國際商業銀行,28553
大眾商業銀行,9210
日盛國際商業銀行,621
安泰商業銀行,1279
中國信託商業銀行,39595
台灣樂天信用卡(股)公司,8091
台灣美國運通國際(股)公司,2705
台灣永旺信用卡(股)公司,103
