金融機構名稱,當月發卡數
臺灣銀行,1047
臺灣土地銀行,4579
合作金庫商業銀行,6882
第一商業銀行,13567
華南商業銀行,32281
彰化商業銀行,3146
上海商業儲蓄銀行,1713
台北富邦商業銀行,23748
國泰世華商業銀行,57012
高雄銀行,217
兆豐國際商業銀行,18712
花旗(台灣)商業銀行,23034
澳盛(台灣)商業銀行,5692
臺灣中小企業銀行,1910
渣打國際商業銀行,3878
台中商業銀行,2134
滙豐(台灣)商業銀行,9457
華泰商業銀行,62
臺灣新光商業銀行,7372
陽信商業銀行,1199
三信商業銀行,144
聯邦商業銀行,23947
遠東國際商業銀行,14861
元大商業銀行,11902
永豐商業銀行,15750
玉山商業銀行,51294
凱基商業銀行,4899
星展(台灣)商業銀行,31
台新國際商業銀行,50348
大眾商業銀行,6902
日盛國際商業銀行,456
安泰商業銀行,761
中國信託商業銀行,73899
台灣樂天信用卡股份有限公司,13837
台灣美國運通國際(股)公司,2909
台灣永旺信用卡(股)公司,139
