金融機構名稱,當月發卡數
臺灣銀行,1319
臺灣土地銀行,6477
合作金庫商業銀行,13944
第一商業銀行,11175
華南商業銀行,21445
彰化商業銀行,3617
上海商業儲蓄銀行,1051
台北富邦商業銀行,23178
國泰世華商業銀行,72601
高雄銀行,32
兆豐國際商業銀行,8324
花旗(台灣)商業銀行,17381
澳盛(台灣)商業銀行,6598
臺灣中小企業銀行,3406
渣打國際商業銀行,1329
台中商業銀行,4948
匯豐(台灣)商業銀行,6360
華泰商業銀行,12
臺灣新光商業銀行,5291
陽信商業銀行,694
三信商業銀行,86
聯邦商業銀行,21256
遠東國際商業銀行,13201
元大商業銀行,10834
永豐商業銀行,16725
玉山商業銀行,44896
凱基商業銀行,20652
星展(台灣)商業銀行,90
台新國際商業銀行,30325
大眾商業銀行,9651
日盛國際商業銀行,408
安泰商業銀行,1481
中國信託商業銀行,40360
台灣樂天信用卡股份有限公司,8042
台灣美國運通國際(股)公司,3143
台灣永旺信用卡(股)公司,174
