金融機構名稱,當月發卡數
臺灣銀行,1177
臺灣土地銀行,12694
合作金庫商業銀行,4752
第一商業銀行,16347
華南商業銀行,17273
彰化商業銀行,7113
上海商業儲蓄銀行,1288
台北富邦商業銀行,24992
國泰世華商業銀行,61481
高雄銀行,94
兆豐國際商業銀行,6767
花旗(台灣)商業銀行,19972
澳盛(台灣)商業銀行,5719
臺灣中小企業銀行,1257
渣打國際商業銀行,2025
台中商業銀行,8145
匯豐(台灣)商業銀行,7049
華泰商業銀行,16
臺灣新光商業銀行,7878
陽信商業銀行,918
三信商業銀行,235
聯邦商業銀行,29711
遠東國際商業銀行,13281
元大商業銀行,15970
永豐商業銀行,22746
玉山商業銀行,62563
凱基商業銀行,6946
星展(台灣)商業銀行,96
台新國際商業銀行,32970
大眾商業銀行,10739
日盛國際商業銀行,569
安泰商業銀行,1261
中國信託商業銀行,41114
台灣樂天信用卡股份有限公司,8561
台灣美國運通國際(股)公司,2800
台灣永旺信用卡(股)公司,155
